sample	kpc_before_rc	kpc_after_rc	kpc_before_cpu	kpc_after_cpu	kpc_accepted	thread_before_rc	thread_after_rc	thread_cycles_delta	thread_instructions_delta	absolute_time_delta	uptime_raw_delta
0	-1	-1	-1	-1	0	88	88	3148	4612	7	83
1	-1	-1	-1	-1	0	88	88	1502	4612	2	83
2	-1	-1	-1	-1	0	88	88	1380	4612	2	83
3	-1	-1	-1	-1	0	88	88	1333	4612	3	84
4	-1	-1	-1	-1	0	88	88	1392	4612	3	125
5	-1	-1	-1	-1	0	88	88	1329	4612	3	83
6	-1	-1	-1	-1	0	88	88	1342	4612	3	83
7	-1	-1	-1	-1	0	88	88	1356	4612	3	84
8	-1	-1	-1	-1	0	88	88	1330	4612	3	83
9	-1	-1	-1	-1	0	88	88	1331	4612	2	83
10	-1	-1	-1	-1	0	88	88	1341	4612	3	125
11	-1	-1	-1	-1	0	88	88	1361	4612	3	84
12	-1	-1	-1	-1	0	88	88	1361	4612	3	83
13	-1	-1	-1	-1	0	88	88	1356	4612	2	84
14	-1	-1	-1	-1	0	88	88	1351	4612	3	83
15	-1	-1	-1	-1	0	88	88	1354	4612	3	83
16	-1	-1	-1	-1	0	88	88	1357	4612	3	125
17	-1	-1	-1	-1	0	88	88	1380	4612	2	83
18	-1	-1	-1	-1	0	88	88	1367	4612	3	83
19	-1	-1	-1	-1	0	88	88	1337	4612	3	83
20	-1	-1	-1	-1	0	88	88	1330	4612	3	84
21	-1	-1	-1	-1	0	88	88	1331	4612	3	125
22	-1	-1	-1	-1	0	88	88	1327	4612	3	83
23	-1	-1	-1	-1	0	88	88	1328	4612	3	125
24	-1	-1	-1	-1	0	88	88	1333	4612	3	83
25	-1	-1	-1	-1	0	88	88	1328	4612	3	84
26	-1	-1	-1	-1	0	88	88	1324	4612	3	84
27	-1	-1	-1	-1	0	88	88	1324	4612	3	125
28	-1	-1	-1	-1	0	88	88	1328	4612	3	125
29	-1	-1	-1	-1	0	88	88	1556	4611	3	83
30	-1	-1	-1	-1	0	88	88	1331	4611	3	83
31	-1	-1	-1	-1	0	88	88	1353	4611	3	84
32	-1	-1	-1	-1	0	88	88	1323	4611	3	84
33	-1	-1	-1	-1	0	88	88	1836	4612	2	83
34	-1	-1	-1	-1	0	88	88	1366	4612	3	84
35	-1	-1	-1	-1	0	88	88	1331	4612	3	83
36	-1	-1	-1	-1	0	88	88	1359	4612	2	83
37	-1	-1	-1	-1	0	88	88	1350	4612	2	84
38	-1	-1	-1	-1	0	88	88	1354	4612	3	84
39	-1	-1	-1	-1	0	88	88	1348	4612	2	83
40	-1	-1	-1	-1	0	88	88	1402	4612	3	83
41	-1	-1	-1	-1	0	88	88	1340	4612	3	125
42	-1	-1	-1	-1	0	88	88	1366	4612	3	125
43	-1	-1	-1	-1	0	88	88	1326	4612	3	83
44	-1	-1	-1	-1	0	88	88	1414	4612	3	125
45	-1	-1	-1	-1	0	88	88	1368	4612	3	125
46	-1	-1	-1	-1	0	88	88	1341	4612	3	125
47	-1	-1	-1	-1	0	88	88	1351	4612	3	125
48	-1	-1	-1	-1	0	88	88	1326	4612	3	83
49	-1	-1	-1	-1	0	88	88	1350	4612	2	83
50	-1	-1	-1	-1	0	88	88	1357	4611	3	83
51	-1	-1	-1	-1	0	88	88	1368	4611	3	84
52	-1	-1	-1	-1	0	88	88	1345	4612	3	125
53	-1	-1	-1	-1	0	88	88	1349	4612	2	83
54	-1	-1	-1	-1	0	88	88	1518	4611	3	83
55	-1	-1	-1	-1	0	88	88	1389	4611	3	83
56	-1	-1	-1	-1	0	88	88	1473	4612	3	125
57	-1	-1	-1	-1	0	88	88	1354	4612	3	125
58	-1	-1	-1	-1	0	88	88	1484	4611	3	125
59	-1	-1	-1	-1	0	88	88	1378	4611	3	83
60	-1	-1	-1	-1	0	88	88	1354	4612	3	125
61	-1	-1	-1	-1	0	88	88	1348	4612	3	125
62	-1	-1	-1	-1	0	88	88	1373	4611	3	125
63	-1	-1	-1	-1	0	88	88	1392	4611	3	83
64	-1	-1	-1	-1	0	88	88	1328	4612	3	125
65	-1	-1	-1	-1	0	88	88	1383	4611	3	83
66	-1	-1	-1	-1	0	88	88	1351	4611	3	84
67	-1	-1	-1	-1	0	88	88	1380	4612	3	125
68	-1	-1	-1	-1	0	88	88	1343	4612	3	83
69	-1	-1	-1	-1	0	88	88	1361	4612	3	125
70	-1	-1	-1	-1	0	88	88	1497	4611	3	83
71	-1	-1	-1	-1	0	88	88	1372	4611	3	83
72	-1	-1	-1	-1	0	88	88	1483	4612	3	83
73	-1	-1	-1	-1	0	88	88	1332	4612	3	125
74	-1	-1	-1	-1	0	88	88	1380	4611	3	125
75	-1	-1	-1	-1	0	88	88	1336	4611	3	83
76	-1	-1	-1	-1	0	88	88	1373	4612	3	84
77	-1	-1	-1	-1	0	88	88	1326	4612	2	83
78	-1	-1	-1	-1	0	88	88	1393	4611	3	83
79	-1	-1	-1	-1	0	88	88	1438	4612	2	83
80	-1	-1	-1	-1	0	88	88	1367	4612	3	83
81	-1	-1	-1	-1	0	88	88	1500	4611	3	125
82	-1	-1	-1	-1	0	88	88	1370	4611	3	83
83	-1	-1	-1	-1	0	88	88	1322	4612	2	84
84	-1	-1	-1	-1	0	88	88	1352	4612	3	83
85	-1	-1	-1	-1	0	88	88	1376	4611	3	84
86	-1	-1	-1	-1	0	88	88	1367	4611	3	125
87	-1	-1	-1	-1	0	88	88	1361	4612	3	83
88	-1	-1	-1	-1	0	88	88	1826	4629	3	83
89	-1	-1	-1	-1	0	88	88	1384	4611	3	125
90	-1	-1	-1	-1	0	88	88	1445	4612	3	83
91	-1	-1	-1	-1	0	88	88	1356	4612	3	83
92	-1	-1	-1	-1	0	88	88	1326	4612	3	83
93	-1	-1	-1	-1	0	88	88	1344	4612	2	83
94	-1	-1	-1	-1	0	88	88	1329	4612	3	84
95	-1	-1	-1	-1	0	88	88	1347	4612	3	125
96	-1	-1	-1	-1	0	88	88	1368	4612	3	125
97	-1	-1	-1	-1	0	88	88	1332	4612	2	84
98	-1	-1	-1	-1	0	88	88	1351	4612	3	83
99	-1	-1	-1	-1	0	88	88	1368	4612	3	125
100	-1	-1	-1	-1	0	88	88	1346	4612	3	125
101	-1	-1	-1	-1	0	88	88	1333	4612	3	83
102	-1	-1	-1	-1	0	88	88	1356	4612	3	83
103	-1	-1	-1	-1	0	88	88	1346	4612	3	84
104	-1	-1	-1	-1	0	88	88	1368	4612	3	83
105	-1	-1	-1	-1	0	88	88	1347	4612	2	83
106	-1	-1	-1	-1	0	88	88	1366	4612	3	84
107	-1	-1	-1	-1	0	88	88	1944	4612	4	125
108	-1	-1	-1	-1	0	88	88	1367	4612	3	84
109	-1	-1	-1	-1	0	88	88	1359	4612	3	83
110	-1	-1	-1	-1	0	88	88	1337	4612	2	84
111	-1	-1	-1	-1	0	88	88	1498	4611	3	125
112	-1	-1	-1	-1	0	88	88	1348	4611	3	84
113	-1	-1	-1	-1	0	88	88	1320	4611	3	83
114	-1	-1	-1	-1	0	88	88	1352	4612	3	125
115	-1	-1	-1	-1	0	88	88	1363	4612	3	125
116	-1	-1	-1	-1	0	88	88	1323	4612	3	125
117	-1	-1	-1	-1	0	88	88	1359	4612	3	83
118	-1	-1	-1	-1	0	88	88	1339	4612	3	125
119	-1	-1	-1	-1	0	88	88	1353	4611	3	83
120	-1	-1	-1	-1	0	88	88	1449	4612	3	125
121	-1	-1	-1	-1	0	88	88	1340	4612	3	83
122	-1	-1	-1	-1	0	88	88	1337	4612	3	83
123	-1	-1	-1	-1	0	88	88	1327	4612	3	84
124	-1	-1	-1	-1	0	88	88	1341	4612	3	125
125	-1	-1	-1	-1	0	88	88	1327	4612	3	125
126	-1	-1	-1	-1	0	88	88	1353	4611	2	83
127	-1	-1	-1	-1	0	88	88	1358	4611	2	83
128	-1	-1	-1	-1	0	88	88	1332	4611	3	84
129	-1	-1	-1	-1	0	88	88	1402	4612	3	83
130	-1	-1	-1	-1	0	88	88	1332	4612	3	84
131	-1	-1	-1	-1	0	88	88	1329	4612	2	83
