# schema=eeg_ossm_hessian.v1
# seq_len=8
# input_dim=8
# feature_layout=flat
# label_space=rest_vs_task
subject_id	label	site	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63
S001_rest_0	0	S001	-0.22990382	-0.74401258	-0.72505064	-0.60886541	-0.43623794	-0.32887209	-0.73751159	-0.81940974	-0.31672846	-0.85019880	-0.77800019	-0.48293775	-0.45483507	-0.22647921	-0.51232848	-0.72268610	-0.50774267	-0.85019880	-0.79565003	-0.69881374	-0.64080634	-0.36982924	-0.44477355	-0.50989410	-0.54247252	-0.88559421	-0.72505064	-0.71680341	-0.65940347	-0.59509358	-0.69247497	-0.58727301	-0.52510760	-0.97408273	-0.93684881	-0.93267940	-0.95695752	-0.86131508	-0.80506652	-0.76137555	-0.71612180	-1.22185059	-1.30749559	-1.31046239	-1.31030295	-1.10705799	-1.18787780	-1.03220173	-0.55983745	-1.02717585	-1.06039773	-0.98664840	-0.93836039	-0.61557216	-0.71499328	-0.91613337	-0.49037774	-0.95638503	-0.98979835	-0.93267940	-0.91976326	-0.69748646	-0.60240172	-0.64530719
S001_rest_1	0	S001	-0.40355310	-0.90329192	-0.86624942	-0.78876208	-0.75238911	-0.41078639	-0.26462706	-0.49054938	-0.45564788	-1.02717585	-1.06039773	-1.09458640	-1.12433167	-0.75892219	-0.71499328	-0.85809919	-0.29936353	-1.00947814	-1.18394666	-1.36443139	-1.32890008	-1.12753657	-1.16535949	-0.91613337	-0.97659572	-1.66429320	-1.66049253	-1.81417305	-1.66364838	-1.45519379	-1.27795104	-1.53516464	-0.57720238	-1.38112993	-1.44869437	-1.52633839	-1.40328859	-1.20945087	-1.07528624	-1.26433846	-0.26463367	-1.15105978	-1.27219590	-1.29247273	-1.31030295	-1.35280091	-1.59320739	-1.07089119	-0.16044411	-1.02717585	-1.39574482	-1.61628672	-1.68224551	-1.68045813	-1.90846374	-0.78072028	-0.21253889	-0.92098962	-1.09569743	-1.27448306	-1.31030295	-1.27088660	-1.45809752	-0.52923883
S001_rest_2	0	S001	-0.36882324	-0.85019880	-0.97214850	-0.95066907	-1.08713742	-1.12753657	-1.45809752	-0.66465192	-0.62929716	-1.13336207	-1.23689620	-1.18453473	-1.14292880	-1.10705799	-1.34550597	-0.97416755	-0.35145831	-0.86789651	-1.00744819	-1.04061740	-0.95695752	-0.94322938	-1.23291442	-0.95482282	-0.45564788	-0.99178044	-1.13099712	-1.23850373	-1.23591444	-1.16849372	-1.39054259	-1.14827009	-0.76821659	-1.25724600	-1.30749559	-1.34644173	-1.21731731	-1.02514369	-0.96269469	-1.12892537	-0.24726875	-0.76171028	-0.72505064	-0.84273107	-0.60361209	-0.63605074	-1.00773131	-0.54858356	-0.50774267	-1.15105978	-1.09569743	-1.14855540	-0.84537475	-0.82035792	-1.12032287	-1.03220173	-0.97659572	-1.64659550	-1.71344207	-1.65226605	-1.29170582	-1.14801515	-1.36802428	-1.43844100
S001_rest_3	0	S001	-0.75085166	-1.15105978	-1.21924636	-1.16654507	-1.01274890	-1.08657942	-1.36802428	-0.91613337	-0.47301281	-1.08026896	-1.11334728	-1.13056573	-0.91976326	-1.14801515	-1.36802428	-1.12892537	-0.54247252	-1.18645518	-1.28984574	-1.36443139	-1.10573454	-1.10705799	-1.07528624	-1.20630428	-1.08078529	-1.59350238	-1.78404146	-1.85015238	-1.60785700	-1.63950098	-1.81839049	-1.72861191	-1.06342036	-1.71738631	-1.78404146	-1.85015238	-1.44048285	-1.43471522	-1.61572570	-1.74795663	-0.99396065	-1.68199091	-1.80169130	-1.88613171	-1.64505126	-1.72141529	-1.86342711	-1.59319882	-0.82031137	-1.52271157	-1.66049253	-1.81417305	-1.79382828	-1.82380817	-1.90846374	-1.53516464	-0.57720238	-1.23954830	-1.43104452	-1.41840039	-1.44048285	-1.47567237	-1.43557921	-1.28368318
S001_rest_4	0	S001	-0.69875688	-1.39882764	-1.67814237	-1.65226605	-1.62645413	-1.57806525	-1.39054259	-1.34171736	-0.43828295	-1.15105978	-1.44869437	-1.54432806	-1.55206562	-1.65997956	-1.93098205	-1.03220173	-0.55983745	-1.00947814	-1.09569743	-1.13056573	-1.14292880	-1.22992945	-1.43557921	-1.12892537	-0.36882324	-0.81480339	-0.98979835	-1.16654507	-1.03134603	-0.94322938	-1.12032287	-0.99351228	0.01320517	-0.60243094	-0.84859957	-1.07659673	-0.90116614	-0.79987935	-1.05276793	-0.76137555	0.11739474	-0.31926767	-0.40735340	-0.46494808	-0.19447527	-0.16504348	-0.48981017	-0.33579156	0.69043737	0.12317493	-0.10730601	-0.23108242	0.12167590	0.14213517	-0.08448058	0.20586080	0.77726201	0.26475657	-0.14260570	-0.41097909	-0.08289251	-0.18552205	-0.55736510	0.51537643
S001_rest_5	0	S001	0.70780229	0.03468641	-0.28380447	-0.64484475	-0.25026666	-0.28791494	-0.57988341	0.28323971	0.46469330	-0.26617456	-0.61915156	-0.93267940	-0.56641783	-0.47222212	-0.39973693	-0.25841265	-0.07361947	-0.76171028	-1.13099712	-1.31046239	-1.06854029	-0.98418653	-0.98521300	-0.76137555	-0.40355310	-1.08026896	-1.36044513	-1.59829705	-1.29170582	-1.12753657	-1.23291442	-1.18695955	-0.90713601	-1.43422304	-1.67814237	-2.01205938	-1.64505126	-1.35280091	-1.27795104	-1.45778573	-0.68139195	-1.31033911	-1.71344207	-2.19195604	-1.70084264	-1.35280091	-1.07528624	-1.32237264	-0.69875688	-1.39882764	-1.78404146	-2.13798704	-1.77523115	-1.47567237	-1.25543273	-1.61254354	-0.75085166	-1.31033911	-1.62519283	-1.86814205	-1.66364838	-1.35280091	-1.27795104	-1.45778573
S001_rest_6	0	S001	-0.22990382	-0.81480339	-1.27219590	-1.41840039	-1.18012306	-0.92275081	-0.91765807	-0.93547810	-0.35145831	-0.92098962	-1.30749559	-1.43639006	-1.18012306	-0.92275081	-0.76002990	-0.93547810	-0.50774267	-1.15105978	-1.46634421	-1.72422472	-1.38469146	-1.00466511	-0.66995665	-1.09023591	-0.62929716	-1.39882764	-1.90759038	-2.22793537	-1.81242541	-1.37327949	-0.98521300	-1.45778573	-0.45564788	-1.02717585	-1.51929375	-1.88613171	-1.49627423	-1.00466511	-0.44477355	-1.16761482	-0.38618817	-0.85019880	-1.32514544	-1.72422472	-1.45907998	-1.08657942	-1.00773131	-1.09023591	-0.12571425	-0.67322176	-1.16629682	-1.63427639	-1.34749721	-1.04562226	-0.89513976	-0.81940974	-0.19517396	-0.63782635	-0.97214850	-1.34644173	-1.12433167	-0.94322938	-0.82758483	-0.76137555
S001_rest_7	0	S001	0.10002981	-0.31926767	-0.72505064	-0.96865874	-0.80818050	-0.61557216	-0.55736510	-0.45185992	0.22158431	-0.24847686	-0.76035034	-1.05860707	-0.80818050	-0.63605074	-0.60240172	-0.35513629	0.08266489	-0.21308145	-0.60150172	-0.96865874	-0.62220922	-0.51317928	-0.44477355	-0.37448101	0.20421938	-0.21308145	-0.46030294	-0.87871041	-0.60361209	-0.47222212	-0.37721862	-0.33579156	0.18685445	-0.23077915	-0.51325248	-0.87871041	-0.71519486	-0.59509358	-0.64743834	-0.29710211	0.22158431	-0.31926767	-0.60150172	-0.87871041	-0.69659773	-0.51317928	-0.78254821	-0.41317047	0.20421938	-0.33696538	-0.79565003	-1.13056573	-0.91976326	-0.67700789	-0.91765807	-0.43251519	0.23894924	-0.12459293	-0.60150172	-0.89670007	-0.64080634	-0.43126497	-0.62492003	-0.16168902
S001_rest_8	0	S001	0.22158431	-0.15998833	-0.47795279	-0.68082408	-0.49202932	-0.30839351	-0.44477355	-0.23906792	0.34313881	-0.00070900	-0.33675401	-0.57288608	-0.41764081	-0.16504348	-0.17455382	-0.00693120	0.74253215	0.33554739	-0.12495585	-0.44695842	-0.32465517	-0.20600063	-0.15203551	0.28323971	0.60361273	0.21166346	-0.17790539	-0.51891708	-0.41764081	-0.28791494	-0.37721862	0.08979244	0.42996345	0.03468641	-0.44265310	-0.80675174	-0.62220922	-0.43126497	-0.42225524	-0.06496538	0.65570751	0.15857034	-0.30145432	-0.66283441	-0.45483507	-0.36982924	-0.39973693	-0.06496538	0.81199186	0.31784968	-0.08965616	-0.44695842	-0.25026666	-0.08312917	0.14070253	-0.14234429	0.42996345	-0.10689522	-0.56620202	-0.91468974	-0.84537475	-0.69748646	-0.85010314	-0.39382574
S001_rest_9	0	S001	0.74253215	0.22936116	-0.12495585	-0.42896875	-0.34325230	-0.00121487	-0.15203551	0.10913716	1.07246578	0.67180377	0.38688971	0.05675224	0.17746729	0.34692093	0.18573915	0.47668698	1.28084492	0.81338540	0.40453955	0.12871090	0.08448165	0.01926371	-0.26462706	0.67013425	1.43712927	0.86647851	0.52808848	0.20066957	0.06588452	-0.02169344	-0.39973693	0.80554734	1.28084492	0.93726933	0.58103802	0.27262823	0.19606441	0.08069944	-0.24210875	0.92161570	1.08983071	0.72489688	0.49278879	0.25463856	0.23325867	0.10117802	-0.17455382	0.78620261	1.38503449	0.86647851	0.66928726	0.41654556	0.38203569	0.10117802	-0.15203551	0.67013425	0.70780229	0.30015198	0.13979185	0.00278324	-0.15728102	-0.53365785	-0.85010314	0.45734225
