source,target
1,2
1,16
1,49
1,71
1,5
1,29
2,3
2,25
2,86
2,100
2,60
3,4
3,34
3,127
3,17
3,86
3,133
3,156
3,160
3,161
4,125
4,28
4,127
4,181
4,217
5,8
5,71
5,131
5,32
5,120
5,170
5,191
5,215
5,220
6,127
6,44
6,75
6,138
6,193
6,232
6,200
6,223
6,236
7,16
7,76
7,140
7,35
7,89
7,126
7,177
7,201
7,224
7,191
7,230
8,79
8,43
8,94
8,139
8,151
8,188
8,242
8,249
8,170
8,207
9,21
9,33
9,87
9,166
9,203
9,220
9,230
9,252
9,254
10,104
10,86
10,152
10,221
10,232
10,253
10,255
10,256
10,165
11,19
11,53
11,83
11,60
11,161
11,236
11,244
11,261
11,265
11,267
11,172
12,47
12,51
12,101
12,157
12,227
12,269
13,23
13,127
13,100
13,45
13,178
13,253
13,187
13,257
13,283
13,285
14,18
14,49
14,109
14,64
14,198
14,249
14,220
14,258
14,290
14,297
15,273
15,302
15,311
15,211
16,125
16,71
16,260
16,149
16,201
16,242
16,280
16,319
17,28
17,74
17,110
17,156
17,206
17,283
17,316
17,324
17,219
17,287
18,27
18,73
18,208
18,249
18,284
18,319
18,326
18,154
19,123
19,86
19,134
19,217
19,293
19,301
19,334
19,335
19,236
20,30
20,129
20,153
20,247
20,303
20,341
21,147
21,29
21,82
21,306
21,319
21,344
21,352
21,174
21,230
22,71
22,154
22,252
22,297
22,328
22,354
22,357
22,274
22,318
23,36
23,70
23,181
23,322
23,156
23,253
23,330
23,355
23,360
23,363
24,167
24,310
24,343
24,378
25,34
25,44
25,155
25,335
25,267
25,348
25,376
26,45
26,199
26,255
26,339
26,169
26,270
26,350
26,377
27,85
27,180
27,284
27,332
27,305
27,354
27,403
28,104
28,84
28,355
28,404
28,405
28,283
29,120
29,201
29,306
29,358
29,437
29,289
30,93
30,51
30,303
30,395
30,381
30,430
30,438
30,440
30,182
31,123
31,136
31,291
31,382
31,439
31,441
31,200
31,304
32,43
32,220
32,412
32,421
32,468
33,58
33,135
33,423
33,463
33,469
33,252
33,310
34,69
34,110
34,418
34,476
34,480
34,161
34,226
34,335
34,436
35,71
35,112
35,230
35,337
35,437
35,470
35,477
35,325
35,421
36,148
36,262
36,330
36,342
36,482
36,486
37,64
37,239
37,446
37,478
37,263
37,375
37,434
38,76
38,122
38,352
38,483
38,378
38,437
38,493
39,332
39,379
39,494
39,150
40,75
40,119
40,152
40,218
40,333
40,439
40,496
40,240
40,350
40,482
41,155
41,221
41,334
41,441
41,496
41,169
41,244
41,353
41,453
41,486
41,499
42,273
42,335
42,443
42,246
42,456
42,499
42,172
43,52
43,249
43,462
43,492
43,501
43,274
44,69
44,164
44,236
44,348
44,456
44,508
44,510
44,364
45,70
45,165
