t,Cp,C1,C2,CT
0.00,1.000000,0.000000,0.000000,0.000000
1.000000,0.818731,0.116970,0.006255,0.123225
2.000000,0.670320,0.182920,0.020937,0.203857
3.000000,0.548812,0.215169,0.039562,0.254731
4.000000,0.449329,0.225696,0.059277,0.284973
5.000000,0.367879,0.222709,0.078338,0.301047
6.000000,0.301194,0.211767,0.095750,0.307516
7.000000,0.246597,0.196571,0.111012,0.307583
8.000000,0.201897,0.179540,0.123941,0.303481
9.000000,0.165299,0.162205,0.134555,0.296759
10.000000,0.135335,0.145493,0.142985,0.288478
11.000000,0.110803,0.129930,0.149427,0.279357
12.000000,0.090718,0.115771,0.154104,0.269875
13.000000,0.074274,0.103100,0.157246,0.260346
14.000000,0.060810,0.091897,0.159071,0.250968
15.000000,0.049787,0.082077,0.159783,0.241860
16.000000,0.040762,0.073523,0.159566,0.233089
17.000000,0.033373,0.066104,0.158581,0.224685
18.000000,0.027324,0.059687,0.156972,0.216659
19.000000,0.022371,0.054145,0.154859,0.209004
20.000000,0.018316,0.049360,0.152347,0.201707
21.000000,0.014996,0.045225,0.149523,0.194748
22.000000,0.012277,0.041646,0.146462,0.188108
23.000000,0.010052,0.038541,0.143225,0.181766
24.000000,0.008230,0.035838,0.139863,0.175701
25.000000,0.006738,0.033475,0.136419,0.169894
26.000000,0.005517,0.031400,0.132927,0.164327
27.000000,0.004517,0.029569,0.129415,0.158984
28.000000,0.003698,0.027944,0.125906,0.153849
29.000000,0.003028,0.026493,0.122418,0.148911
30.000000,0.002479,0.025190,0.118967,0.144157
31.000000,0.002029,0.024012,0.115563,0.139575
32.000000,0.001662,0.022942,0.112216,0.135158
33.000000,0.001360,0.021963,0.108932,0.130894
34.000000,0.001114,0.021062,0.105716,0.126778
35.000000,0.000912,0.020228,0.102574,0.122802
36.000000,0.000747,0.019453,0.099505,0.118958
37.000000,0.000611,0.018729,0.096514,0.115243
38.000000,0.000500,0.018049,0.093600,0.111649
39.000000,0.000410,0.017408,0.090764,0.108172
40.000000,0.000335,0.016802,0.088005,0.104807
41.000000,0.000275,0.016227,0.085323,0.101550
42.000000,0.000225,0.015680,0.082718,0.098397
43.000000,0.000184,0.015157,0.080187,0.095345
44.000000,0.000151,0.014658,0.077730,0.092388
45.000000,0.000123,0.014180,0.075345,0.089525
46.000000,0.000101,0.013721,0.073031,0.086752
47.000000,0.000083,0.013280,0.070786,0.084066
48.000000,0.000068,0.012856,0.068608,0.081464
49.000000,0.000055,0.012447,0.066496,0.078943
50.000000,0.000045,0.012054,0.064447,0.076501
51.000000,0.000037,0.011673,0.062461,0.074134
52.000000,0.000030,0.011306,0.060535,0.071842
53.000000,0.000025,0.010952,0.058668,0.069620
54.000000,0.000020,0.010609,0.056858,0.067468
55.000000,0.000017,0.010278,0.055104,0.065382
56.000000,0.000014,0.009958,0.053403,0.063361
57.000000,0.000011,0.009648,0.051754,0.061402
58.000000,0.000009,0.009348,0.050157,0.059504
59.000000,0.000008,0.009057,0.048608,0.057665
60.000000,0.000006,0.008776,0.047107,0.055883
