FANO_PERM_0: 0 1 2 3 4 5 6 7
FANO_PERM_1: 1 0 3 2 5 4 7 6
FANO_PERM_2: 2 3 0 1 6 7 4 5
FANO_PERM_3: 3 2 1 0 7 6 5 4
FANO_PERM_4: 4 5 6 7 0 1 2 3
FANO_PERM_5: 5 4 7 6 1 0 3 2
FANO_PERM_6: 6 7 4 5 2 3 0 1
FANO_PERM_7: 7 6 5 4 3 2 1 0

FANO_SIGN_MASK_0: + + + + + + + +
FANO_SIGN_MASK_1: - + + - + - - +
FANO_SIGN_MASK_2: - - + + + + - -
FANO_SIGN_MASK_3: - + - + + - + -
FANO_SIGN_MASK_4: - - - - + + + +
FANO_SIGN_MASK_5: - + - + - + - +
FANO_SIGN_MASK_6: - + + - - + + -
FANO_SIGN_MASK_7: - - + + - - + +
