# gate_reachability.manifest.tsv
# Columns: gate<TAB>state<TAB>owner<TAB>reason
# state ∈ admitido | nao-admitido | obsoleto
# admitido: must be named under .github/; owner/reason may be empty
# nao-admitido / obsoleto: owner AND reason must be non-empty
# A scripts/ci/*.sh with no row is RED. Malformed is redder than absent.
# Bootstrap 2026-08-19 on 548 top-level scripts/ci/*.sh.
# named → admitido; unnamed → nao-admitido owner=por atribuir
gate	state	owner	reason
168_biology_validation_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
ade_wildgen_mckay_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
arm64_nested_store_witness_gate.sh	admitido		
assert_no_rust_markers.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
associator_gum_variance_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
bootstrap_chain_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
brain_ossm_sigmoid_polarity_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
build_modular_madaros.sh	admitido		
build_native_souc.sh	admitido		
build_ontology_validation_souc.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
canonical_compiler_gate.sh	admitido		
cd_tower_nullity_histogram_law_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
cd_tower_seam_gate.sh	admitido		
cd_zd_graph_invariants_gate.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
check_check_sio_integration_window.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
check_claude_plan_consistency.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
check_doc_snippets.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
check_feature_matrix.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
check_golden_snapshots.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
check_issue_template_contracts.sh	admitido		
check_legacy_paths.sh	admitido		
check_new_warnings.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
check_no_active_cargo_jobs.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
check_overnight_plan_big_health.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
check_parallel_blocker_contract.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
check_prompt_execution_contract.sh	nao-admitido	por atribuir	herdado no bootstrap 2026-08-19, estado por rever
