SCHEMA=sounio.cs6.hapg-liouville-carrier-ablation-coordinates.v1
CONTRACT_STATE=PRE_RESULT_FROZEN
DATE=2026-08-02
SOURCE=N0
CELL_COUNT=40
CAPD_SET_TARGET_COUNT=24
NO_SIGNED_CHART_CONTROL_COUNT=8
HPG_POSITIVE_CONTROL_COUNT=8
CARRIER_COUNT=3
MAXIMUM_EVALUATIONS=120
SELECTION_ORDER=GROUP_ORDER_BELOW_THEN_ASCII_NODE_ID_BIN_MEDOID_OR_DECLARED_KAT_ANCHOR
CAPD_GROUP_ORDER=U2_S3,U3_S3,U3_S4
CAPD_SELECTION=FOR_EACH_GROUP_SORT_ELIGIBLE_NODE_ID_ASCII_AND_SELECT_ZERO_BASED_RANK_FLOOR_OPEN_PAREN_2J_PLUS_1_CLOSE_PAREN_N_OVER_2K_FOR_J_0_THROUGH_7
NO_CHART_GROUP_ORDER=U2_S2,U2_S3,U3_S3,U3_S4
NO_CHART_SELECTION=FOR_EACH_GROUP_SORT_ELIGIBLE_NODE_ID_ASCII_AND_SELECT_ZERO_BASED_RANK_FLOOR_OPEN_PAREN_2J_PLUS_1_CLOSE_PAREN_N_OVER_2K_FOR_J_0_THROUGH_1
HPG_POSITIVE_SELECTION=ALL_FOUR_U8_S8_PROBE_PASS_TRUE_THEN_ASCII_MINIMUM_PROBE_VALID_CERTIFIED_IN_U12_S12,U13_S14,U14_S13,U16_S12
ELIGIBLE_POPULATION_CHANGE_POLICY=ABORT_NO_TIEBREAK_NO_SUBSTITUTION
ROW_ORDER=CAPD_U2_S3,CAPD_U3_S3,CAPD_U3_S4,NO_CHART_U2_S2,NO_CHART_U2_S3,NO_CHART_U3_S3,NO_CHART_U3_S4,HPG_POSITIVE_U8_S8,HPG_POSITIVE_U12_S12,HPG_POSITIVE_U13_S14,HPG_POSITIVE_U14_S13,HPG_POSITIVE_U16_S12
ORDINAL	SAMPLE_CLASS	STRATUM	NODE_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	PARENT_INPUT_SHA256
1	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000000_S03-0000000003	2	0	3	3	1b463e8a4ad4c68d0659e4decf0e6c232e6383e65a1997bc8193eba66e33a317
2	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000001_S03-0000000000	2	1	3	0	0f00eace4d3f3529b84d91f4a26c4f9e8be0c1fbd5e726aad4478e425337bf46
3	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000001_S03-0000000007	2	1	3	7	aaaff87d1b3ab4b4ef2e94fdf010613d86619e4e029f8b379831283a1c389944
4	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000002_S03-0000000001	2	2	3	1	be78b0dceb277ec4535d03fed4dfa882e2b56a0ed0a572c8160f174d4b63ab5a
5	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000002_S03-0000000006	2	2	3	6	b63575ccafecf5a3de8b05fdafcb4bda41b2c4e093aa49227f1cde2525f080c8
6	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000003_S03-0000000000	2	3	3	0	8f073cbc64b1eeab9364747bee56df3ee7beabfcbb7d517a6743a1e5cc2b25e8
7	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000003_S03-0000000002	2	3	3	2	5ac204689415690d412f5fc0f0ead93d334c39286ec4bdd932d1b0fd00296c45
8	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000003_S03-0000000004	2	3	3	4	0c7429ff8b397f70225ff2d37bb17066d2a268ec0687f9b9394afa4eecd942e8
9	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000000_S03-0000000003	3	0	3	3	ce217bc78032d377e2855d73259476e7b3bc45fe483ef11d06387e15ed497322
10	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000001_S03-0000000003	3	1	3	3	16ce2b63422b8d81d6884631b789888ef6afd5309dd0b652938a9ea059a0ecf8
11	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000002_S03-0000000001	3	2	3	1	a23424c38566497259169b1c3985d1426241f51f2ddb1c9a1b6095ceebcc73af
12	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000003_S03-0000000000	3	3	3	0	f981c33502b5bfe9348c22091d116cd472e9a11f713dab77c29415d6398ff0b0
13	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000003_S03-0000000006	3	3	3	6	ab3b3470e6399c8dd6c0862af270b5eaffa7206f0cbec557d900dfbafcd36a58
14	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000004_S03-0000000006	3	4	3	6	8425aa381dee6d5b27adfb4e4aef1458db2e42f277f290ce66954d6515aed87d
15	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000005_S03-0000000007	3	5	3	7	b15567bef5e4b882e402e764da392f23270e2ebb6ed2a9a597d30ac24b2696c2
16	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000007_S03-0000000003	3	7	3	3	bf31b8069ad86378da2d401b9bab9894d9526f25e548d37d0b36d826d90ff0d3
17	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000000_S04-0000000007	3	0	4	7	f10f9b56bc2971493e892084e8b44ed4f2f5ab21401dd8b461c5862e372f204e
18	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000001_S04-0000000005	3	1	4	5	43495a51e527bc949596f5116b1e147c906f454f7c35176eb4cd9f59a2dd6c8b
19	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000002_S04-0000000005	3	2	4	5	5b8900d64aa73ff4fd8eccd64aec5f6040f461f3f107b57b1173f5e365df213f
20	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000003_S04-0000000008	3	3	4	8	2363c026ba9c46382c9893a3b7c3c2311463c687ff2a3bb499231448895b30c6
21	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000004_S04-0000000008	3	4	4	8	49752d4dd68b5abf3f3e5f70822084c8cb0b1d417e2d0464013c8d76c8fd117b
22	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000005_S04-0000000010	3	5	4	10	0f956569987b7ccc8d0a2673d8ae151d55e3d7722d1c4062f549d3df4796cb07
23	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000006_S04-0000000010	3	6	4	10	497ee127e6b427ce415fc230a706bb6a5827386b83bc9a949e467d9c1443ae6c
24	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000007_S04-0000000008	3	7	4	8	1fb2fa648c20da8cce08294714f0329211d94c8bb7ccc26dfcd8e152d1ad7b9a
25	NO_SIGNED_CHART_CONTROL	NO_CHART_U2_S2	U02-0000000001_S02-0000000000	2	1	2	0	eda219f3ac7470d2955aa4168865605c7e8e1c5423c3c17caaed710ca365252d
26	NO_SIGNED_CHART_CONTROL	NO_CHART_U2_S2	U02-0000000002_S02-0000000003	2	2	2	3	4ebcd3415b1319f8461b62c131977a142745fb1040af1c16a9cef5c54d63a2a5
27	NO_SIGNED_CHART_CONTROL	NO_CHART_U2_S3	U02-0000000001_S03-0000000001	2	1	3	1	1cab72e2349261b9bc7849efd59dc4a9f955c54a9d1d59d6514350170f3f4619
28	NO_SIGNED_CHART_CONTROL	NO_CHART_U2_S3	U02-0000000002_S03-0000000004	2	2	3	4	670a9c5cb8743beeda63cbf73dd3f7862fad8c9f85b1de4436d6b2811a3cd4c2
29	NO_SIGNED_CHART_CONTROL	NO_CHART_U3_S3	U03-0000000004_S03-0000000004	3	4	3	4	def4259198b524b84f052c55441a1e0a2aff8235c1da6b19c6821bc407a4473b
30	NO_SIGNED_CHART_CONTROL	NO_CHART_U3_S3	U03-0000000006_S03-0000000006	3	6	3	6	c2e49c8257619c17df5e17b6a916bf252faa2ef9a9279e1248bca3e219c64aa1
31	NO_SIGNED_CHART_CONTROL	NO_CHART_U3_S4	U03-0000000002_S04-0000000013	3	2	4	13	4be1a6d1538d925b984de5717cb09ef325b7575baec2f18fd6b69b4e1cfc61cc
32	NO_SIGNED_CHART_CONTROL	NO_CHART_U3_S4	U03-0000000005_S04-0000000003	3	5	4	3	2710a0a526a62ecd4f86517baf2e6ff3c4017aa01f5980c44579cadf0d6354b7
33	HPG_POSITIVE_CONTROL	HPG_POSITIVE_U8_S8	U08-0000000064_S08-0000000064	8	64	8	64	51024385260754ebcea722867ecf95e3b6aeaa19660c162aa54af5ddc49dbb7d
34	HPG_POSITIVE_CONTROL	HPG_POSITIVE_U8_S8	U08-0000000064_S08-0000000192	8	64	8	192	8402247afc91796acc0194ceb0de7514075bf461223adf96bbe0798332a9d6a7
35	HPG_POSITIVE_CONTROL	HPG_POSITIVE_U8_S8	U08-0000000192_S08-0000000064	8	192	8	64	9a543f3f06ee060f579ef47f808ebdbba9d237cd1cb6d692046057ff84856d7f
36	HPG_POSITIVE_CONTROL	HPG_POSITIVE_U8_S8	U08-0000000192_S08-0000000192	8	192	8	192	1da8d07d88864eee425c0fd28d9bd38b78fe17d3aa5bb9ad03bb4a38b48f95ed
37	HPG_POSITIVE_CONTROL	HPG_POSITIVE_U12_S12	U12-0000001024_S12-0000001024	12	1024	12	1024	3c1b1668641d08132620ab82b37ad1cc5e90b37d0de97f90a10f28f01fffd5e1
38	HPG_POSITIVE_CONTROL	HPG_POSITIVE_U13_S14	U13-0000001024_S14-0000002048	13	1024	14	2048	74c728b34c5ba03dab2841cdae56f6e6c0b6fe26bc26981d87a50307ef60ecbd
39	HPG_POSITIVE_CONTROL	HPG_POSITIVE_U14_S13	U14-0000004096_S13-0000002048	14	4096	13	2048	a03964e7086bc27aa23d72305402377451dab3862b088dc54d9bbcb4a06d878b
40	HPG_POSITIVE_CONTROL	HPG_POSITIVE_U16_S12	U16-0000016384_S12-0000001024	16	16384	12	1024	0371d8d86067aea24d1eddebf14d267bfe90445b396fade88fa238246d675e67
