SCHEMA=sounio.cs6.v7b-full-hpg-bridge-ledger.v1
CONTRACT_STATE=PRE_EXECUTION_FROZEN
DATE=2026-08-02
SOURCE=N0
PARENT_V7A1_SLURM_JOB=8496
ROW_COUNT=24
CANDIDATE_CARRIERS=C0HORect2Set,C0Rect2Set
BOUNDARY_ORDER=LIOUVILLE_CHECKPOINT,C1_BOUNDARY,C2_BOUNDARY,SECTION_RESIDENT_CROSSING
STATUS_DOMAIN=SATISFIED_BY_V7A1,REQUIRED_UNRUN
ROW_ID	PARENT_V7_ORDINAL	CHECKPOINT_ROLE	NODE_ID	CARRIER	BOUNDARY	STATUS	REQUIRED_EVIDENCE	PARENT_ATTEMPT_INDEX	PARENT_ATTEMPT_BINDING	PARENT_DET_INTERVAL	NEXT_ACTION
001	22	POSITIVE_CONTROL_LEFT	U03-0000000005_S04-0000000010	C0HORect2Set	LIOUVILLE_CHECKPOINT	SATISFIED_BY_V7A1	VERIFIED_CHECKPOINT_46_OF_46_MUTATIONS_REJECTED	2	b3b8f3eba36075c3597d87a89798cb9b4eb03c3900e2db0069acc35d01a6c01d	[-0x1.f82a4374d4e82p-36,-0x1.ee914ac0de992p-36]	REUSE_AS_PARENT_BOUNDARY_ONLY
002	22	POSITIVE_CONTROL_LEFT	U03-0000000005_S04-0000000010	C0HORect2Set	C1_BOUNDARY	REQUIRED_UNRUN	SERIALIZED_C1_RECEIPT_AND_VERIFIER_PASS	-	-	-	RUN_PROSPECTIVE_BRIDGE_BOUNDARY
003	22	POSITIVE_CONTROL_LEFT	U03-0000000005_S04-0000000010	C0HORect2Set	C2_BOUNDARY	REQUIRED_UNRUN	SERIALIZED_C2_RECEIPT_AND_VERIFIER_PASS	-	-	-	RUN_PROSPECTIVE_BRIDGE_BOUNDARY
004	22	POSITIVE_CONTROL_LEFT	U03-0000000005_S04-0000000010	C0HORect2Set	SECTION_RESIDENT_CROSSING	REQUIRED_UNRUN	SERIALIZED_SECTION_RESIDENT_CROSSING_RECEIPT_OR_CLASSIFIED_NEGATIVE	-	-	-	RUN_PROSPECTIVE_BRIDGE_BOUNDARY
005	22	POSITIVE_CONTROL_LEFT	U03-0000000005_S04-0000000010	C0Rect2Set	LIOUVILLE_CHECKPOINT	SATISFIED_BY_V7A1	VERIFIED_CHECKPOINT_46_OF_46_MUTATIONS_REJECTED	3	c27614ec6f41a93373caa6416277d6cc7935c2080730a20601e7f6984d563696	[-0x1.f843a7904b20cp-36,-0x1.ee78600a257f9p-36]	REUSE_AS_PARENT_BOUNDARY_ONLY
006	22	POSITIVE_CONTROL_LEFT	U03-0000000005_S04-0000000010	C0Rect2Set	C1_BOUNDARY	REQUIRED_UNRUN	SERIALIZED_C1_RECEIPT_AND_VERIFIER_PASS	-	-	-	RUN_PROSPECTIVE_BRIDGE_BOUNDARY
007	22	POSITIVE_CONTROL_LEFT	U03-0000000005_S04-0000000010	C0Rect2Set	C2_BOUNDARY	REQUIRED_UNRUN	SERIALIZED_C2_RECEIPT_AND_VERIFIER_PASS	-	-	-	RUN_PROSPECTIVE_BRIDGE_BOUNDARY
008	22	POSITIVE_CONTROL_LEFT	U03-0000000005_S04-0000000010	C0Rect2Set	SECTION_RESIDENT_CROSSING	REQUIRED_UNRUN	SERIALIZED_SECTION_RESIDENT_CROSSING_RECEIPT_OR_CLASSIFIED_NEGATIVE	-	-	-	RUN_PROSPECTIVE_BRIDGE_BOUNDARY
009	23	MASKED_TARGET	U03-0000000006_S04-0000000010	C0HORect2Set	LIOUVILLE_CHECKPOINT	SATISFIED_BY_V7A1	VERIFIED_CHECKPOINT_46_OF_46_MUTATIONS_REJECTED	5	5a9802421c3b77898c3950a8b2f66c3111cb41645bc1b2d5331227422751c5cb	[-0x1.f7f09dcc7884cp-36,-0x1.ee591a81230ap-36]	REUSE_AS_PARENT_BOUNDARY_ONLY
010	23	MASKED_TARGET	U03-0000000006_S04-0000000010	C0HORect2Set	C1_BOUNDARY	REQUIRED_UNRUN	SERIALIZED_C1_RECEIPT_AND_VERIFIER_PASS	-	-	-	RUN_PROSPECTIVE_BRIDGE_BOUNDARY
