LAYER	LEAF_ID	PARENT_DEPTH4_CELL_INDEX	DEPTH4_U_OFFSET	DEPTH4_S_OFFSET	SUB_U_OFFSET	SUB_S_OFFSET
D4	U07-0000000096_S08-0000000160	1	0	0	NA	NA
D4	U07-0000000096_S08-0000000161	2	0	1	NA	NA
D4	U07-0000000096_S08-0000000162	3	0	2	NA	NA
D4	U07-0000000096_S08-0000000163	4	0	3	NA	NA
D4	U07-0000000096_S08-0000000164	5	0	4	NA	NA
D4	U07-0000000096_S08-0000000165	6	0	5	NA	NA
D4	U07-0000000096_S08-0000000166	7	0	6	NA	NA
D4	U07-0000000096_S08-0000000167	8	0	7	NA	NA
D4	U07-0000000096_S08-0000000168	9	0	8	NA	NA
D4	U07-0000000096_S08-0000000169	10	0	9	NA	NA
D4	U07-0000000096_S08-0000000170	11	0	10	NA	NA
D4	U07-0000000096_S08-0000000171	12	0	11	NA	NA
D4	U07-0000000096_S08-0000000172	13	0	12	NA	NA
D4	U07-0000000096_S08-0000000173	14	0	13	NA	NA
D4	U07-0000000096_S08-0000000174	15	0	14	NA	NA
D4	U07-0000000096_S08-0000000175	16	0	15	NA	NA
D4	U07-0000000097_S08-0000000160	17	1	0	NA	NA
D4	U07-0000000097_S08-0000000161	18	1	1	NA	NA
D4	U07-0000000097_S08-0000000162	19	1	2	NA	NA
D4	U07-0000000097_S08-0000000163	20	1	3	NA	NA
D4	U07-0000000097_S08-0000000164	21	1	4	NA	NA
D4	U07-0000000097_S08-0000000165	22	1	5	NA	NA
D4	U07-0000000097_S08-0000000166	23	1	6	NA	NA
D4	U07-0000000097_S08-0000000167	24	1	7	NA	NA
D4	U07-0000000097_S08-0000000168	25	1	8	NA	NA
D4	U07-0000000097_S08-0000000169	26	1	9	NA	NA
D4	U07-0000000097_S08-0000000170	27	1	10	NA	NA
D4	U07-0000000097_S08-0000000171	28	1	11	NA	NA
D4	U07-0000000097_S08-0000000172	29	1	12	NA	NA
D4	U07-0000000097_S08-0000000173	30	1	13	NA	NA
D4	U07-0000000097_S08-0000000174	31	1	14	NA	NA
D4	U07-0000000097_S08-0000000175	32	1	15	NA	NA
D4	U07-0000000098_S08-0000000160	33	2	0	NA	NA
D4	U07-0000000098_S08-0000000161	34	2	1	NA	NA
D4	U07-0000000098_S08-0000000162	35	2	2	NA	NA
D4	U07-0000000098_S08-0000000163	36	2	3	NA	NA
D4	U07-0000000098_S08-0000000164	37	2	4	NA	NA
D4	U07-0000000098_S08-0000000165	38	2	5	NA	NA
D4	U07-0000000098_S08-0000000166	39	2	6	NA	NA
D4	U07-0000000098_S08-0000000167	40	2	7	NA	NA
D4	U07-0000000098_S08-0000000168	41	2	8	NA	NA
D4	U07-0000000098_S08-0000000169	42	2	9	NA	NA
D4	U07-0000000098_S08-0000000170	43	2	10	NA	NA
D4	U07-0000000098_S08-0000000171	44	2	11	NA	NA
D4	U07-0000000098_S08-0000000172	45	2	12	NA	NA
D4	U07-0000000098_S08-0000000173	46	2	13	NA	NA
D4	U07-0000000098_S08-0000000174	47	2	14	NA	NA
D4	U07-0000000098_S08-0000000175	48	2	15	NA	NA
D4	U07-0000000099_S08-0000000161	50	3	1	NA	NA
D4	U07-0000000099_S08-0000000162	51	3	2	NA	NA
D4	U07-0000000099_S08-0000000163	52	3	3	NA	NA
D4	U07-0000000099_S08-0000000164	53	3	4	NA	NA
D4	U07-0000000099_S08-0000000165	54	3	5	NA	NA
D4	U07-0000000099_S08-0000000166	55	3	6	NA	NA
D4	U07-0000000099_S08-0000000167	56	3	7	NA	NA
D4	U07-0000000099_S08-0000000168	57	3	8	NA	NA
D4	U07-0000000099_S08-0000000169	58	3	9	NA	NA
D4	U07-0000000099_S08-0000000170	59	3	10	NA	NA
D4	U07-0000000099_S08-0000000171	60	3	11	NA	NA
D4	U07-0000000099_S08-0000000172	61	3	12	NA	NA
D4	U07-0000000099_S08-0000000173	62	3	13	NA	NA
D4	U07-0000000099_S08-0000000174	63	3	14	NA	NA
D4	U07-0000000099_S08-0000000175	64	3	15	NA	NA
D4	U07-0000000100_S08-0000000161	66	4	1	NA	NA
D4	U07-0000000100_S08-0000000162	67	4	2	NA	NA
D4	U07-0000000100_S08-0000000163	68	4	3	NA	NA
D4	U07-0000000100_S08-0000000164	69	4	4	NA	NA
D4	U07-0000000100_S08-0000000165	70	4	5	NA	NA
D4	U07-0000000100_S08-0000000166	71	4	6	NA	NA
D4	U07-0000000100_S08-0000000167	72	4	7	NA	NA
D4	U07-0000000100_S08-0000000168	73	4	8	NA	NA
D4	U07-0000000100_S08-0000000169	74	4	9	NA	NA
D4	U07-0000000100_S08-0000000170	75	4	10	NA	NA
D4	U07-0000000100_S08-0000000171	76	4	11	NA	NA
D4	U07-0000000100_S08-0000000172	77	4	12	NA	NA
D4	U07-0000000100_S08-0000000173	78	4	13	NA	NA
D4	U07-0000000100_S08-0000000174	79	4	14	NA	NA
D4	U07-0000000100_S08-0000000175	80	4	15	NA	NA
D4	U07-0000000101_S08-0000000161	82	5	1	NA	NA
D4	U07-0000000101_S08-0000000162	83	5	2	NA	NA
D4	U07-0000000101_S08-0000000163	84	5	3	NA	NA
D4	U07-0000000101_S08-0000000164	85	5	4	NA	NA
D4	U07-0000000101_S08-0000000165	86	5	5	NA	NA
D4	U07-0000000101_S08-0000000166	87	5	6	NA	NA
D4	U07-0000000101_S08-0000000167	88	5	7	NA	NA
D4	U07-0000000101_S08-0000000168	89	5	8	NA	NA
D4	U07-0000000101_S08-0000000169	90	5	9	NA	NA
D4	U07-0000000101_S08-0000000170	91	5	10	NA	NA
D4	U07-0000000101_S08-0000000171	92	5	11	NA	NA
D4	U07-0000000101_S08-0000000172	93	5	12	NA	NA
D4	U07-0000000101_S08-0000000173	94	5	13	NA	NA
D4	U07-0000000101_S08-0000000174	95	5	14	NA	NA
D4	U07-0000000101_S08-0000000175	96	5	15	NA	NA
D4	U07-0000000102_S08-0000000161	98	6	1	NA	NA
D4	U07-0000000102_S08-0000000162	99	6	2	NA	NA
D4	U07-0000000102_S08-0000000163	100	6	3	NA	NA
D4	U07-0000000102_S08-0000000164	101	6	4	NA	NA
D4	U07-0000000102_S08-0000000165	102	6	5	NA	NA
D4	U07-0000000102_S08-0000000166	103	6	6	NA	NA
D4	U07-0000000102_S08-0000000167	104	6	7	NA	NA
D4	U07-0000000102_S08-0000000168	105	6	8	NA	NA
D4	U07-0000000102_S08-0000000169	106	6	9	NA	NA
D4	U07-0000000102_S08-0000000170	107	6	10	NA	NA
D4	U07-0000000102_S08-0000000171	108	6	11	NA	NA
D4	U07-0000000102_S08-0000000172	109	6	12	NA	NA
D4	U07-0000000102_S08-0000000173	110	6	13	NA	NA
D4	U07-0000000102_S08-0000000174	111	6	14	NA	NA
D4	U07-0000000102_S08-0000000175	112	6	15	NA	NA
D4	U07-0000000103_S08-0000000161	114	7	1	NA	NA
D4	U07-0000000103_S08-0000000162	115	7	2	NA	NA
D4	U07-0000000103_S08-0000000163	116	7	3	NA	NA
D4	U07-0000000103_S08-0000000164	117	7	4	NA	NA
D4	U07-0000000103_S08-0000000165	118	7	5	NA	NA
D4	U07-0000000103_S08-0000000166	119	7	6	NA	NA
D4	U07-0000000103_S08-0000000167	120	7	7	NA	NA
D4	U07-0000000103_S08-0000000168	121	7	8	NA	NA
D4	U07-0000000103_S08-0000000169	122	7	9	NA	NA
D4	U07-0000000103_S08-0000000170	123	7	10	NA	NA
D4	U07-0000000103_S08-0000000171	124	7	11	NA	NA
D4	U07-0000000103_S08-0000000172	125	7	12	NA	NA
D4	U07-0000000103_S08-0000000173	126	7	13	NA	NA
D4	U07-0000000103_S08-0000000174	127	7	14	NA	NA
