LEAF_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	STATUS	PARENT_STATUS	PARENT_AFFINE_PASS	PARENT_RECEIPT_SHA256	E1_R0_CHART	E1_R0_SIGN	E1_R1_CHART	E1_R1_SIGN	E2_R0_CHART	E2_R0_SIGN	E2_R1_CHART	E2_R1_SIGN	METHOD	PROBE_PASS	AFFINE_PASS	BOXED_HOMOGENEOUS_PASS	APG_VALID	APG_PASS	APG_RESCUE	APG_NARROWER_BOXED	APG_NARROWER_AFFINE	APG_NARROWER_SHARED	CERTIFICATE_PASS	SUBDIVISION_REQUIRED	INPUT_SHA256	LEAF_CHALLENGE	RECEIPT_SHA256	STDERR_SHA256	VERIFICATION_SHA256	PHYSICAL_SHA256	WORKER_RC	ELAPSED_MS	C1_DET_WIDTH	AFFINE_DET_WIDTH	BOXED_DET_WIDTH	SHARED_DET_WIDTH	APG_PRIMARY_DET_WIDTH	MINIMUM_APG_PIVOT_MARGIN	RECEIPT_BYTES
U00-0000000000_S00-0000000000	0	0	0	0	COMPUTATION_UNRESOLVED_INTERVAL_DOMAIN	COMPUTATION_UNRESOLVED_INTERVAL_DOMAIN	false	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	NONE	0	NONE	0	NONE	0	NONE	0	NONE	false	false	false	false	false	false	false	false	false	false	true	835b9776707d5d8c7b263b84632301dd3db5ccc635968cf18f4560a4de851df6	debdbcf85f1c4e65092f598e68e7f5fdaa2b38769e09071cd5156cb197e7aba4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	d14d17a0aab50829d93f23257bfbbe81a6c98517fe72137143ec59a731e55d1d	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	1	914	-	-	-	-	-	-	-
U08-0000000064_S08-0000000064	8	64	8	64	PROBE_VALID_UNCERTIFIED	PROBE_VALID_UNCERTIFIED	false	bde00f05031c888d5e8ee80b2c8aca0e48246a1229b3e5daec64bea237dfa13b	X	-1	X	-1	PLUS	-1	PLUS	-1	NONE	true	false	false	true	false	false	true	true	true	false	true	51024385260754ebcea722867ecf95e3b6aeaa19660c162aa54af5ddc49dbb7d	a97d93da8c97a339de75983c9a1a22128a9d4529fe8936c3800fe9efd7b9f650	523181b4f2388f1bbfb2bd7f60dba7d831762117592be7419099184285452bea	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2302f935a789214f3baf0c322b1415f803a72946472cba17c6216fcfbf929a6f	e59652a98f624e0a95735f2107c41cf703de69510e12cbe298ae477302ea816b	0	8065	7.1344785852750009e-06	6.5497775177495132e-08	4.1137328249424696e-06	8.2012585930120094e-09	4.8645028867275177e-09	0.00048693367559981442	79724
U08-0000000064_S08-0000000192	8	64	8	192	PROBE_VALID_UNCERTIFIED	PROBE_VALID_UNCERTIFIED	false	44816cef541228b637ac20369540c10c4f291d4dc233d882bcb1273a42175b26	X	-1	Y	1	PLUS	-1	PLUS	-1	NONE	true	false	false	true	false	false	true	true	true	false	true	8402247afc91796acc0194ceb0de7514075bf461223adf96bbe0798332a9d6a7	71bd813becde8f97293196a9c2ea277a1ac7d5bbf17b8e3ac3cf30e879257118	675963fbb5a3f9600f9f4e2146e843658c45fc0e551f24d0d8aa3bddad3ea3b9	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	464a1673aa0e05dd65047d52911e98dc1257f41d3db3246e4d0bbb792842d614	6edbed1492caad309ed345ca6f807b7d4cd3c1300c13cf5e1185a81ffc9640e4	0	8053	7.2693772586441191e-06	1.0314195318351053e-07	7.627599073572413e-06	8.7764457330272937e-09	7.2583214684438863e-09	0.00020263316411573516	79752
U08-0000000192_S08-0000000064	8	192	8	64	PROBE_VALID_UNCERTIFIED	PROBE_VALID_UNCERTIFIED	false	e3b91ca9d0b0a5a95441294885d733c050d52ee05d61dd1ff0d2565f6dacdea7	X	-1	X	-1	PLUS	-1	PLUS	-1	NONE	true	false	false	true	false	false	true	true	true	false	true	9a543f3f06ee060f579ef47f808ebdbba9d237cd1cb6d692046057ff84856d7f	7ab2df47713abeea87dbc8f295fbaf145e3d782f4cc57582ca3cf28e5f80963c	9e9b5dd67ea280312b8f906ef9649213b7a0b3ca096d522785855815285669a2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	c84f11f2576afa013d9e0a4ee76b6dc8490e382abeaf1206036952ce8047dc2b	624d6e24bae234f6c9b22e0947c583ef4f7082097764fc4a9a65b57324f013f2	0	8041	7.1987274300087541e-06	6.5963674155760177e-08	3.2904011849679689e-06	8.1097486154735636e-09	4.3662920148061446e-09	0.00054778480485744116	79715
U08-0000000192_S08-0000000192	8	192	8	192	PROBE_VALID_UNCERTIFIED	PROBE_VALID_UNCERTIFIED	false	f1f26ea715426ff88a610dda81376bf8acbea3cabae3e69a7b4906610d8b187a	X	-1	Y	1	PLUS	-1	PLUS	-1	NONE	true	false	false	true	false	false	true	true	true	false	true	1da8d07d88864eee425c0fd28d9bd38b78fe17d3aa5bb9ad03bb4a38b48f95ed	18b044965361a449150fd0993987d49e377f5a6a1b2d8a96cb8fcd00324168f0	d2e16d6e52abff618b1f62ff5a1ccd2b714e263f3ca9588e2312ed451bc7af39	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e5a593ba302af1c4f8fe9413e3a34028df83c72a1b5fbaf186a812844204046c	a733c185828e9536251dcc0560b9d66c150c6df7ce4ced176f531f31f555eda1	0	8081	7.2518078063307243e-06	7.1444322640900602e-08	8.2737620412232857e-06	8.5581472112364845e-09	6.9322482997179134e-09	0.00019347168031622059	79759
U12-0000001024_S12-0000001024	12	1024	12	1024	PROBE_VALID_CERTIFIED	PROBE_VALID_UNCERTIFIED	false	b40b75347dfd1932aa2587dee9afcbbb52f7c2e0a240c39b2493658223336bbc	X	-1	X	-1	PLUS	-1	PLUS	-1	APG_RESCUE	true	false	false	true	true	true	true	true	true	true	false	3c1b1668641d08132620ab82b37ad1cc5e90b37d0de97f90a10f28f01fffd5e1	521b7918fdb06c025c9b92ff6b8591b4b44ec98f52bfc4d94f44230c6749aa13	5bdc6da4a15716fffe2ae0b337eb8e1f64dfde8888053dae332cada6b1f403c2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bf3a5425834bfe71e00294d1bdbb4e792d5914dfe9fca6e551e39d1fada27888	5a2716ecfa8e62bd714c9b71ff5cab1cad7eee288c86f58139e8b195bfe525a0	0	8177	4.4126594147890308e-07	2.5282736798498401e-10	1.5518382215603777e-07	3.1840522751841326e-11	1.8390454498401165e-11	0.00049135426357784873	79728
U12-0000001024_S12-0000003072	12	1024	12	3072	PROBE_VALID_CERTIFIED	PROBE_VALID_UNCERTIFIED	false	856d02f58d31702caeb396a4f67329929a7314cbc567d6322873bfcf9a166533	X	-1	PLUS	1	PLUS	-1	PLUS	-1	APG_RESCUE	true	false	false	true	true	true	true	true	false	true	false	98fef771a9d5723f13fe9e38e4e80c59640721df3b5dac4af5f0889d784f380f	e845fea5351dde5848cbcb396604d019fc1f2233697687566b343445ed735d56	815ed97662d8211c9b319bacdfe1ffa740bad0d0b226538cb5e6df00af088e8a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6f446b1e056fd18c90e0b2cf31bbf2641606292ce4ad2d1f4e56948893048ca8	e17e9a7461fc3818a4bda996dfab43a87871cef9d578537f403d5a2c00f6721c	0	8057	4.4985356594686529e-07	2.7995920836563548e-10	4.6745012866676264e-07	3.4142641053449992e-11	5.4603331602456915e-11	0.00029796627554074879	79731
U12-0000001024_S16-0000016384	12	1024	16	16384	PROBE_VALID_CERTIFIED	PROBE_VALID_UNCERTIFIED	false	cecf889f5e51d934d1991723aa9365d1430ba03b1cd27423831352fe5089cf79	X	-1	X	-1	PLUS	-1	PLUS	-1	APG_RESCUE	true	false	false	true	true	true	true	true	true	true	false	b6e21153739269ef598aa5e99bc40a0710f94c135d4c82701ef9ceb3dc1c32cc	48ec72618fc324a7aa7371a21835c0f537e55e6bd064b4dbb2959bfb0480e9bd	5c9c8f8e002457c7c57af96a83cf0c222ff0fb5cb77de051b7aa575f2968d533	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	17bf59fb8d28c30155a10996804dd9af6eda509446d3d37c7bf5b765942d3a2a	15ae3bf7c6d859beaaf8c9f40d99b2ca96889c0dd92c03438578833507a36f07	0	8083	3.9925209278859831e-07	8.3096173502803077e-11	4.4621467823803584e-08	3.3453920388206679e-12	2.3046304932130658e-12	0.00049162157237266741	79762
U12-0000001024_S16-0000049152	12	1024	16	49152	PROBE_VALID_CERTIFIED	PROBE_VALID_UNCERTIFIED	false	5bc5d68ebbbd4e2ce80c473fe68360ac79dc2f901024dc7bec1f5813f864902b	X	-1	PLUS	1	PLUS	-1	PLUS	-1	APG_RESCUE	true	false	false	true	true	true	true	true	false	true	false	e3c598a6368d4abcb0cb08e90f6c513c1e5e4668e963a4fa474cb3f8e1f4fbdf	ff3fc35a686ab9169b6e24572cdfe9b8a06c8a1fa30ccf6637b9ad52992aced9	9f816422ccee1cef17398427b4af56bb8e883c88b3e7b539eeef5bb66613e603	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	20b26374884c497ed742ebaceeac94592d49cd1eb3a2933aed5d02f100f1ba1b	c62a501671dd2012b789512402c8d6c96f0979a9cc45aa9e218da3609660000e	0	8236	4.0515832459558996e-07	8.5220607810141609e-11	1.2269791896782347e-07	3.3974661430259969e-12	5.09305290126621e-12	0.00029796700444385972	79779
U12-0000003072_S12-0000001024	12	3072	12	1024	PROBE_VALID_CERTIFIED	PROBE_VALID_UNCERTIFIED	false	b0cd40418e44388c70a7592c748b6b17f3313f58399b822c8ae71d8a0aa5a981	X	-1	X	-1	PLUS	-1	PLUS	-1	APG_RESCUE	true	false	false	true	true	true	true	true	true	true	false	c1a27a6b515e8c98373fbd34cd6122fb97351dc053e235eff6ceefa9f8f65412	52e78010ea8e8daeb17788c23214ac0a51d0773d82ec041ba9102f5e363e6a5d	4196375083fddebd17d0b58a3a5187bb8ce4e5627b70f05f834ee5b682be8fed	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	8660e345f55ec322dc39053d3659e7f05a5c2eaab0c65e7cf718d2b8d6db5fe1	375668be24694baedfeffdd131207c6ffbbe91c657ff1c489464f34cd1d5fc8a	0	8733	4.4633804502449171e-07	2.5463095655593231e-10	1.4141989072109035e-07	3.1461623200738233e-11	1.6582589558023047e-11	0.00055219553373228223	79722
