LEAF_ID	RECEIPT_SHA256	VERIFICATION_SHA256	AUDIT_STDOUT_SHA256	MUTATION_TESTS	MUTATIONS_REJECTED
U08-0000000064_S08-0000000064	523181b4f2388f1bbfb2bd7f60dba7d831762117592be7419099184285452bea	2302f935a789214f3baf0c322b1415f803a72946472cba17c6216fcfbf929a6f	572184c896dfc344298fd2fddca1634635a8fc5a9aba5cd3114a57be51574748	112	112
U08-0000000064_S08-0000000192	675963fbb5a3f9600f9f4e2146e843658c45fc0e551f24d0d8aa3bddad3ea3b9	464a1673aa0e05dd65047d52911e98dc1257f41d3db3246e4d0bbb792842d614	b7a3685b3e2bdfba1ccbd408941a80c312cd76c0d82f9d829d11c2b3976f70a0	112	112
U08-0000000192_S08-0000000064	9e9b5dd67ea280312b8f906ef9649213b7a0b3ca096d522785855815285669a2	c84f11f2576afa013d9e0a4ee76b6dc8490e382abeaf1206036952ce8047dc2b	7e2100f523e5bde10c7e1cadf4b45ca08d30a7f198e22ee6840ccfaf19b8d97e	112	112
U08-0000000192_S08-0000000192	d2e16d6e52abff618b1f62ff5a1ccd2b714e263f3ca9588e2312ed451bc7af39	e5a593ba302af1c4f8fe9413e3a34028df83c72a1b5fbaf186a812844204046c	0517a41b83462de511a66b089d46e1cd0f39e308dd62d0c0c9ebd4011fe58e3d	112	112
U12-0000001024_S12-0000001024	5bdc6da4a15716fffe2ae0b337eb8e1f64dfde8888053dae332cada6b1f403c2	bf3a5425834bfe71e00294d1bdbb4e792d5914dfe9fca6e551e39d1fada27888	e42ed0618aa2044232159883ca7ca7821b3cd10c30fd13484fc224408dfd39eb	112	112
U12-0000001024_S12-0000003072	815ed97662d8211c9b319bacdfe1ffa740bad0d0b226538cb5e6df00af088e8a	6f446b1e056fd18c90e0b2cf31bbf2641606292ce4ad2d1f4e56948893048ca8	5dbe6e597caf07a1b65ab2e1008909d9d2f76c84701cd12dc4a49cc4030381c6	112	112
U12-0000001024_S16-0000016384	5c9c8f8e002457c7c57af96a83cf0c222ff0fb5cb77de051b7aa575f2968d533	17bf59fb8d28c30155a10996804dd9af6eda509446d3d37c7bf5b765942d3a2a	2c52f0a9e772fa8fa73bdc6e9074dca2c463f22bfdfab08a64383f6db7c2af83	112	112
U12-0000001024_S16-0000049152	9f816422ccee1cef17398427b4af56bb8e883c88b3e7b539eeef5bb66613e603	20b26374884c497ed742ebaceeac94592d49cd1eb3a2933aed5d02f100f1ba1b	30156ec147a1104f3b8194f8b7d82cdb4e4a5755a6ac0d3d91f5fee8cc168d5e	112	112
U12-0000003072_S12-0000001024	4196375083fddebd17d0b58a3a5187bb8ce4e5627b70f05f834ee5b682be8fed	8660e345f55ec322dc39053d3659e7f05a5c2eaab0c65e7cf718d2b8d6db5fe1	169086be5c29b8dc13cb9aeb12118ca1e7aa33cd950df17b44b1b10c9849c267	112	112
U12-0000003072_S12-0000003072	6eb78f226d00d99793d16c09906f8711814b3010b5ff7072f088a32727e05e3f	3272f533205aae781cbdbc43d069a3a7d9412ba5db5107022ee7a75b0001374b	0abdc4d945ee3294047ce28dd15311ad5c8c060ea7008d9af8f068db489b2413	112	112
U12-0000003072_S16-0000016384	b3051877daeeeeb0a76b939667199424bc6d918f7eb31d0e2c774166256008e6	ad41bf26899c7b495c0ef41339c4a291fbb9aa510e8739dcee4630c04767fdf4	01bc04a6a7926d54ec15cc8d04dfe2dd3b2c0f91270ca2b6f8f96d0e60adc2ad	112	112
U12-0000003072_S16-0000049152	27ea29de262fe48e76f13ca39722b06557073c9dead1284a336dfe22831b3fc8	0e0ab1f83ad5541149bd26329e5b89f84da1a9b60a3fc46d088e190cb1f8f658	ba1486dcf0fe33ed9ea5a7be3ec7ec8c4cb610db8e19728b26f5d630765581cf	112	112
U13-0000001024_S14-0000002048	af11410073a88594a826bf369bada764d06c23f9bfd414a759cebb913ec0fae0	4c77cb718d745430ad7567514a86b17327cd9b595434304216ea9d0e152daffa	b03720e4181f6d6e42c6f754387bbb6e1b936847a95e77c3e95e06a641c746a4	112	112
U13-0000001024_S14-0000006144	91a9f34cce84d61a155ac29b06c7aa75f2d71e45471e4c69eb2e8d1f19b1e7c5	d5507939ccb225730544e82e51b3ff7bf0997e7de161d99fb9ab858c67350411	02b3c652939edc0385419ea32ea027eb88fd6b35bce77b5c0e2231a543cd05f6	112	112
U13-0000001024_S14-0000010240	8d40d9e3e5de3a6697681631c94f02ff77165bd3a3449fbb5e50547c91d9a802	ea2ebe8a518c79d2ca09374307d02a4145f0c9144509d4d7aa9b167e6c3662e2	24462e412cd4cbfc66132fa8f255b0d83cf31e08c779f1d799fcb72d08f51d86	112	112
U13-0000001024_S14-0000014336	fb1731f59510d087d49c8789e348bf82ede3f700be53d5e55d4e1afa07057947	d5ad5a402acf20274df955b305cb94ce41e386a250278f60bd45a08f4c7899f9	7929e7fc0548da8ed0dcacbf01a8a91861299c91854ab6640c82526be2170d52	112	112
U13-0000002048_S13-0000002048	a6c34ad00fa4ffaff69373fcf3d28a6f67369ce1dba8a4020113be40d361497d	02a1cff3ba20041dffc3b4f08e6a24a0c2302efbcdcf6ff4be5c9364dde5dd66	bfbc885b9d61c6d1d06efb66edacb8923d829667dd9779c03085ad83431f3d01	112	112
U13-0000002048_S13-0000006144	28baceb2a0556971f096a720fd58494769f34d2098a44de2c796a1e228876307	561cb9f010b721f1740f85b4eb6d0c929756d477bbe6a2ce42e5892d20191d9e	1a1154c00854f388dec98cc193a8f0e79dec1eff4fe3ec8510c26833bdc65fd1	112	112
U13-0000002048_S14-0000004096	32e94b1e222ac0baea308d56b72c56c46bc2782de425e758b4b033703648adff	f83c8e1533c8ae7ac680c04d7fc0bbaef8dd70e9575e25a79a0107a64c4d6b08	2262e2ad26d3540785a5c0b26ddd18200f26204c9786323907d9af06bc959e86	112	112
U13-0000002048_S14-0000012288	f0843c8b51e93c6de69817067374cc3853e60be6782d24572ce652aa70deabb5	ebdaf9c44767ec0718461ca356e963113c2c5d11517a64aa06bfd11fc3f5385c	84b9312e1307dba922898060ba42cda2e35d7e3353910c861ac7d4aa97a42c82	112	112
U13-0000003072_S14-0000002048	b918dbf21ff3993747bef82bcb514c16ba78cff4ea1d129b7d3b36dd6e25ba63	9773dedce3deb00d3fb498063b6d2dadda38ed33090057088e9b071663619eeb	ef5743422a9c7f3c6da23febcffb360371c69b8e6ffcb04179f065a792d133bf	112	112
U13-0000003072_S14-0000006144	0b0311953ff2beb89244f708cdb07580f3ee3de15f7f401acac11dde8f12b808	bc640fb647171c18ad78be137f03b38872d4cae4c76ec985cab4a48f3b2b6e3a	fd328465373bfea2b748f65bf2dc998909216a562a6c0473f428d81748285eb3	112	112
U13-0000003072_S14-0000010240	dfdeffd015e8b55be9a3a105f0d70a8b11a0c8ac1e9c64d48a536e4ddb6709a6	1382c3b6a914f38b974473b7273076fb35f6ba516a80e1e7ed83a8c0a21dd2c5	766581246e0cb26d785ea8a0640135e8fdb41c8bba057cb00adcf06e539132d2	112	112
U13-0000003072_S14-0000014336	6732354cb897cf5d54fda60f9629053281eccd7d77da9610ccce939bd4b8784f	4ca46fa871d834d7b0cc2fcf12bae30a22e98c624e40368a6efddc604ac34253	43e833431ab5bde809851881cb631aedac7c5fce3b16a15ac80387579bee1af3	112	112
U13-0000005120_S14-0000002048	fe9d3d6773898a00bdafc17d418c01e2c5678c99c16c7efc5b21c50395e7a0b8	56c0841ee2e8224fb602bb75c92b04bae0da7b30ce2d08f4484c10d5c71d6f3c	1eaa31a207c759e739fa7881c47c9ebee8d701940aa2d52d2800af6f45d97635	112	112
U13-0000005120_S14-0000006144	f24fe2adf1d19e9358b67ee71341c99c826a3ff63af45abf428f94f00fff66d8	fecc2aa673ee69012c4c94a848e09458082e8f44c7d63fa48d70301a27b8eb12	e7a89122678b5725cf8c6143ddd0a422b55733a74ccee9e9681522425d4c2362	112	112
U13-0000005120_S14-0000010240	ea1a4b86f1340801fc01a30a3d1e98e61fc5a952fb2ade153a45180167b3fce5	cf8745d1c91801d740186427836aa3b4a24da6103353004c8d8d26f345f10f34	5512e1d64133e2c380b30464f1fec554f60a1c7df5e8ea7f26a907633bea4238	112	112
U13-0000005120_S14-0000014336	48a04a7ca30ea326abf8b2fc976d3fade5c848c88aaf1765b956a2975d19c0e6	4c3d4dc30d2e61778dbd283c59b17c7e82e239d4cad62e9a48c1618a7776787f	b33834390fc5a2c9c447ceb613b2f3e00d4980452db16be73b11ad8c881e5f43	112	112
U13-0000006144_S13-0000002048	1ffb9515e9b0c0f2da0a7d50d1bb74f335c4f9f19e214e7f239f003b31f09f3c	c091fb999386f11f2b518488a1bc0f644d2d90f55abbff26c922e3bf20675baf	5ec99b0a68d97b27bd214becd1a8f8f1e09cff08232ebb6ab00b75362fc825c6	112	112
U13-0000006144_S13-0000006144	5282b56cdcbc75891536d1e5476738ab71c5404216566f56935a1267b8c0cd96	71189de5ad8aa8089b21027861a1cea3df10d3e84269714b61121b3cb9a1d587	b6a559f60fe83fd2b49766aeb78007102dd07378fae9598c0a11291513edf57e	112	112
U13-0000006144_S14-0000004096	15a452bd67aed15253cb19c803e124ed96e2b2fcd36abea2b03171dc178a8074	d0fb691011ce5e7c0c657974fbd17434255ae2d8d78eff52772df878455af190	4f91ee3a94eb86b0d21f5642df220ef3be9c02c925cdf3789fb0676311f91f9b	112	112
U13-0000006144_S14-0000012288	b5a0d0e9b3ee258f95ffa3cdbf60f956abaab84a2078921c015187bfaf678d64	11d7ddf77f2ab17fd0f0276ac01993185bc15f1c6c23509918c1d55410305c06	c4118d0499b82f12fc933d7abfc4718563c3f7308d99b81dc05fc9384218eaec	112	112
U13-0000007168_S14-0000002048	8a49f919a088eddb982d0b3bedcb3761e40d439731bc3a2c5d814e32ca401eab	27db49bcf8159fb4716f5dd7129265599ae9207e03103550a4b87ff19dbfe24f	32fcb576c66919f8812f0eb970a4166e2ade460df06b2e132631c96e20a5964e	112	112
U13-0000007168_S14-0000006144	81a666dd3224ec7883057ac7b6dfdb1289f32e9e48a873fa0ee2c0eea31ffb88	7d48f669404f8bd390baefb720ae1dfad217f38daf348a1cbec5056c816a3994	5f0a423ae6cb2921377fcc8047160e46c8a9231547e402f04e19d525c4d2227a	112	112
U13-0000007168_S14-0000010240	d61989f641d4f5f4ea19ca3ad097e890b170c9a69e6c1e8e66e9ecef9e582083	055c966e282d93b3ef7d90fea3a3afb84b02d7cd838be217fa3cec3954cb7991	02930f0e3781b4c5d0edc039ee55b7ae83a3059bf0c1e9d3480ad860f8d9e19f	112	112
U13-0000007168_S14-0000014336	091be53771113de2475624d31544c3d4650a348e54d625deb705806bebe155ee	b173245e7431ba7a76aadf595d9a9bf5201670e18d6d0de4295210a7b3966d63	f69d8914db9ff2fcfa815bc710563239ca0dddd1f41c888b5f730d7c426a1832	112	112
U14-0000004096_S13-0000002048	43f4ed106d9a6221a80405a0a22bdca872a6c572048b05bf5edbb7217a0c0d3c	e0ca2078e814c7a4a903acc136e859f64d27156b7dfb17eda2457876f74076d1	dbc8a4dd93539163d119d72c1b4c6fe2b506628007fef065fee08bc71e202c22	112	112
U14-0000004096_S13-0000006144	b5e6d7fec89f076e58a583051950ae13df587cfbf2b8ed815f81e21106399a8e	ef0ce25ab61caee0dbe10f393f3abf714ee36a5aeced9fbe180fe1ddb7f5fc10	65f929b4f350eba9a294174a41b95ed4eff51d231f96ebfaa906ed9c41ba431b	112	112
U14-0000004096_S14-0000004096	73ee4472103c620afa7da6b172a3a199d38a3f7f0ab04af1a68bc26189220e79	7bda7a7b1ad12bbe37b13c921c3e828096609739012909c615f10f90e55c08c1	123a4f454fa40ef338243ce7a75dec8abe94bb53013f72bb60b9fac1a34b2de6	112	112
U14-0000004096_S14-0000012288	fbdb737b87330600bc11db49b87bcdf6f14d0444323a6db64346481630334201	c77d5b8816c42af8581b55e9f5bfb3c0cab7276a826101575e859133cb95a15b	df6d3ce59356649c900a6aba445d88ce04d0f2198912ee3f5dc4d13d5bc41461	112	112
U14-0000012288_S13-0000002048	0e3f703ba7c030627737aad110f9ee37e0bb07245508be019c19b443b3c874ee	794f7bddf8fe1535b0252fb75b1db4fffaef1e14c0bdc15fdd7c3eefa2ab80b5	761cc4f834a2d439311beab324b4fe95b9b9e917d2e87c59b897cc8c6a5d9f5e	112	112
U14-0000012288_S13-0000006144	c26d9e334f29f078003e179cedffa48f0c3607e48bf70efeee63ca56762eef55	383941bae0129c50650ba23dfadc7061b163cc3b4e71e4864061b1d8e54aadc0	bfe8003da8c250464895b93c026d7d152f85859bc05e560549dcb89fc8bfc213	112	112
U14-0000012288_S14-0000004096	4ede489eaa1ffe775caff85d776def9f3711052cf7a467c812c38e5d5606890c	8be263cd572c1a786e7d846f0c7d0062b9d3b68d087543b17b6490f3d02c4f7f	36aca0b7099667074f6a9ead2b6dd7804625d76aa94824f21ce2427d624d9387	112	112
U14-0000012288_S14-0000012288	7d12fd7a766470b78f9878318a372747973148a463cca1fd4a9f316a8ef6a516	9233dea1a31458b3fd5964f0acd256a553f05219a869f937345fae718449106b	22b541c3a4d9ed5ebdad81afb8375de3d38a168e31e2c35beb45e56fa795fcba	112	112
U15-0000008192_S15-0000008192	24c3b4f5354cdc8e9d8fadc8739353924660942768a22b7d4a3ca4ed88f6b7e9	b553b01308cf4d4025cfea98189abe1388b7adc6eb6cf016594fd6e112b444ed	6ad0423ec08d35e4178eb9ee9ef51ac165168dd168d862715e6e6708822dd6b3	112	112
U15-0000008192_S15-0000024576	f5cedf4d2006def2de121c2fbd2b57d7209f6a94b2bd181e734aca5a116a26d3	71b0f7bc5a0829723a2f5950bf6fba2eef81fb1d93eb6825a9d86eeab6e177fa	a7b90f9be7f86ca08cd7a683cc0a16b613f095e9be3c0c7c04950702172afad9	112	112
U15-0000024576_S15-0000008192	6fd8e2671e1b933baf23043f1e3f225fb76544b676f34a3f600d4557fd047432	71270e8edacfffcddca90886bc8e350efcbe273657fdedeb07b6a20554431551	3a6adb8f00076c5c0daf404c9b91d0f0186e7d64fe11cee073413b1cf08d6513	112	112
U15-0000024576_S15-0000024576	9cd853cb24aba5ea5c7c83bb457fc8d1ee100c106f4db0e7c42ff9a48f4aeebf	372ede9025d6b8cc75d01e4e60c91676b24408990abb1806f42b4a130fbeff74	3dd999a68fd9564e9febacd7490f041e2be1f13597f1f53304a332900fd8f81a	112	112
U16-0000016384_S12-0000001024	efcc4e5acf00256c5190cdee13022281050d2a75dcde75db0c15741c606dafda	10392983d4ab3ab17f6ae522a969532ea1bd6514de7c2cc76d946589f869652c	95749f60cdc1b30ac9c87ac6139c844da506060a1d3ec6500245c5548d0e7799	112	112
U16-0000016384_S12-0000003072	0443444d3cc21840dd5d5e81fcafcf7cfd972e5c9bad5db9ca1955e4c8a5a4d9	b9ef0fa42fb149f4f2d275ec91099129c9536cdcbd22bab55c316ae40f4fdcf7	00a37bd724a3ff8a7752e13c41486748f7b4186ef3dc5d9ba1619cad956e94b2	112	112
U16-0000049152_S12-0000001024	3ecb8684155a121916bfc4673ebd0e6fce964e2740a652e8e07dee66de0f15b4	1ecb1bf86648ccbb2c6fd865a0e7bd57be6f6cab6bc0372107c455adb8a930d1	b197ae6ab8bcbcad018afaf7671ca1a705c0b4e03b118b2189d0beb78e599826	112	112
U16-0000049152_S12-0000003072	d6ad6fd7062bc4095781468fbc07615a491fbd0193a46aa796abbce1079428c8	b90eb7819dbfcd29a3d49e20bd59e4ce4c1ffa10d1cab4a72dfd1224da34aafc	025a699411ab62425d8f83e1534bc12e0c5b939ed86d81632eba4b8f6b67062b	112	112
