LEAF_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	STATUS	METHOD	CERTIFICATE_PASS	SUBDIVISION_REQUIRED	INPUT_SHA256	LEAF_CHALLENGE	RECEIPT_SHA256	VERIFICATION_SHA256	PHYSICAL_SHA256	WORKER_RC	ELAPSED_MS
U13-0000002048_S13-0000002048	13	2048	13	2048	SUBDIVISION_REQUIRED	NONE	false	true	9d6c09d1a25e2e0e67a78508f5f26498c57c3ea801a20029e069fa50a62b9df8	575582c48dbec902995d72652277a7281f89a97d30129969b23254f72c5be82b	ba0009a79f3e26ff739f02ab52805684d7239b103b16ac357f1b445aff9effbf	b16402e4e9a1001d792a2d174a837ab5e0a8145bbfc4349ce0043f5a1d83c223	a637f788709a359269a30f03a45e2e73e7d7070f2aa7ef22905aec31f9084b8f	0	37301
U13-0000002048_S13-0000006144	13	2048	13	6144	SUBDIVISION_REQUIRED	NONE	false	true	2b5e72c8339435df79bf2e47f24db305513075a81333026d91b7b7751c63de1a	3114529b531daefe72a249004af6adbd7ac18afca9494528a92a6479bd715585	ce5c471d5c7a9e331e22beb30c90cab5bc6fe44c871805811d6b42a8eacb8be0	e7f12cbe23eb44737977a929ad0bc83afd146f4d545bd7246d0bc19e49350b5e	b37680a8cb72aa2d391f31c4ed32228ef173a4cde313e86008a2deedee5156a0	0	39610
U13-0000002048_S14-0000004096	13	2048	14	4096	CERTIFIED	AFFINE	true	false	c037cdd7d9334ecd11d25dc047342e9ceb584f39b1e6c8c8ee40f6328d50e944	0d83c0c55a1998308e1f388e14070aac6727f86e29fabb0daea56ea82b5c58eb	db842f9c109db5866eab35976ca49c89980fe9057a013182e2d23b9acf7bb813	a7019c58a5503f09afb241b8fa3aa82b884f64c071cb333b408333aeda03eae1	c38d4b32faaa83902c24839f8c5d9c6b312d0622e7d3b1e4089b0bb68692a51c	0	41812
U13-0000002048_S14-0000012288	13	2048	14	12288	CERTIFIED	AFFINE	true	false	fad639a658439e7c9bdad41b882726d6099585762db0c53b445f24ff85b8afcb	1040033e5da0996b3c152a245a724d9e6d43770425cee1fb7b0c0a9b164b3fad	9e82237a13b84d11465fa05ba4f1387be7342e7cdd03d96e0f07de829b55bb95	5eff5ccefe16f2eaa2c695194530d680e8b245e836c784c5173a9eef96497087	e5c46b2e53b66f7016d2fcc2ef9e3a164e929c7f4fd1241f3dbe6b254f37e1a0	0	40309
U13-0000006144_S13-0000002048	13	6144	13	2048	SUBDIVISION_REQUIRED	NONE	false	true	d6970d6df00fd7a6f1bd282329670b4823a491febbe39691a14fc8836cfcb4fa	6f0fe9f4c97e51531dfd07317f638e8a2a8f715222fa3a6d2bc8f5e7849c315b	205b4415d165a172c19b3f825bde08be92b56fa43a56eba02ec8134409ead5ff	f2fe5a582a657c6e5c7e848f1cb142e2f30caf6cea23f341a4ecc9986e2b215e	ea658a4e7581865e94bcd01bc5d273cd23ee1609b2b403f5759fe125109df833	0	40500
U13-0000006144_S13-0000006144	13	6144	13	6144	SUBDIVISION_REQUIRED	NONE	false	true	2845ff5c1bf00fce3418b0157fe8b2ffeb0979950dcce20f538b137df99e2984	e6c620d6ce4b8939917e0bbafc4ed7b5d37e5110b77a282f118ee0b64d99f188	ea2f5344074f3d72a6be229077e7aaa7687c111644516393f6960c57ab9320d8	f7ddaf13c8d390c4d7c789ced0d161d223ed8f172af0e9b8d585521d187020c4	c321927f7fce8591660dca508f33fb54b6c3c0cb647b36b2716f4e5b4e403301	0	41000
U13-0000006144_S14-0000004096	13	6144	14	4096	CERTIFIED	AFFINE	true	false	d7a65f060af11f1bbce574b1b0bd1a9f93b7921c53375a673761796775aee3e2	29e2bb139def18b9db84488d6271961c2ec016f5c2facb4d9048e3067345fc65	e5c92359cb7f813a4d2e0d7049feef5f99c143f9108b294083ebcaae916b983f	87ddc1576deafaf17a12af9a36b69ecd484ef36907cda5768b7018746300a4e3	bcc53fd0b14bc76e125e1aa874b90bac77a1fb8649a4716c8fcb6064496a5122	0	41102
U13-0000006144_S14-0000012288	13	6144	14	12288	CERTIFIED	AFFINE	true	false	1dc680e8b9a59d04cf944fdac755e8e2fbef26e9d7dac6b134cb651a4cd5fa9c	c5b9523214210087bb3b0f891b3bff6840c436caa7ab092bdc51b3dfa41a8208	96355536acc6dddd8b57a1b60e0536c69971b3d41fcd6e9a9b7559115f6b49bf	7372a9b2c46e94fe1eab769889e470761aaf4b82670c115e58331157d24aca6f	c8f800b0ccc81ec0c177a56fcdb830ed5037bcd0b9e43d30329fd5cae01bda55	0	39003
U14-0000004096_S13-0000002048	14	4096	13	2048	SUBDIVISION_REQUIRED	NONE	false	true	a03964e7086bc27aa23d72305402377451dab3862b088dc54d9bbcb4a06d878b	f97578b49443dd1ee0713f3c8393b41b6749a061f177a0ea6fbc3203c0d66296	88381fe8aca96c266b374f61afc45e8445c1451b5347de931a1e5d858295aca2	04a014198910f5a3fe8fc62480f4e77e8bab1919d3cdb8e729489c960c536dca	790c3c18bf62e1a9631fe1032f1f4ad59b8244c6f84c7f7c861eb30442f3c1bb	0	38807
U14-0000004096_S13-0000006144	14	4096	13	6144	SUBDIVISION_REQUIRED	NONE	false	true	86add67f584c62234a7d4d4e81f70863df3c965451f7cbfd06226fda8c642ae3	cfb79d52d4f513bfaadc1689940a08a89c6029c739c716b634dbd9428ab808b6	0a1c72228dab850fab85dc74e2b7e934165ef8f4aad3524280a2db294cdfbb08	986fb3c8e19669d0c4c6a96e6af63d7548ddbc80c6146eee02c7a0d67f7aa9e6	e85ef79f9c91ed8975c686eb72db2f0f74ea14481258f05b6324b5ce0ea1dc09	0	41511
