LEAF_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	STATUS	METHOD	CERTIFICATE_PASS	SUBDIVISION_REQUIRED	INPUT_SHA256	LEAF_CHALLENGE	RECEIPT_SHA256	VERIFICATION_SHA256	PHYSICAL_SHA256	WORKER_RC	ELAPSED_MS
U13-0000001024_S14-0000002048	13	1024	14	2048	CERTIFIED	AFFINE	true	false	74c728b34c5ba03dab2841cdae56f6e6c0b6fe26bc26981d87a50307ef60ecbd	c08fa4784760e4dc3e318d6c15111b4c35f307521a96a16771827168bfce223e	1b749abb23138d23379c118df3455a574ad3dd62de09806cee1fe719dba982c7	a119c6585c24ab95f8d000ced04fb804760925d333f018355e9bb0702c6986eb	7e5fa64214667edc9ba1dd835322364ca20e0cf99e8bd07b3a9b2bdc4658f434	0	42377
U13-0000001024_S14-0000006144	13	1024	14	6144	CERTIFIED	AFFINE	true	false	87fceb383f74c299a0af0397c4b8d38de97d9d50700dc6671a0dab1dab8e72f5	2d8057ea82d5417d3f19d36ca85d25ef92094dcfd5b781250a762227fb653614	350948c7ed3feb452468789b472cc6610923b04f07b6081be1c4477f1a779952	912e8aed22e4051958392e88298df216acdf9c8a51168f89d3860da4e899a06b	6683e53a9d25604deb9da4aab286fea2237450d84e629efc819f58a5e18ab366	0	41267
U13-0000001024_S14-0000010240	13	1024	14	10240	CERTIFIED	AFFINE	true	false	283624848af18ba5047322e86b4be033a1025806aab8782e2a751e46ebab8805	12133a38751ebe611f1bed6c8f05e3a70e5cb973db77701fd9e5b32ccb6b1daa	a906fec0a09eed2837bf5f93323271bfc1e7644b7dc75ef2436db52cde74514f	713c24d6242b886de3b6bda57a9e175e936e2e88aec920e9cedc5b4262d2568c	532d19e5cf2b008381092de0d543e4955a93ca75b3c2b51483a96566b393a542	0	41167
U13-0000001024_S14-0000014336	13	1024	14	14336	CERTIFIED	AFFINE	true	false	8d89b39f48c533aeacec395942c695be1d3979513f0dfde0ccbfdbd19d7097d8	d0def702746bec0d0d819e440c4a5ae5c7609efd5636eea89913dcfe40165fbe	248a0b22e87db38441073d2df8af2973d353e1d71d715e1ffcd9a6f8b91935e1	fce2350c527f0368b4f279808051c283a708d24ffd30491c1a5c868a252e5973	cc394b90769e3336c986f589c7f0772c2fb3d788161bc4ed7fb324f57fc1e848	0	42179
U13-0000003072_S14-0000002048	13	3072	14	2048	CERTIFIED	AFFINE	true	false	9bf34212f1edadbc9a8b99eefe83b9a19a0907cd18cb9bb0cec71fe5f6e1f4b1	9e8d92faaeb6c12c7f52866e4b6e2eceff4ca260e42b54e2a6013762f176b22b	13863f791bd7ac8ab114960f34fc9b60d741112d6e695ae22547b8f0d90fa550	e48386cc055de87c67574b17a2c887fb7eb18af5a02972997726daaee7c82975	36ccec633d5320f7f023e31ea9b258348826252be0e2fdf1387341e1923d3ca6	0	41982
U13-0000003072_S14-0000006144	13	3072	14	6144	CERTIFIED	AFFINE	true	false	be36f461978210164e0c350bdeab58afdd92d663b80cb852c6ac5f5d29ea6918	cb279f2982c27b08e8a540152ed881bf50e87a6b48887811462253ec25f65b10	4d49db41d82392b1bef973cf529b71f907aa4a934f8b9d071cd94f6aa8bf65f7	33339f7bdc2372655946034a31a3483670d9a7334ebd0ff1b60353c5baeac104	e09d61389d3d73e281c1f38d3b2e0a913d369645066081b705768637cb539494	0	43369
U13-0000003072_S14-0000010240	13	3072	14	10240	CERTIFIED	AFFINE	true	false	32c0a247b6cc66a98470bfae11bbe1a78284b430c382a142e0e56082bfd55717	6ccfc3f1b7dac4d8d4b965113da0802ce20950964cce68b539d132b658c3093d	e4198a69dd2288f459452e99e940d76df54ab801f26077e159045c0d821b8ea6	8f2a3f7efc22312a5e98f36c2a18456665464e63f670e4ca70128ccad4e2983f	47f7e7d5630fe6154944ee110566bffbb977046e1cf44e6bb4d395732b752b5d	0	42595
U13-0000003072_S14-0000014336	13	3072	14	14336	CERTIFIED	AFFINE	true	false	75b00dabff185d6b8367cac9f3af8e6abca8738f5c8a0667d0df3b2a430c7bfb	62c2028f156f5aa79d9af71b8857a9e6867a806441e0f683469777943773e7ac	9d6b62cb9f3a8fd1ed9d84ea3349d73fcdf1f347f3d94971af1628c3dcdf0793	e9655c783ed857593c48af05bf90449515351445d04e349aaa772998b4ed8ff8	8a6eed9308931c3ff28032ae256c85b5980cec8d0aa3a7e34e33618940917a28	0	38000
U13-0000005120_S14-0000002048	13	5120	14	2048	CERTIFIED	AFFINE	true	false	ca11146f707a51519b4d9f9aeeb2ea11a60eb6e35ea981d3bd6b8a37cffc0361	00fea17367f22454e670a046bb18b4f2db2e23208b247c35992a3ab311822570	a2e45732114ff879f40b00f5bccf86b40738cdae908f1502df195b24b3553559	8be68f08aaa2fe3acd7833eab59823c144739172a7d98145d6b2d7ae8b776383	b9b223c4078abf19675df5edca56e4564c0ab4f7b8d720980566f4658751e5e3	0	42597
U13-0000005120_S14-0000006144	13	5120	14	6144	CERTIFIED	AFFINE	true	false	bb79828ba7a9d6387529cd200d4d4abc9d1795b6c7ac32ed4444049cf0ff8093	9d53fe38f3833e3cd6c38b5264d22f803a63285397dc7e264f469cf71db0f0ce	969a284993459ff0bc25e958042c938d72c187b7498f271a307a69ae924fbed1	b89e2fc1a1181266333a75b5cab9d4712c273e0054cc6abf6cd8b400441ac2fb	c7a4f986b192c494d1a3ebe71eac305b5fbb129127bc12acb5272494cb38709d	0	38803
