NODE_ID	WAVE_INDEX	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	INPUT_SHA256	RC	STDERR_SHA256	NORMALIZED_CLASS
U00-0000000000_S00-0000000000	0	0	0	0	0	835b9776707d5d8c7b263b84632301dd3db5ccc635968cf18f4560a4de851df6	1	d14d17a0aab50829d93f23257bfbbe81a6c98517fe72137143ec59a731e55d1d	H_PG_INTERVAL_DOMAIN
U00-0000000000_S01-0000000000	1	0	0	1	0	f2f3f50fb9d6f4a9b19b3d407c0561f9a3331a45d9d53f2d46f51ed53b837efa	1	4f039889a9b217044705741f3f5f8ab5385328d064ed0021f6495ae1785cc5a8	H_PG_POINCARE_NONTRANSVERSAL
U00-0000000000_S01-0000000001	1	0	0	1	1	18dea1cf0fd16f74cf098dd7f86a6f9119efbf4baf574b4a6337c8179f44a344	1	b87f6e91a419d478d79d3edd4d07976a8ad6f2faf9a50f8fc4b10c50348f3a50	H_PG_POINCARE_NONTRANSVERSAL
U01-0000000000_S01-0000000000	2	1	0	1	0	18895a721bfe29d401a55bbd32b4fe8cf39f105c4cc134e78804601eb978050f	1	1a0363f0dfd1aef9f4b0f334290c01dddd6d044dd608721a86ce1cd42557cd4e	H_PG_CROSSING
U01-0000000000_S01-0000000001	2	1	0	1	1	591cde0c27828fb38b59ef06f69294edc1cc78697d6218fbfa0863fb9190f27e	1	1a0363f0dfd1aef9f4b0f334290c01dddd6d044dd608721a86ce1cd42557cd4e	H_PG_CROSSING
U01-0000000001_S01-0000000000	2	1	1	1	0	1d3aef0daa667647c77b25f75b3c9ab849713bc2be4ef12f8189fff6824a4274	1	1a0363f0dfd1aef9f4b0f334290c01dddd6d044dd608721a86ce1cd42557cd4e	H_PG_CROSSING
U01-0000000001_S01-0000000001	2	1	1	1	1	da7d5e7ab8e90c4f68bddc4d317d3e93b55d611706d9d380a7f78516510bf9ae	1	1a0363f0dfd1aef9f4b0f334290c01dddd6d044dd608721a86ce1cd42557cd4e	H_PG_CROSSING
U01-0000000000_S02-0000000000	3	1	0	2	0	d2455cd1b5cf5bf64c30174cbe5899e0618e4df38da8c093deb1f6ceecd49ecf	1	1a0363f0dfd1aef9f4b0f334290c01dddd6d044dd608721a86ce1cd42557cd4e	H_PG_CROSSING
U01-0000000000_S02-0000000001	3	1	0	2	1	677578b8f47375f486cf01f48e4424e544745a74300573b4c27a194e5f0e3985	1	1a0363f0dfd1aef9f4b0f334290c01dddd6d044dd608721a86ce1cd42557cd4e	H_PG_CROSSING
U01-0000000000_S02-0000000002	3	1	0	2	2	e8d0c5c907faa9ff01e3339c49ef6adf69f2dab7dd63bdae0664ee463da48660	1	1a0363f0dfd1aef9f4b0f334290c01dddd6d044dd608721a86ce1cd42557cd4e	H_PG_CROSSING
U01-0000000000_S02-0000000003	3	1	0	2	3	bcf68da5e1bf2936728a87e592abf38fbadd7858cd43aa58910abd67bd2740e0	1	1a0363f0dfd1aef9f4b0f334290c01dddd6d044dd608721a86ce1cd42557cd4e	H_PG_CROSSING
U01-0000000001_S02-0000000000	3	1	1	2	0	55d94cb4368b4440d013d48fdd592a9598515794266ace8f29e8e16da5c3722d	1	1a0363f0dfd1aef9f4b0f334290c01dddd6d044dd608721a86ce1cd42557cd4e	H_PG_CROSSING
U01-0000000001_S02-0000000001	3	1	1	2	1	a2ff53b3ebb144bd033fea80df3c54d87d29dca276fab106c538434778ce1136	1	1a0363f0dfd1aef9f4b0f334290c01dddd6d044dd608721a86ce1cd42557cd4e	H_PG_CROSSING
U01-0000000001_S02-0000000002	3	1	1	2	2	bbc5f95f2dec2599e49133627de3ba29f0dd95478e4a57a2bec5008c1f828aee	1	1a0363f0dfd1aef9f4b0f334290c01dddd6d044dd608721a86ce1cd42557cd4e	H_PG_CROSSING
