WAVE_INDEX	NODE_ID	PARENT_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	WAVE_CONTRACT_SHA256	HPG_STATUS	HPG_RECEIPT_SHA256	HPG_VERIFICATION_SHA256	HAPG_STATUS	HAPG_RECEIPT_SHA256	HAPG_VERIFICATION_SHA256	APG_VALID	APG_PASS	APG_RESCUE	GENERIC_CERTIFICATE_PASS	DECISION	TERMINAL_REASON
0	U00-0000000000_S00-0000000000	-	0	0	0	0	4e7c9f46cf932ee6399311bebb59913d46468ec4cd1cc32e7b3af1a910a7f195	H_PG_INTERVAL_DOMAIN	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	H_APG_NOT_ELIGIBLE	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	false	false	false	false	SPLIT_S	-
1	U00-0000000000_S01-0000000000	U00-0000000000_S00-0000000000	0	0	1	0	d3211740a99d6f6f7df405e4f253a681f7fcf4ab57a5f4aba70cec1b1170e587	H_PG_CROSSING	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	H_APG_NOT_ELIGIBLE	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	false	false	false	false	SPLIT_U	-
1	U00-0000000000_S01-0000000001	U00-0000000000_S00-0000000000	0	0	1	1	d3211740a99d6f6f7df405e4f253a681f7fcf4ab57a5f4aba70cec1b1170e587	H_PG_CROSSING	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	H_APG_NOT_ELIGIBLE	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	false	false	false	false	SPLIT_U	-
2	U01-0000000000_S01-0000000000	U00-0000000000_S01-0000000000	1	0	1	0	40442d2418ae32c6eaaaa823f67087ea8baa15bc04a1f003443989070e988bd6	H_PG_CROSSING	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	H_APG_NOT_ELIGIBLE	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	false	false	false	false	SPLIT_S	-
2	U01-0000000000_S01-0000000001	U00-0000000000_S01-0000000001	1	0	1	1	40442d2418ae32c6eaaaa823f67087ea8baa15bc04a1f003443989070e988bd6	H_PG_CROSSING	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	H_APG_NOT_ELIGIBLE	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	false	false	false	false	SPLIT_S	-
2	U01-0000000001_S01-0000000000	U00-0000000000_S01-0000000000	1	1	1	0	40442d2418ae32c6eaaaa823f67087ea8baa15bc04a1f003443989070e988bd6	H_PG_CROSSING	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	H_APG_NOT_ELIGIBLE	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	false	false	false	false	SPLIT_S	-
2	U01-0000000001_S01-0000000001	U00-0000000000_S01-0000000001	1	1	1	1	40442d2418ae32c6eaaaa823f67087ea8baa15bc04a1f003443989070e988bd6	H_PG_CROSSING	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	H_APG_NOT_ELIGIBLE	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	false	false	false	false	SPLIT_S	-
3	U01-0000000000_S02-0000000000	U01-0000000000_S01-0000000000	1	0	2	0	caf5ccd37fae43689af9ab7901a899384b15ca7462a09a8c9f4c2f7507a3ce35	H_PG_CROSSING	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	H_APG_NOT_ELIGIBLE	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	false	false	false	false	SPLIT_U	-
3	U01-0000000000_S02-0000000001	U01-0000000000_S01-0000000000	1	0	2	1	caf5ccd37fae43689af9ab7901a899384b15ca7462a09a8c9f4c2f7507a3ce35	H_PG_CROSSING	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	H_APG_NOT_ELIGIBLE	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	false	false	false	false	SPLIT_U	-
3	U01-0000000000_S02-0000000002	U01-0000000000_S01-0000000001	1	0	2	2	caf5ccd37fae43689af9ab7901a899384b15ca7462a09a8c9f4c2f7507a3ce35	H_PG_CROSSING	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	H_APG_NOT_ELIGIBLE	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	false	false	false	false	SPLIT_U	-
