NODE_ID	PARENT_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	WAVE_INDEX	ACTION	TERMINAL_REASON	WAVE_CONTRACT_SHA256
U00-0000000000_S00-0000000000	-	0	0	0	0	0	SPLIT_S	-	4e7c9f46cf932ee6399311bebb59913d46468ec4cd1cc32e7b3af1a910a7f195
U00-0000000000_S01-0000000000	U00-0000000000_S00-0000000000	0	0	1	0	1	SPLIT_U	-	d3211740a99d6f6f7df405e4f253a681f7fcf4ab57a5f4aba70cec1b1170e587
U00-0000000000_S01-0000000001	U00-0000000000_S00-0000000000	0	0	1	1	1	SPLIT_U	-	d3211740a99d6f6f7df405e4f253a681f7fcf4ab57a5f4aba70cec1b1170e587
U01-0000000000_S01-0000000000	U00-0000000000_S01-0000000000	1	0	1	0	2	SPLIT_S	-	40442d2418ae32c6eaaaa823f67087ea8baa15bc04a1f003443989070e988bd6
U01-0000000000_S01-0000000001	U00-0000000000_S01-0000000001	1	0	1	1	2	SPLIT_S	-	40442d2418ae32c6eaaaa823f67087ea8baa15bc04a1f003443989070e988bd6
U01-0000000000_S02-0000000000	U01-0000000000_S01-0000000000	1	0	2	0	3	SPLIT_U	-	caf5ccd37fae43689af9ab7901a899384b15ca7462a09a8c9f4c2f7507a3ce35
U01-0000000000_S02-0000000001	U01-0000000000_S01-0000000000	1	0	2	1	3	SPLIT_U	-	caf5ccd37fae43689af9ab7901a899384b15ca7462a09a8c9f4c2f7507a3ce35
U01-0000000000_S02-0000000002	U01-0000000000_S01-0000000001	1	0	2	2	3	SPLIT_U	-	caf5ccd37fae43689af9ab7901a899384b15ca7462a09a8c9f4c2f7507a3ce35
U01-0000000000_S02-0000000003	U01-0000000000_S01-0000000001	1	0	2	3	3	SPLIT_U	-	caf5ccd37fae43689af9ab7901a899384b15ca7462a09a8c9f4c2f7507a3ce35
U01-0000000001_S01-0000000000	U00-0000000000_S01-0000000000	1	1	1	0	2	SPLIT_S	-	40442d2418ae32c6eaaaa823f67087ea8baa15bc04a1f003443989070e988bd6
U01-0000000001_S01-0000000001	U00-0000000000_S01-0000000001	1	1	1	1	2	SPLIT_S	-	40442d2418ae32c6eaaaa823f67087ea8baa15bc04a1f003443989070e988bd6
U01-0000000001_S02-0000000000	U01-0000000001_S01-0000000000	1	1	2	0	3	SPLIT_U	-	caf5ccd37fae43689af9ab7901a899384b15ca7462a09a8c9f4c2f7507a3ce35
U01-0000000001_S02-0000000001	U01-0000000001_S01-0000000000	1	1	2	1	3	SPLIT_U	-	caf5ccd37fae43689af9ab7901a899384b15ca7462a09a8c9f4c2f7507a3ce35
U01-0000000001_S02-0000000002	U01-0000000001_S01-0000000001	1	1	2	2	3	SPLIT_U	-	caf5ccd37fae43689af9ab7901a899384b15ca7462a09a8c9f4c2f7507a3ce35
U01-0000000001_S02-0000000003	U01-0000000001_S01-0000000001	1	1	2	3	3	SPLIT_U	-	caf5ccd37fae43689af9ab7901a899384b15ca7462a09a8c9f4c2f7507a3ce35
U02-0000000000_S02-0000000000	U01-0000000000_S02-0000000000	2	0	2	0	4	SPLIT_S	-	4e0cfdea9cab649c7b36ceeb9cfba8e3356d21b6b939b29648e879c703ac90f1
U02-0000000000_S02-0000000001	U01-0000000000_S02-0000000001	2	0	2	1	4	SPLIT_S	-	4e0cfdea9cab649c7b36ceeb9cfba8e3356d21b6b939b29648e879c703ac90f1
U02-0000000000_S02-0000000002	U01-0000000000_S02-0000000002	2	0	2	2	4	SPLIT_S	-	4e0cfdea9cab649c7b36ceeb9cfba8e3356d21b6b939b29648e879c703ac90f1
U02-0000000000_S02-0000000003	U01-0000000000_S02-0000000003	2	0	2	3	4	SPLIT_S	-	4e0cfdea9cab649c7b36ceeb9cfba8e3356d21b6b939b29648e879c703ac90f1
U02-0000000000_S03-0000000000	U02-0000000000_S02-0000000000	2	0	3	0	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000000_S03-0000000001	U02-0000000000_S02-0000000000	2	0	3	1	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000000_S03-0000000002	U02-0000000000_S02-0000000001	2	0	3	2	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000000_S03-0000000003	U02-0000000000_S02-0000000001	2	0	3	3	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000000_S03-0000000004	U02-0000000000_S02-0000000002	2	0	3	4	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000000_S03-0000000005	U02-0000000000_S02-0000000002	2	0	3	5	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000000_S03-0000000006	U02-0000000000_S02-0000000003	2	0	3	6	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000000_S03-0000000007	U02-0000000000_S02-0000000003	2	0	3	7	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000001_S02-0000000000	U01-0000000000_S02-0000000000	2	1	2	0	4	SPLIT_S	-	4e0cfdea9cab649c7b36ceeb9cfba8e3356d21b6b939b29648e879c703ac90f1
U02-0000000001_S02-0000000001	U01-0000000000_S02-0000000001	2	1	2	1	4	SPLIT_S	-	4e0cfdea9cab649c7b36ceeb9cfba8e3356d21b6b939b29648e879c703ac90f1
U02-0000000001_S02-0000000002	U01-0000000000_S02-0000000002	2	1	2	2	4	SPLIT_S	-	4e0cfdea9cab649c7b36ceeb9cfba8e3356d21b6b939b29648e879c703ac90f1
U02-0000000001_S02-0000000003	U01-0000000000_S02-0000000003	2	1	2	3	4	SPLIT_S	-	4e0cfdea9cab649c7b36ceeb9cfba8e3356d21b6b939b29648e879c703ac90f1
U02-0000000001_S03-0000000000	U02-0000000001_S02-0000000000	2	1	3	0	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000001_S03-0000000001	U02-0000000001_S02-0000000000	2	1	3	1	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000001_S03-0000000002	U02-0000000001_S02-0000000001	2	1	3	2	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000001_S03-0000000003	U02-0000000001_S02-0000000001	2	1	3	3	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000001_S03-0000000004	U02-0000000001_S02-0000000002	2	1	3	4	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000001_S03-0000000005	U02-0000000001_S02-0000000002	2	1	3	5	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000001_S03-0000000006	U02-0000000001_S02-0000000003	2	1	3	6	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000001_S03-0000000007	U02-0000000001_S02-0000000003	2	1	3	7	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000002_S02-0000000000	U01-0000000001_S02-0000000000	2	2	2	0	4	SPLIT_S	-	4e0cfdea9cab649c7b36ceeb9cfba8e3356d21b6b939b29648e879c703ac90f1
U02-0000000002_S02-0000000001	U01-0000000001_S02-0000000001	2	2	2	1	4	SPLIT_S	-	4e0cfdea9cab649c7b36ceeb9cfba8e3356d21b6b939b29648e879c703ac90f1
U02-0000000002_S02-0000000002	U01-0000000001_S02-0000000002	2	2	2	2	4	SPLIT_S	-	4e0cfdea9cab649c7b36ceeb9cfba8e3356d21b6b939b29648e879c703ac90f1
U02-0000000002_S02-0000000003	U01-0000000001_S02-0000000003	2	2	2	3	4	SPLIT_S	-	4e0cfdea9cab649c7b36ceeb9cfba8e3356d21b6b939b29648e879c703ac90f1
U02-0000000002_S03-0000000000	U02-0000000002_S02-0000000000	2	2	3	0	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000002_S03-0000000001	U02-0000000002_S02-0000000000	2	2	3	1	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000002_S03-0000000002	U02-0000000002_S02-0000000001	2	2	3	2	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000002_S03-0000000003	U02-0000000002_S02-0000000001	2	2	3	3	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000002_S03-0000000004	U02-0000000002_S02-0000000002	2	2	3	4	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000002_S03-0000000005	U02-0000000002_S02-0000000002	2	2	3	5	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000002_S03-0000000006	U02-0000000002_S02-0000000003	2	2	3	6	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000002_S03-0000000007	U02-0000000002_S02-0000000003	2	2	3	7	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000003_S02-0000000000	U01-0000000001_S02-0000000000	2	3	2	0	4	SPLIT_S	-	4e0cfdea9cab649c7b36ceeb9cfba8e3356d21b6b939b29648e879c703ac90f1
U02-0000000003_S02-0000000001	U01-0000000001_S02-0000000001	2	3	2	1	4	SPLIT_S	-	4e0cfdea9cab649c7b36ceeb9cfba8e3356d21b6b939b29648e879c703ac90f1
U02-0000000003_S02-0000000002	U01-0000000001_S02-0000000002	2	3	2	2	4	SPLIT_S	-	4e0cfdea9cab649c7b36ceeb9cfba8e3356d21b6b939b29648e879c703ac90f1
U02-0000000003_S02-0000000003	U01-0000000001_S02-0000000003	2	3	2	3	4	SPLIT_S	-	4e0cfdea9cab649c7b36ceeb9cfba8e3356d21b6b939b29648e879c703ac90f1
U02-0000000003_S03-0000000000	U02-0000000003_S02-0000000000	2	3	3	0	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000003_S03-0000000001	U02-0000000003_S02-0000000000	2	3	3	1	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000003_S03-0000000002	U02-0000000003_S02-0000000001	2	3	3	2	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000003_S03-0000000003	U02-0000000003_S02-0000000001	2	3	3	3	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000003_S03-0000000004	U02-0000000003_S02-0000000002	2	3	3	4	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000003_S03-0000000005	U02-0000000003_S02-0000000002	2	3	3	5	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000003_S03-0000000006	U02-0000000003_S02-0000000003	2	3	3	6	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U02-0000000003_S03-0000000007	U02-0000000003_S02-0000000003	2	3	3	7	5	SPLIT_U	-	8528f80fa5fc416802a951f083b5be5d4e87cc8a12c35cc005ff64e44b439e24
U03-0000000000_S03-0000000000	U02-0000000000_S03-0000000000	3	0	3	0	6	SPLIT_S	-	39ce71092067996f07b42c1e74b6a681b668ada4e11f2d17d0745447d15c5754
U03-0000000000_S03-0000000001	U02-0000000000_S03-0000000001	3	0	3	1	6	SPLIT_S	-	39ce71092067996f07b42c1e74b6a681b668ada4e11f2d17d0745447d15c5754
U03-0000000000_S03-0000000002	U02-0000000000_S03-0000000002	3	0	3	2	6	SPLIT_S	-	39ce71092067996f07b42c1e74b6a681b668ada4e11f2d17d0745447d15c5754
U03-0000000000_S03-0000000003	U02-0000000000_S03-0000000003	3	0	3	3	6	SPLIT_S	-	39ce71092067996f07b42c1e74b6a681b668ada4e11f2d17d0745447d15c5754
U03-0000000000_S03-0000000004	U02-0000000000_S03-0000000004	3	0	3	4	6	SPLIT_S	-	39ce71092067996f07b42c1e74b6a681b668ada4e11f2d17d0745447d15c5754
U03-0000000000_S03-0000000005	U02-0000000000_S03-0000000005	3	0	3	5	6	SPLIT_S	-	39ce71092067996f07b42c1e74b6a681b668ada4e11f2d17d0745447d15c5754
U03-0000000000_S03-0000000006	U02-0000000000_S03-0000000006	3	0	3	6	6	SPLIT_S	-	39ce71092067996f07b42c1e74b6a681b668ada4e11f2d17d0745447d15c5754
U03-0000000000_S03-0000000007	U02-0000000000_S03-0000000007	3	0	3	7	6	SPLIT_S	-	39ce71092067996f07b42c1e74b6a681b668ada4e11f2d17d0745447d15c5754
U03-0000000000_S04-0000000000	U03-0000000000_S03-0000000000	3	0	4	0	7	UNRESOLVED	WAVE_LIMIT	8e1763d7fc2bff61bca0761f7eefb47f9db9d0bf582b1dc2ae82e2f518b2bd1c
U03-0000000000_S04-0000000001	U03-0000000000_S03-0000000000	3	0	4	1	7	UNRESOLVED	WAVE_LIMIT	8e1763d7fc2bff61bca0761f7eefb47f9db9d0bf582b1dc2ae82e2f518b2bd1c
U03-0000000000_S04-0000000002	U03-0000000000_S03-0000000001	3	0	4	2	7	UNRESOLVED	WAVE_LIMIT	8e1763d7fc2bff61bca0761f7eefb47f9db9d0bf582b1dc2ae82e2f518b2bd1c
U03-0000000000_S04-0000000003	U03-0000000000_S03-0000000001	3	0	4	3	7	UNRESOLVED	WAVE_LIMIT	8e1763d7fc2bff61bca0761f7eefb47f9db9d0bf582b1dc2ae82e2f518b2bd1c
U03-0000000000_S04-0000000004	U03-0000000000_S03-0000000002	3	0	4	4	7	UNRESOLVED	WAVE_LIMIT	8e1763d7fc2bff61bca0761f7eefb47f9db9d0bf582b1dc2ae82e2f518b2bd1c
U03-0000000000_S04-0000000005	U03-0000000000_S03-0000000002	3	0	4	5	7	UNRESOLVED	WAVE_LIMIT	8e1763d7fc2bff61bca0761f7eefb47f9db9d0bf582b1dc2ae82e2f518b2bd1c
U03-0000000000_S04-0000000006	U03-0000000000_S03-0000000003	3	0	4	6	7	UNRESOLVED	WAVE_LIMIT	8e1763d7fc2bff61bca0761f7eefb47f9db9d0bf582b1dc2ae82e2f518b2bd1c
U03-0000000000_S04-0000000007	U03-0000000000_S03-0000000003	3	0	4	7	7	UNRESOLVED	WAVE_LIMIT	8e1763d7fc2bff61bca0761f7eefb47f9db9d0bf582b1dc2ae82e2f518b2bd1c
U03-0000000000_S04-0000000008	U03-0000000000_S03-0000000004	3	0	4	8	7	UNRESOLVED	WAVE_LIMIT	8e1763d7fc2bff61bca0761f7eefb47f9db9d0bf582b1dc2ae82e2f518b2bd1c
U03-0000000000_S04-0000000009	U03-0000000000_S03-0000000004	3	0	4	9	7	UNRESOLVED	WAVE_LIMIT	8e1763d7fc2bff61bca0761f7eefb47f9db9d0bf582b1dc2ae82e2f518b2bd1c
