WAVE_INDEX	NODE_ID	HPG_ELAPSED_MS	HAPG_ELAPSED_MS
0	U00-0000000000_S00-0000000000	804	0
1	U00-0000000000_S01-0000000000	791	0
1	U00-0000000000_S01-0000000001	794	0
2	U01-0000000000_S01-0000000000	6449	0
2	U01-0000000000_S01-0000000001	6463	0
2	U01-0000000001_S01-0000000000	6490	0
2	U01-0000000001_S01-0000000001	6457	0
3	U01-0000000000_S02-0000000000	6120	0
3	U01-0000000000_S02-0000000001	6105	0
3	U01-0000000000_S02-0000000002	6205	0
3	U01-0000000000_S02-0000000003	6120	0
3	U01-0000000001_S02-0000000000	6117	0
3	U01-0000000001_S02-0000000001	6130	0
3	U01-0000000001_S02-0000000002	6121	0
3	U01-0000000001_S02-0000000003	6114	0
4	U02-0000000000_S02-0000000000	6091	0
4	U02-0000000000_S02-0000000001	6021	0
4	U02-0000000000_S02-0000000002	6026	0
4	U02-0000000000_S02-0000000003	6090	0
4	U02-0000000001_S02-0000000000	6077	0
4	U02-0000000001_S02-0000000001	6037	0
4	U02-0000000001_S02-0000000002	6021	0
4	U02-0000000001_S02-0000000003	6071	0
4	U02-0000000002_S02-0000000000	6095	0
4	U02-0000000002_S02-0000000001	6025	0
4	U02-0000000002_S02-0000000002	6029	0
4	U02-0000000002_S02-0000000003	6091	0
4	U02-0000000003_S02-0000000000	6019	0
4	U02-0000000003_S02-0000000001	6046	0
4	U02-0000000003_S02-0000000002	6083	0
4	U02-0000000003_S02-0000000003	6081	0
5	U02-0000000000_S03-0000000000	6914	0
5	U02-0000000000_S03-0000000001	6757	0
5	U02-0000000000_S03-0000000002	6550	0
5	U02-0000000000_S03-0000000003	6690	0
5	U02-0000000000_S03-0000000004	6727	0
5	U02-0000000000_S03-0000000005	6905	0
5	U02-0000000000_S03-0000000006	6530	0
5	U02-0000000000_S03-0000000007	6910	0
5	U02-0000000001_S03-0000000000	6519	0
5	U02-0000000001_S03-0000000001	6914	0
5	U02-0000000001_S03-0000000002	7021	0
5	U02-0000000001_S03-0000000003	6717	0
5	U02-0000000001_S03-0000000004	6515	0
5	U02-0000000001_S03-0000000005	6724	0
5	U02-0000000001_S03-0000000006	6910	0
5	U02-0000000001_S03-0000000007	6524	0
5	U02-0000000002_S03-0000000000	6684	0
5	U02-0000000002_S03-0000000001	6536	0
5	U02-0000000002_S03-0000000002	6502	0
5	U02-0000000002_S03-0000000003	6891	0
5	U02-0000000002_S03-0000000004	6910	0
5	U02-0000000002_S03-0000000005	6515	0
5	U02-0000000002_S03-0000000006	6714	0
5	U02-0000000002_S03-0000000007	6514	0
5	U02-0000000003_S03-0000000000	6528	0
5	U02-0000000003_S03-0000000001	6703	0
5	U02-0000000003_S03-0000000002	6724	0
5	U02-0000000003_S03-0000000003	6713	0
5	U02-0000000003_S03-0000000004	6719	0
5	U02-0000000003_S03-0000000005	6736	0
5	U02-0000000003_S03-0000000006	6737	0
5	U02-0000000003_S03-0000000007	6687	0
6	U03-0000000000_S03-0000000000	5843	0
6	U03-0000000000_S03-0000000001	6006	0
6	U03-0000000000_S03-0000000002	5818	0
6	U03-0000000000_S03-0000000003	5841	0
6	U03-0000000000_S03-0000000004	5852	0
6	U03-0000000000_S03-0000000005	5807	0
6	U03-0000000000_S03-0000000006	6010	0
6	U03-0000000000_S03-0000000007	5817	0
6	U03-0000000001_S03-0000000000	5841	0
6	U03-0000000001_S03-0000000001	5849	0
6	U03-0000000001_S03-0000000002	6045	0
6	U03-0000000001_S03-0000000003	5846	0
6	U03-0000000001_S03-0000000004	5787	0
6	U03-0000000001_S03-0000000005	5843	0
6	U03-0000000001_S03-0000000006	5999	0
6	U03-0000000001_S03-0000000007	5848	0
6	U03-0000000002_S03-0000000000	5831	0
6	U03-0000000002_S03-0000000001	5800	0
6	U03-0000000002_S03-0000000002	5830	0
6	U03-0000000002_S03-0000000003	5798	0
6	U03-0000000002_S03-0000000004	5834	0
6	U03-0000000002_S03-0000000005	5824	0
6	U03-0000000002_S03-0000000006	5828	0
6	U03-0000000002_S03-0000000007	6002	0
6	U03-0000000003_S03-0000000000	5792	0
6	U03-0000000003_S03-0000000001	5847	0
6	U03-0000000003_S03-0000000002	5845	0
6	U03-0000000003_S03-0000000003	5790	0
6	U03-0000000003_S03-0000000004	5839	0
