WAVE_INDEX	NODE_ID	PARENT_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	WAVE_CONTRACT_SHA256	HPG_STATUS	HPG_RECEIPT_SHA256	HPG_VERIFICATION_SHA256	HAPG_STATUS	HAPG_RECEIPT_SHA256	HAPG_VERIFICATION_SHA256	APG_VALID	APG_PASS	APG_RESCUE	GENERIC_CERTIFICATE_PASS	DECISION	TERMINAL_REASON
0	U00-0000000000_S00-0000000000	-	0	0	0	0	b8ce9a09c861222c516b494c5881a05c6534a83c4978bec71bd1f3b1afbb239f	H_PG_INTERVAL_DOMAIN	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	H_APG_NOT_ELIGIBLE	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	false	false	false	false	KAT_ONLY	-
0	U08-0000000064_S08-0000000064	-	8	64	8	64	b8ce9a09c861222c516b494c5881a05c6534a83c4978bec71bd1f3b1afbb239f	HPG_VERIFIED_SIGNED_CHARTS	4f52c3e26ed8e6de759901a665dc888475388f39a6fbd01d72e167f382dd8e68	95dd7bd18e37a2f17bcaabe203005e5471ee5a5a351bec0add4be3be439350ff	H_APG_UNCERTIFIED	dd7aef2bbd73c014c17ca6c6e86bf723313867fdb74332af8afd615e31f79e00	d7e48c638282b1a945f6c2b6e4894b0870e29af2727ec472c70f0ccd184134ab	true	false	false	false	KAT_ONLY	-
0	U08-0000000064_S08-0000000192	-	8	64	8	192	b8ce9a09c861222c516b494c5881a05c6534a83c4978bec71bd1f3b1afbb239f	HPG_VERIFIED_SIGNED_CHARTS	c5216ec101ce9ccce34f8637c9d96f7a3c3db0a2f1dcfba39514afa4f5a9b9cc	577982a21134423ffc5488160160693a394f93244bc4fecb1e9dd9513e3e61b6	H_APG_UNCERTIFIED	d12045266f5ae5ae06dcd842a617b0cbf35c67eb10b11422618e129005ec39ea	798c7ac1b3f34f793bb0c8771746a1715ae6a7275148adb2a32de91f1052f643	true	false	false	false	KAT_ONLY	-
0	U08-0000000192_S08-0000000064	-	8	192	8	64	b8ce9a09c861222c516b494c5881a05c6534a83c4978bec71bd1f3b1afbb239f	HPG_VERIFIED_SIGNED_CHARTS	8e563394dee88b5b58b1482e26b8983cbb56cc1bab4a7004ceb5237db30a56db	d4268051ce2628481efa7de8ca5c16643037c092936f6e9353208abba38a4416	H_APG_UNCERTIFIED	5b5651517d2f10a5a5fa9e4eb8e12ecb9f7d5cf2c19a0a2d98ff91093d0ce4c2	8e27d195095776e5a446883287c0ff907d95d8d7087a78e80b25ac2829cfe8a9	true	false	false	false	KAT_ONLY	-
0	U08-0000000192_S08-0000000192	-	8	192	8	192	b8ce9a09c861222c516b494c5881a05c6534a83c4978bec71bd1f3b1afbb239f	HPG_VERIFIED_SIGNED_CHARTS	0f3b0b4251b8fb068f7a162390c9922bcfa55c18cc084a3d04ea024197bda2b3	3f3e756cef9fe8c5be37575e25ebccf903a05a347c8fe1afeb7f6282eb142f55	H_APG_UNCERTIFIED	1728de43497eb353ed7240fcdbdeb4371a6d9a8dccc947d02c760f83262f84f8	748d40926eb1b3080a929df8496fcebffbc12ae602fc457ef8ce4cd3843c6090	true	false	false	false	KAT_ONLY	-
0	U12-0000001024_S12-0000001024	-	12	1024	12	1024	b8ce9a09c861222c516b494c5881a05c6534a83c4978bec71bd1f3b1afbb239f	HPG_VERIFIED_SIGNED_CHARTS	2758d8a6e90a704237ca76039736e3e94b6d5c2930b5c0456e8fec09c287514e	06ea1d6fb5ff54f6724815e18628c700ef422cf33a240f03a35e2a11c1040065	H_APG_CERTIFIED	4b055cf9ce7b3fa211c677fea9c0bc7b03d30e2b5004ccf45be21651f3f2a042	df66a96e97e64b383b03119b8cdf351ca94f5f284906f9c6ece629288e91bd28	true	true	true	true	KAT_ONLY	-
0	U12-0000001024_S12-0000003072	-	12	1024	12	3072	b8ce9a09c861222c516b494c5881a05c6534a83c4978bec71bd1f3b1afbb239f	HPG_VERIFIED_SIGNED_CHARTS	5d3664e679bf15e10642b1d7da8a1d90e56cd998ecdf65be953a491e5481f4ba	dea0aafe3adfd5d6f3dde1be8304a99353930150086db64e8f8ff855a30ba570	H_APG_CERTIFIED	c9f3106f252e4ed17be2a213765b4e26cec21f510b94003242bff66b5b6ed718	22c5f19e978d6d30af6cfab4c002ab4db53f48057f240e09e83f290bc774a3df	true	true	true	true	KAT_ONLY	-
0	U12-0000001024_S16-0000016384	-	12	1024	16	16384	b8ce9a09c861222c516b494c5881a05c6534a83c4978bec71bd1f3b1afbb239f	HPG_VERIFIED_SIGNED_CHARTS	d98dfde622bec2ff00eed47fd4b3e399c6da1c39c2581201a07e81350b564ef5	c2aa70eb8ac4be40c4fcb7f9e1e0db728d60aa0e3a0f25b382b631c637856c2b	H_APG_CERTIFIED	9418d23a78d8d0567784502a2c0376bb99f6e54aa266e30f1d3ae8694daf3565	ab53ebce0fc6f23cd696ad2a515a01f5ed8c07f3228802c7d852f1c4f0bfc157	true	true	true	true	KAT_ONLY	-
0	U12-0000001024_S16-0000049152	-	12	1024	16	49152	b8ce9a09c861222c516b494c5881a05c6534a83c4978bec71bd1f3b1afbb239f	HPG_VERIFIED_SIGNED_CHARTS	96d4a2d954c1f29ce080bc56acfb87eff6ba4e2bc9746c04f455e4c89267f66b	901b5e4b8cbc1eb6ccf2704a54bffaeb3a2f61a478265b999ba64dbf46c8d49e	H_APG_CERTIFIED	b1cce947aeb3c6ec0a80f0593cbf7658c1473fa377cf3c2d62fe37f875c28d79	20b4b9612d2a9c8dcafe7a4ce95276f7333de34f05feadd4a606c62f1e65129d	true	true	true	true	KAT_ONLY	-
0	U12-0000003072_S12-0000001024	-	12	3072	12	1024	b8ce9a09c861222c516b494c5881a05c6534a83c4978bec71bd1f3b1afbb239f	HPG_VERIFIED_SIGNED_CHARTS	062a93c189bc63f76eb4b7a90c51021977189c570a63058cd4aaabdf11ab1220	8349f35c3454135f50cdbf2b9c1d5f043ecab6f053711ac811b409b93f4fdebe	H_APG_CERTIFIED	dac331ae2362863c20761f1829fab19516c8a70deedf464fc01a9ef0a5b774e2	0ee9e9e09a8c02fea7b6184f6e8e93df4279982ea0dda2105a55e7be6fa9e69e	true	true	true	true	KAT_ONLY	-
