LEAF_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	STATUS	METHOD	PROBE_PASS	AFFINE_PASS	PROJECTIVE_X_PASS	PROJECTIVE_Y_PASS	PROJECTIVE_PLUS_PASS	PROJECTIVE_MINUS_PASS	HOMOGENEOUS_PASS	CERTIFICATE_PASS	SUBDIVISION_REQUIRED	INPUT_SHA256	LEAF_CHALLENGE	RECEIPT_SHA256	STDERR_SHA256	VERIFICATION_SHA256	PHYSICAL_SHA256	WORKER_RC	ELAPSED_MS	C1_DET_WIDTH	AFFINE_DET_WIDTH	FIXED_BEST_DET_WIDTH	HOMOGENEOUS_DET_WIDTH	MINIMUM_PIVOT_SCORE	CHART_SWITCHES	RECEIPT_BYTES
U00-0000000000_S00-0000000000	0	0	0	0	COMPUTATION_UNRESOLVED_INTERVAL_DOMAIN	NONE	false	false	false	false	false	false	false	false	true	835b9776707d5d8c7b263b84632301dd3db5ccc635968cf18f4560a4de851df6	3f641493c50b456cbad5de7459c0bb816a96b8e907e32ca633149d3a59d4db1e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	d14d17a0aab50829d93f23257bfbbe81a6c98517fe72137143ec59a731e55d1d	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	1	3606	-	-	-	-	-	-	-
U08-0000000064_S08-0000000064	8	64	8	64	PROBE_VALID_UNCERTIFIED	NONE	true	false	false	false	false	false	false	false	true	51024385260754ebcea722867ecf95e3b6aeaa19660c162aa54af5ddc49dbb7d	c0cd4248b633df37286a04950ff555bca2e0f0c08674a66cef354909e305538c	bde00f05031c888d5e8ee80b2c8aca0e48246a1229b3e5daec64bea237dfa13b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	c694bb24c8af5485b2f5180083407c37ed59ef42ec18e55511e81868501ae682	02cd7e686a236d2928a423af16cbbc1765a87890ab79ca995d7bd2b00587c5a4	0	27311	7.1344785852750009e-06	6.5497775177495132e-08	1.8246233478779713e-07	4.1137328249424696e-06	1.7371496122464588e-07	2	35495
U08-0000000064_S08-0000000192	8	64	8	192	PROBE_VALID_UNCERTIFIED	NONE	true	false	false	false	false	false	false	false	true	8402247afc91796acc0194ceb0de7514075bf461223adf96bbe0798332a9d6a7	0424be824b08d2b659a6777179c38db8da95c7c974021fe6684839dc5bf49dd2	44816cef541228b637ac20369540c10c4f291d4dc233d882bcb1273a42175b26	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	383b34b09132d3c045febf441ca1c67a28cd91690f33558df39e64b05b2cd634	ea81be6d26c66da00ec8e2a056599cd0c1d11a809019e78ec32d999e8a197521	0	29416	7.2693772586441191e-06	1.0314195318351053e-07	2.2302426157645867e-07	7.627599073572413e-06	3.2615772475851839e-08	2	35498
U08-0000000192_S08-0000000064	8	192	8	64	PROBE_VALID_UNCERTIFIED	NONE	true	false	false	false	false	false	false	false	true	9a543f3f06ee060f579ef47f808ebdbba9d237cd1cb6d692046057ff84856d7f	9c0edca2d5a78a2bfa717e892870b61b31ec26f87b050c1f9ddbe4383ca3c1cc	e3b91ca9d0b0a5a95441294885d733c050d52ee05d61dd1ff0d2565f6dacdea7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e94f53308cb6f1e76ff839dea6e8c215984ab900b6219877ef71e95a681704f5	ad3ff9d7728c483d0b6ba10f9b3d1c8116512e7a21859c08afd13bd755a95505	0	28201	7.1987274300087541e-06	6.5963674155760177e-08	1.8175671682694086e-07	3.2904011849679689e-06	2.2832047118092855e-07	2	35493
U08-0000000192_S08-0000000192	8	192	8	192	PROBE_VALID_UNCERTIFIED	NONE	true	false	false	false	false	false	false	false	true	1da8d07d88864eee425c0fd28d9bd38b78fe17d3aa5bb9ad03bb4a38b48f95ed	96abfb2efe1f27521f65597c760e0f2aae7825b0da041276c6a8ce4bf3ef4573	f1f26ea715426ff88a610dda81376bf8acbea3cabae3e69a7b4906610d8b187a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2e8696c1e990279dd74cea17edf4c0ecc795ea49c15f307ae0cfa652c0a13e32	951f2500007f64f4a2d9a096d2746e75bf1e4f33b1d1f58fffeed9c3a0742262	0	29314	7.2518078063307243e-06	7.1444322640900602e-08	1.9017784118384906e-07	8.2737620412232857e-06	2.9449732793240058e-08	2	35507
U12-0000001024_S12-0000001024	12	1024	12	1024	PROBE_VALID_UNCERTIFIED	NONE	true	false	false	false	false	false	false	false	true	3c1b1668641d08132620ab82b37ad1cc5e90b37d0de97f90a10f28f01fffd5e1	23bf6402fad6bc1ec49f9f7a217c3bbe2b514154fbd583af0c6e0818d46ba520	b40b75347dfd1932aa2587dee9afcbbb52f7c2e0a240c39b2493658223336bbc	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	b02d90e893ca4782bd726add557a39d8d43bd9908dad672d57ace8c53c7750c4	d06114ca7a288549f7e22d8cfae3b1fbbaaaf8585ac858a720470ce6b37083cf	0	26800	4.4126594147890308e-07	2.5282736798498401e-10	7.4392084528970735e-09	1.5518382215603777e-07	2.371440979220942e-07	2	35487
U12-0000001024_S12-0000003072	12	1024	12	3072	PROBE_VALID_UNCERTIFIED	NONE	true	false	false	false	false	false	false	false	true	98fef771a9d5723f13fe9e38e4e80c59640721df3b5dac4af5f0889d784f380f	f3bb43365c563d33e8123d602acd681e31b389db3039c7a4154e4958598f60b8	856d02f58d31702caeb396a4f67329929a7314cbc567d6322873bfcf9a166533	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ca8c8bc88017182d7d798ad8481d986823cfc2a5bd60ab97f28a1e7f4fe79916	c46f40d9c84573c4d6fc24e06d32b595016f4b1aacba2c5792cb6337811c25f3	0	27295	4.4985356594686529e-07	2.7995920836563548e-10	7.6299406857384918e-09	4.6745012866676264e-07	4.2677949422712408e-08	1	35506
U12-0000001024_S16-0000016384	12	1024	16	16384	PROBE_VALID_UNCERTIFIED	NONE	true	false	false	false	false	false	false	false	true	b6e21153739269ef598aa5e99bc40a0710f94c135d4c82701ef9ceb3dc1c32cc	84af79b27195361a531e7fe40369f31908bd1fcb8ad01df1c03e0c5dec64f069	cecf889f5e51d934d1991723aa9365d1430ba03b1cd27423831352fe5089cf79	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	762cf6a8bf6e2633f45b61b1d81239d0dc67dafe0601ed2f35291537583acd74	b285035e672f0984f2eba1e2ecebe61b00bc972560bd46177fcd72c116d271d7	0	29292	3.9925209278859831e-07	8.3096173502803077e-11	1.1857829874327361e-09	4.4621467823803584e-08	2.4058381617747032e-07	2	35512
U12-0000001024_S16-0000049152	12	1024	16	49152	PROBE_VALID_UNCERTIFIED	NONE	true	false	false	false	false	false	false	false	true	e3c598a6368d4abcb0cb08e90f6c513c1e5e4668e963a4fa474cb3f8e1f4fbdf	d5aadd261b60043994d29d22db076061a1692c63c25fbeb5836efb59601515fc	5bc5d68ebbbd4e2ce80c473fe68360ac79dc2f901024dc7bec1f5813f864902b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	37c2e156538d7364117f6390bde878676bf961da53796346cd84ded63233feb9	f939b63b97146aa8ce9148b5f22f602650dd7303013e756c8708b20ba57ec0e5	0	38011	4.0515832459558996e-07	8.5220607810141609e-11	1.2282904592345168e-09	1.2269791896782347e-07	4.3932488147495213e-08	1	35529
U12-0000003072_S12-0000001024	12	3072	12	1024	PROBE_VALID_UNCERTIFIED	NONE	true	false	false	false	false	false	false	false	true	c1a27a6b515e8c98373fbd34cd6122fb97351dc053e235eff6ceefa9f8f65412	6a9b1b771c8debd431cf59436032a06f5cc32733ed0b929781c0bba5d901f75e	b0cd40418e44388c70a7592c748b6b17f3313f58399b822c8ae71d8a0aa5a981	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2c31fd7b18410e9fb2a25414ce2707a081f94d11ee02ae75ff01e000c4e4b45e	f411af1b035dfe47e568486b2f965d82ea0601fa8a81525150bd02d27a8c95b0	0	29095	4.4633804502449171e-07	2.5463095655593231e-10	7.3920562407508501e-09	1.4141989072109035e-07	3.0011330953913456e-07	2	35488
U12-0000003072_S12-0000003072	12	3072	12	3072	PROBE_VALID_UNCERTIFIED	NONE	true	false	false	false	false	false	false	false	true	c0b804a283bac1742c43cec4d07ca058e6371198fd39ba8585b208da70cdaeb8	c0fbb676e08d5ee3c665e6f0b16ea00aa3ed3b9b0b4e74fd3135f7538f954a61	613ed82ba706abaf65c2ee4204beeefd7cb28823ff78563671d38f25f3c2693e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2f7c90288da635e8291bf6ef74e13afad127b3f323ff8f6b825f2d28f38867c0	11f6987e93e47f3a561a73f304f6d3a6662618cad234d1e070b95739cb218ba2	0	35092	4.4889901873583503e-07	2.7557818266929835e-10	7.5653438661080585e-09	2.4365242783532346e-07	3.6948031055758215e-08	2	35504
U12-0000003072_S16-0000016384	12	3072	16	16384	PROBE_VALID_UNCERTIFIED	NONE	true	false	false	false	false	false	false	false	true	490df889010a08974fcaa6b30e28d0b6931a2c89660cceb33e8e628af24e7d4b	65b463de889098c9ab5405c205816afeb24e744ca485782c3d4e8043699757cd	c3c3770841e1b42085b45a9680bb75e4e06e8f58de0fb4491e7fb718737c6830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	351b09ca9eed38eef2262e61735158857650d19ab5fc9b23661eaa361bfc2b9d	ff2c2ec4cfa204bdf4b629aab14eea50de248a1fac06b54bdc471ee3af92510c	0	30503	4.0142298081660293e-07	8.3896081222545753e-11	1.1795121116135755e-09	4.2056910449161172e-08	3.0397188390414133e-07	2	35497
U12-0000003072_S16-0000049152	12	3072	16	49152	PROBE_VALID_UNCERTIFIED	NONE	true	false	false	false	false	false	false	false	true	e9237e572f3a9a6595d83421a950e2e19c2a4685ab310506f78de821b2a5d538	55d9be50b1ab6b4ff2e7b3452701ad70c88ad6d11c94ecdcbee04413424929a0	e5fa8b53afd5958b47ff3c356db9049d2f3c4f82384f0531b0ca6e8c73fef3ba	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	fa3ef357903e674e4648bae570c1173260e61792e53fed0bf0f8ad11e6e16262	f31c0a41bfd6173048ee0b3f41eafbbcec16c7a250192c4e16991c609f3ba3d1	0	26998	4.057995342853538e-07	8.5339360918842155e-11	1.2159067608799548e-09	6.4736943881247835e-08	3.7319332548215915e-08	2	35513
U13-0000001024_S14-0000002048	13	1024	14	2048	PROBE_VALID_CERTIFIED	AFFINE	true	true	false	false	false	false	false	true	false	74c728b34c5ba03dab2841cdae56f6e6c0b6fe26bc26981d87a50307ef60ecbd	e4f791d5896d466601d9ba6f7375d7b3b1174e5beedd06dc7daf221b218cd868	01b07924ea838290ecee28062396e87f41bd4c94d9b6f7ed1ee567bcd6183207	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	947884b18895980c45b210c2ca7d41fcf31e2e9083bf956bd46d9e198f7336cd	874f0725da8249ed54b766414721cd7d9e56e8f4963ddb32acf3ff560de6953f	0	26899	1.4130400437515213e-07	5.2320400981532972e-11	2.0187514600329687e-09	4.24767699896968e-08	3.8492732436331745e-07	2	35517
U13-0000001024_S14-0000006144	13	1024	14	6144	PROBE_VALID_CERTIFIED	AFFINE	true	true	false	false	false	false	false	true	false	87fceb383f74c299a0af0397c4b8d38de97d9d50700dc6671a0dab1dab8e72f5	5eae12fb4c29314c4729876e740307b8ee1576e901cb9e5061cdd30d709c0ed8	c8506a05dfe721b485e5cdaed7d70f82452752e10342dc3bc5cb358d400232b9	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	4b84db9410873de701e20774321d4934de576c7ad7038b698e981280ff336b35	ef691f42f2d4c69a4ac72ec031f52b56d177b83453b19bc537016dadb9e4f062	0	33405	1.3896571692525308e-07	5.2635623283496644e-11	2.033536821764664e-09	1.475440171418539e-07	1.1124354430113931e-07	2	35495
U13-0000001024_S14-0000010240	13	1024	14	10240	PROBE_VALID_CERTIFIED	AFFINE	true	true	false	false	false	false	false	true	false	283624848af18ba5047322e86b4be033a1025806aab8782e2a751e46ebab8805	a6500bd018dc223c881690f39a2f25554a3839a9cb25010141b02ea338f7e81e	d3785e79d5a6a86f0b83b01064aca9b304507128f8cb0ee3700f5bb73147b00d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	7c4c2f5e3034c879d2b9cc08c07120c030597a9c0cdd1bf69bf2fd219618ca29	69184f1848bd13cf5d89409a602366525da8e9ad935abcb9d3b9cc565991ddb9	0	37976	1.406145251455775e-07	5.3392834523613532e-11	2.0604301288997477e-09	7.8467446492913129e-08	3.3821234725126322e-08	2	35527
U13-0000001024_S14-0000014336	13	1024	14	14336	PROBE_VALID_CERTIFIED	AFFINE	true	true	false	false	false	false	false	true	false	8d89b39f48c533aeacec395942c695be1d3979513f0dfde0ccbfdbd19d7097d8	7829b3707044539de7be27386bc647dc04d5914f52056888bd192677c9ea0d77	fba22c9d246048371feb5acc4bd7a1aebbc3a74ed76db189345e1ebf7be0d341	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	27719bc02a1ec978b1f1072caf1d86e433a9ba1c595107633e140dcd3077edd6	36029798de40643e7b2026dcece17667e8ba9ab7808fe7d96f9336fa5b36f500	0	26282	1.4489741853634027e-07	5.5732123893142284e-11	2.0962341926312046e-09	1.1613708341072499e-07	1.1654270252803737e-07	1	35523
U13-0000002048_S13-0000002048	13	2048	13	2048	PROBE_VALID_UNCERTIFIED	NONE	true	false	false	false	false	false	false	false	true	9d6c09d1a25e2e0e67a78508f5f26498c57c3ea801a20029e069fa50a62b9df8	9b015f713b761d2db57cc561029a3c57d734190005242e1e47801dc330123344	735ed8a62031ff3e8392e2218668838822773e6c52740032db1a147f3aaa3808	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	38a12293b5df19f95e6f6432ea0db1795c07b4a319e950c956d4df95c1816059	4b7ae24289c4cbb529627c16c8876204845a696dcbac8f6e3341d28e883fcf0f	0	26613	2.2056187907971128e-07	6.5937719417958261e-11	3.6579572236457147e-09	7.6736617558171281e-08	2.3942142915838257e-07	2	35494
U13-0000002048_S13-0000006144	13	2048	13	6144	PROBE_VALID_UNCERTIFIED	NONE	true	false	false	false	false	false	false	false	true	2b5e72c8339435df79bf2e47f24db305513075a81333026d91b7b7751c63de1a	f190f8694b46415b4a82ced4d1022b87cd645e12421b2c50a2313a4edf890a04	e5cdede217603cd585f9dd317e70c7cea433d9a82e9e5ead6b4ea930aa0e9f16	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	b8da2de988287e8264f896104ff4dee10d32bfc246cf9c8771cf9b4b1a7eb6c4	00083549f4799415cc6cbbb42a858eb21300924eb61442a5b39f92a36c309cd4	0	29011	2.2478986358002333e-07	7.2909187190606801e-11	3.7469189940038135e-09	2.280186652491189e-07	4.3536130712369355e-08	1	35520
U13-0000002048_S14-0000004096	13	2048	14	4096	PROBE_VALID_CERTIFIED	AFFINE	true	true	false	false	false	false	false	true	false	c037cdd7d9334ecd11d25dc047342e9ceb584f39b1e6c8c8ee40f6328d50e944	4d203a0c19cfde16f3c25ce1455b6b1ed3e1c471bab68dc09ee5625ce98bae4e	85d76abadee055bd0607ccaa6490c9b5f644d37f141f3465c8fc5f0e6eff5267	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	66edd3680e1dbff4772a7143912511105b3839c92f9e55eb15d91e197a3d6eff	3a3c37433b9627ec069b989a4bb1f53b36d3ccd6bedc264ccd713bf701700089	0	26394	1.4015739217197267e-07	5.2446956313723968e-11	2.0225556780829823e-09	4.8331495346507355e-08	2.4024505643624839e-07	2	35493
U13-0000002048_S14-0000012288	13	2048	14	12288	PROBE_VALID_CERTIFIED	AFFINE	true	true	false	false	false	false	false	true	false	fad639a658439e7c9bdad41b882726d6099585762db0c53b445f24ff85b8afcb	175cabf0807697425ebcbae06e7f7d8bad3708b5c24577aa200ff60de60734bc	d284345501589d85258a1048de1d2c251b0634261092b0d7005e9dbbd2eab749	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	83c0d5bb81a24401ca544e6174c637cc069bf59e368ca242a5c94352f35b5e0b	67f154a1cf1ebc5d3abb0cbf808d89f70c6112873bc6a61377ea8c2e402c510d	0	26692	1.4249057671702107e-07	5.4793225888705466e-11	2.0739723529285146e-09	1.4472171329696415e-07	4.3846470451986289e-08	1	35521
