STEP	TIME_START_RAW	TIME_END_RAW	STEP_RAW	STEP_BITS	CENTER_X_RAW	CENTER_Y_RAW	CENTER_W_RAW	CENTER_ELL_RAW	RADIUS_RAW	LOCAL_RADIUS_RAW	MU_RAW	MU_H_RAW	AMPLIFICATION_RAW	PICARD_ITERATIONS	CONTRACTION_RAW	BEFORE_SIGN	AFTER_SIGN	EVENT_INDEX
1	0	24519928653854221733733552434404946937899825954937634816	24519928653854221733733552434404946937899825954937634816	8	96665594445035806791104123478654913675306292827517616489080	69698913077922921981755521184761485454832395327522988644198	3566690096132416309892889543152173584573030820937684119496	-197881042976928449206067812239191414117850624903160717169	136	134	160427007261773372180468987992766621638385480342201394714060	626667997116302235079956984346744615774943282586724198102	6936118600287027663674296700657539872524923705320991201159	65	993803277169725188626585812587231166300973243472494115834	0	1	0
2	24519928653854221733733552434404946937899825954937634816	49039857307708443467467104868809893875799651909875269632	24519928653854221733733552434404946937899825954937634816	8	98539935416885329605116647643201530768246101341266843228633	70783858970546147997249904992926521729243135447403890284261	7264319714217010533793261070488109892692437719211735946990	-399817754368858908477977061373165671255965828743183808196	395	244	163400363075801270175319843195415092334184398571084868869613	638282668264848711622343137482090204430407806918300269022	6948964546984434341156093765158953493117303364053467229985	66	1007966389510032873705669837875465575758569225038219656103	1	1	0
3	49039857307708443467467104868809893875799651909875269632	73559785961562665201200657303214840813699477864812904448	24519928653854221733733552434404946937899825954937634816	8	100456430054726737774585445088064952085853947054093955963103	71886265879174406795234664771086345766681329193238512173660	11097813390024594792247588703419922265904083220801299954065	-605976919975019396516427659556521832041484343561409967235	908	469	166433740152038739583877504082811520885995776700391705515565	650131797468901326499521500323482503460921002735905099671	6962094323426096147219451243080710372692902546011709808825	66	1022313155568930638881761457756588113811644847660554290588	1	1	0
4	73559785961562665201200657303214840813699477864812904448	98079714615416886934934209737619787751599303819750539264	24519928653854221733733552434404946937899825954937634816	8	102415558033428166937982005955770876645933506130810837259383	73005206809666102401471066515001683395221240634441203448331	15072195774326131263231041293261561351309208116623971988043	-816529595580265730318819819882970174061081508575312095131	1926	916	169526662770791125959543976125660811496751440015149316941228	662213526448402835779468656740862544909185312559177019302	6975507382633250269247700440761745022629098606918346627694	67	1036822989581571605254526719871681664014374774790758805964	1	1	0
5	98079714615416886934934209737619787751599303819750539264	122599643269271108668667762172024734689499129774688174080	24519928653854221733733552434404946937899825954937634816	8	104417652004156752549922435433641188960812870236506581505742	74139585871262141286232569928817685203148004374031309319470	19192574849365774292110005906890382619266197694734118268572	-1031651196810659601371034368347082297091438795342365827662	3952	1807	172678330361984088311458065010919528191979300092547164041771	674524727976500344966633066448904406999919140986512359539	6989201783406205359882115971529136676318270261701199921124	67	1051472435753477814823164814006992424795631434322205268918	1	1	0
6	122599643269271108668667762172024734689499129774688174080	147119571923125330402401314606429681627398955729625808896	24519928653854221733733552434404946937899825954937634816	8	106462875355369983396520762993356297335947178326274239203127	75288118910760820881120329099199843463909748822475940965081	23464121352274467196113615466802844063841003851598241700666	-1251521562374382552890310108447257766555561158650909253503	7976	3566	175887574494188590694403530835119333227999784185266584786495	687060837867924182400013792324684895421874156973697596823	7003173988207717645799999875073148208109185907685915733828	68	1066234856043325848489663708688117141430959853269241306111	1	1	0
7	147119571923125330402401314606429681627398955729625808896	171639500576979552136134867040834628565298781684563443712	24519928653854221733733552434404946937899825954937634816	8	108551197615203712336189054743421175951104289806005644906201	76449312612733569279855797182941720389786361620003961080353	27892043888083959448317122579455883052664641143768026077382	-1476324985789637153046364801863218174373372579412074751159	15949	7032	179152811823702658369763170651403672106614294772932531562910	699815671186338509256887385357045594166462088956767701418	7017418640278833339465037396134410886961417542693749399927	67	1081080095154205710065143209277629650605793639426633271092	1	1	0
8	171639500576979552136134867040834628565298781684563443712	196159429230833773869868419475239575503198607639501078528	24519928653854221733733552434404946937899825954937634816	8	110682367369552222365416787056037524384813024432247364788876	77621442058419731362231410135541127781534624028763839364617	32481559172475153406319011622199447614089136549722139356281	-1706250210089587471162825874665673588708642044846127597350	31650	13783	182471992870499056941306795962547735287200829204277446393651	712781222150386941176979671728702090965628239079208774976	7031928319022940501835959636660262151212759384377787226456	69	1095974123073397985391167004720000826922965355572418914872	1	1	0
9	196159429230833773869868419475239575503198607639501078528	220679357884687995603601971909644522441098433594438713344	24519928653854221733733552434404946937899825954937634816	8	112855882592765050758034120572875477035955422128523866756414	78802526769521598207189926891590297438218895785667145792808	37237856804842224526984654290643264308773365601708940078001	-1941490379345375408146559336123063238816500489834631738159	62315	26784	185842546549508687714712870583792453661564033730522472163713	725947447459018311385597150717939272115484506759853406890	7046693272959521711873225341522540141152132394459865829499	70	1110878656135558976942749756322939684202122084802079152982	1	1	0
10	220679357884687995603601971909644522441098433594438713344	245199286538542217337335524344049469378998259549376348160	24519928653854221733733552434404946937899825954937634816	8	115070958320591428370800637767815922777266701019698749624634	79990305306272955841896556186568919323089928279698030015801	42166057938092326326476074666296887368269900919588844505332	-2182242940168755017220731507737937741379993349027645965369	121623	51519	189261320468876984435431538383278166358088186648110047290259	739302033081550720450904446809680337336281979094179872228	7061701129923223686939122599337099901116291374659824055452	70	1125750758389188538889517675537154021286962621710358552364	1	1	0
