CASE_INDEX	CASE_ID	A_LO_RAW	A_HI_RAW	B_LO_RAW	B_HI_RAW	DIVISOR	STATUS	MUL_LO_RAW	MUL_HI_RAW
1	zero	0	0	0	0	2	1	0	0
2	one_exact	79228162514264337593543950336	79228162514264337593543950336	79228162514264337593543950336	79228162514264337593543950336	3	1	79228162514264337593543950336	79228162514264337593543950336
3	minus_one_exact	-79228162514264337593543950336	-79228162514264337593543950336	-79228162514264337593543950336	-79228162514264337593543950336	6	1	79228162514264337593543950336	79228162514264337593543950336
4	mixed_unit	-79228162514264337593543950336	-79228162514264337593543950336	79228162514264337593543950336	79228162514264337593543950336	41	1	-79228162514264337593543950336	-79228162514264337593543950336
5	zero_crossing_a	-79228162514264337593543950336	79228162514264337593543950336	79228162514264337593543950336	79228162514264337593543950336	2	1	-79228162514264337593543950336	79228162514264337593543950336
6	zero_crossing_b	79228162514264337593543950336	79228162514264337593543950336	-79228162514264337593543950336	79228162514264337593543950336	3	1	-79228162514264337593543950336	79228162514264337593543950336
7	both_cross_zero	-79228162514264337593543950336	79228162514264337593543950336	-79228162514264337593543950336	79228162514264337593543950336	6	1	-79228162514264337593543950336	79228162514264337593543950336
8	ulp_above_one	79228162514264337593543950337	79228162514264337593543950337	79228162514264337593543950337	79228162514264337593543950337	41	1	79228162514264337593543950338	79228162514264337593543950339
9	ulp_below_one	79228162514264337593543950335	79228162514264337593543950335	79228162514264337593543950335	79228162514264337593543950335	2	1	79228162514264337593543950334	79228162514264337593543950335
10	negative_ulp_boundary	-79228162514264337593543950337	-79228162514264337593543950335	79228162514264337593543950335	79228162514264337593543950337	3	1	-79228162514264337593543950339	-79228162514264337593543950334
11	target23_xy	1203194252951512397352446086876	1203194252951512397352446086877	864263833028750632420116063218	864263833028750632420116063219	6	1	13125096480015139266175431768994	13125096480015139266175431769021
12	target23_yx	864263833028750632420116063218	864263833028750632420116063219	1203194252951512397352446086876	1203194252951512397352446086877	41	1	13125096480015139266175431768994	13125096480015139266175431769021
13	narrow_positive	1346878762742493739090247155713	1346878762742493739090247155715	1822247737828079764651510857726	1822247737828079764651510857730	2	1	30978211543077355999075684581364	30978211543077355999075684581480
14	narrow_negative	-1822247737828079764651510857730	-1822247737828079764651510857726	1346878762742493739090247155713	1346878762742493739090247155715	3	1	-30978211543077355999075684581480	-30978211543077355999075684581364
15	wide_sign_mix	-2456073037942194465399862460416	2297616712913665790212774559744	-554597137599850363154807652352	871509787656907713528983453696	6	1	-27016803417364139119398487064576	25273783842050323692340520157184
16	domain_positive_edge	2596148429267413814265248164610030	2596148429267413814265248164610047	1	79228162514264337593543950337	41	1	32767	2596148429267413814265248164642815
17	domain_negative_edge	-2596148429267413814265248164610047	-2596148429267413814265248164610030	79228162514264337593543950335	79228162514264337593543950337	2	1	-2596148429267413814265248164642815	-2596148429267413814265248164577262
18	rounding_remainder_one	79228162514264337593543950337	79228162514264337593543950337	1	1	3	1	1	2
19	rounding_remainder_minus_one	-79228162514264337593543950337	-79228162514264337593543950337	1	1	6	1	-2	-1
20	division_negative_remainder	-17	-1	79228162514264337593543950336	79228162514264337593543950336	41	1	-17	-1
21	seeded_020	-19887241233994581945868227874735	-19887241233994581944881175876517	-18064254859607926169707969122344	-18064253042675129010516828187368	2	1	4534349233543330327410596715222432	4534349689615763366276531349608231
22	seeded_021	10502351468830445018171411820954	10502351468830445019917928326528	-342451318638883475665389862010	-342451318638883475665385651508	3	1	-45394768667801355602624104742401	-45394768667801355595074502662173
23	seeded_022	5314908747958537426423212457932	5314908747958537435106297100510	-16028768303190991306830931070051	-16028768303190991306830913407999	6	1	-1075267154634469131712792013483324	-1075267154634469129956102960647907
24	seeded_023	-8087531824805817094902824275973	-8087531824805817079478859686633	-788048298867122787901707742183	-788048298867122787901685368629	41	1	80443184523236579316258592264167	80443184523236579469676387370267
25	seeded_024	-14201896912361145918252067389666	-14201896912361145892123261657804	-4446729126634307909139209568184	-4446729126634307909135257982378	2	1	797090158973258900020404430719699	797090158973258901487607983312109
26	seeded_025	-2006348269335301364413576376648	-2006348269335301296698283961920	-13744699176275920034255988787549	-13744699176275920034242344444863	3	1	348066300286726935909841193766412	348066300286726947657604484499745
27	seeded_026	-9457588592745897350125001307861	-9457588592745897313307003317327	-4598615153501691334126384491655	-4598615153501691334122855867091	6	1	548943820454698788797225553820709	548943820454698790934662172141877
28	seeded_027	141349812611546390346969061005	141349812611546454535752498947	12640388245827870879391835147583	12640388245827870880469932845261	41	1	22551532853778862530156519731815	22551532853778872773023536171694
29	seeded_028	-3690818559260082582527503148323	-3690818559260082034176642350497	-12840782590888708645843773047428	-12840782590888708643291634413114	2	1	598183741713599784496967735170795	598183741713599873488980725494539
30	seeded_029	5337677734327013470766388639191	5337677734327014344417408610855	5026620150704434010262486719547	5026620150704434146455159405057	3	1	338648248373852686449588825481739	338648248373852751053692414574156
31	seeded_030	1009277025298584755832914989576	1009277025298584764532607086130	2491244548177259028286354136333	2491244548177259293776782887159	6	1	31735632975496219887133518663110	31735632975496223542733263628745
32	seeded_031	5635360973585012086659342298321	5635360973585014432643722282521	5019912441535952042732680823030	5019912441535955887297570771482	41	1	357057613935604873137916935214665	357057613935605295237156103375335
33	seeded_032	-1018998793051880931780538821820	-1018998793051872737332656958110	3248367282583482227719786688688	3248367282583509408482825335952	2	1	-41779112821730062977114660414228	-41779112821729377416079225403916
34	seeded_033	-16944670550660807216349343892669	-16944670550660795576707038023219	11278065443529236939393689065077	11278065443529513365421896085999	3	1	-2412060274084905328517710068187978	-2412060274084844551888864314383052
35	seeded_034	8836997123418884179764835624386	8836997123418895452134707208738	9938996304893108557274259109430	9938996304894514065546395337566	6	1	1108581582214507846491168498178381	1108581582214666028988434593512371
36	seeded_035	15932625780136781447082095268153	15932625780136819723133845240885	-13549080765570131307989447690529	-13549080765562081241433727091613	41	1	-2724693172882971363849238497002513	-2724693172881345965768968072756769
37	seeded_036	11767682523651059077627256239523	11767682523651152415912612499431	1449926106275992250878951945398	1449926106323706750909936712982	2	1	215356125397171866797094493556340	215356125404260563592945455455742
38	seeded_037	14490936268592057935700342422394	14490936268592318294688916946936	8128324060486838234398179983997	8128324062779947290292512158039	3	1	1486681278387235915291206024458836	1486681278806675321855063122020238
39	seeded_038	3504750543373020550402026409985	3504750543373153020299261216941	-9178966901285993291297963156077	-9178966898905485021460030005529	6	1	-406042349260521427103461527532184	-406042349155201508980681873025103
40	seeded_039	6442039282816329570134350733895	6442039282817192584963327394573	-12952656911587224385270028636054	-12952656875739824917567868057312	41	1	-1053180106584897750920947053588180	-1053180103670005791244905787690506
41	seeded_040	-442000243401471537756488382913	-442000243400059872321744986025	-13027582440400138401877107713460	-13027582187175989899196863468972	2	1	72678632381627673588222024637063	72678633794553611894976329991560
42	seeded_041	-17058612388509295128395802617578	-17058612388505304172931515157510	3412180188605061207652809583213	3412180188605061207652810788723	3	1	-734676375041319536699329843807834	-734676375041147655151951844563894
43	seeded_042	-10715016362777236646412395480692	-10715016362775447203626001772910	-9450440711941115565775532848386	-9450440711941115565775524337732	6	1	1278101418111988016687740605600128	1278101418112201463805831612133364
44	seeded_043	14334230261558611997298343636567	14334230261563092474497462298819	2159718146365258523450162508139	2159718146365258523450233353091	41	1	390743597069949233924850957530335	390743597070071369382814982494429
45	seeded_044	-1870024355462748017907488575721	-1870024355455217301118108996009	2196142777267721483523192462833	2196142777267721483523343223055	2	1	-51835614398161001697139350762108	-51835614397952256110215647505319
46	seeded_045	15239273813199766550734790728202	15239273813209855712049167505216	5590423436058678473047425501521	5590423436058678473055421349169	3	1	1075299372978501743270587104723948	1075299372979213645228098294212341
47	seeded_046	-730745285896197589562208885287	-730745285893241251967243260911	5305822517324545189935011896952	5305822517324545189938673825898	6	1	-48937204515360945760882087057720	-48937204515162963098087988474703
48	seeded_047	-7163466817964897233454455296013	-7163466817748461768447346327485	-16874377269568203932417466247211	-16874377269568203931594547197861	41	1	1525708003375157223993173671140182	1525708003421254641641623970116261
49	seeded_048	-4011640717014734066563935346520	-4011640716876971831759547124864	3372678360778670172503537309413	3372678360778670179007672149799	2	1	-170772278544996786337216351442057	-170772278539132359855460317697414
50	seeded_049	-5098008575131868196414632039278	-5098008575110955560895217247540	9792000105673964391706227370806	9792000105673964395266955999006	3	1	-630075202077675657854444786703324	-630075202075091014454040446943800
51	seeded_050	-9901998143392037836271453517482	-9901998142101524951930752869806	7791585345180528503459604280857	7791585345180528796346562858307	6	1	-973798472331951611822504474175539	-973798472205037849613877752314991
52	seeded_051	12084359883985318028076952720412	12084359888261923984533567494372	-9345963919463498484108057114374	-9345963919463496998533064019274	41	1	-1425503102955013479826725717728888	-1425503102450533486215451627958223
