LAYER	ATTEMPT_INDEX	LEAF_ID	PARENT_DEPTH4_CELL_INDEX	CARRIER	LEGACY_CERTIFICATE_PASS	STRUCTURAL_PASS	HOMOGENEOUS_COMPUTATION_VALID	PROBE_PASS	LIOUVILLE_LOWER	LIOUVILLE_UPPER	JOINT_LOWER	JOINT_UPPER	JOINT_EQUALS_LIOUVILLE	EPISTEMIC_CERTIFICATE_PASS	STDOUT_SHA256
D4	1	U07-0000000096_S08-0000000160	1	C0HORect2Set	false	true	true	true	-0x1.f43cd7622f354p-36	-0x1.f3df96bc115e3p-36	-0x1.f43cd7622f354p-36	-0x1.f3df96bc115e3p-36	true	true	13476d873223e13c4378cfbfa84daa482c310dc7cb8d38a27f97dce47b9d2fe3
D4	2	U07-0000000096_S08-0000000160	1	C0Rect2Set	false	true	true	true	-0x1.f43ceb2bc3857p-36	-0x1.f3df82f5c89ebp-36	-0x1.f43ceb2bc3857p-36	-0x1.f3df82f5c89ebp-36	true	true	76aaf79612a6bcd51de3b00663ef99bb57ad3f762ed371cbfc8db3b84c93923e
D4	3	U07-0000000096_S08-0000000161	2	C0HORect2Set	false	true	true	true	-0x1.f4208fde8c188p-36	-0x1.f3c35318cb89p-36	-0x1.f4208fde8c188p-36	-0x1.f3c35318cb89p-36	true	true	53f5ec0479c630e3972b950f331138adfd638da9903c590341c4eb75651513e0
D4	4	U07-0000000096_S08-0000000161	2	C0Rect2Set	false	true	true	true	-0x1.f420a3a7aca87p-36	-0x1.f3c33f52f5fep-36	-0x1.f420a3a7aca87p-36	-0x1.f3c33f52f5fep-36	true	true	0979f31ae85e1a2190e7c0aff06ca419aa53b28399d1f484a3e989126bf1fb60
D4	5	U07-0000000096_S08-0000000162	3	C0HORect2Set	false	true	true	true	-0x1.f404494e96a36p-36	-0x1.f3a71017aa6b6p-36	-0x1.f404494e96a36p-36	-0x1.f3a71017aa6b6p-36	true	true	993a54b4aec6437420e73099e4493354fac303187aca1bc3694639624126a8c7
D4	6	U07-0000000096_S08-0000000162	3	C0Rect2Set	false	true	true	true	-0x1.f4045d0a2b9fdp-36	-0x1.f3a6fc5fda053p-36	-0x1.f4045d0a2b9fdp-36	-0x1.f3a6fc5fda053p-36	true	true	a9bb094ad10583fffe8eb857173098f7cdaae6c487bd3294862da66a620c2833
D4	7	U07-0000000096_S08-0000000163	4	C0HORect2Set	false	true	true	true	-0x1.f3e80363b3bf1p-36	-0x1.f38ace0cf3e2ep-36	-0x1.f3e80363b3bf1p-36	-0x1.f38ace0cf3e2ep-36	true	true	d2cb10eec437700630184bdbd5fd576910631086e7a7552b9cd557c2b66d10ce
D4	8	U07-0000000096_S08-0000000163	4	C0Rect2Set	false	true	true	true	-0x1.f3e8172d6033ap-36	-0x1.f38aba4690ce9p-36	-0x1.f3e8172d6033ap-36	-0x1.f38aba4690ce9p-36	true	true	05ba502cf6af364ff4cde70ec270d961722c320f8f67e0d050b3612fe5b7c7f6
D4	9	U07-0000000096_S08-0000000164	5	C0HORect2Set	false	true	true	true	-0x1.f3cbbe44b5e56p-36	-0x1.f36e8ccef3975p-36	-0x1.f3cbbe44b5e56p-36	-0x1.f36e8ccef3975p-36	true	true	41ccb8d92b52db4370e0f6dffce4c34a5e4cf0493b119a864bba4ece7c5fbf02
D4	10	U07-0000000096_S08-0000000164	5	C0Rect2Set	false	true	true	true	-0x1.f3cbd20e2ba7ep-36	-0x1.f36e7908c7f88p-36	-0x1.f3cbd20e2ba7ep-36	-0x1.f36e7908c7f88p-36	true	true	87196bafe5f9c65a852e418c07cb77c7fcdcd1021d84d7fdb84c6c31d83aade0
