MUTATION_ID	TARGET	OUTCOME	FAILURE_SIGNATURE_SHA256
M01	summary_cover_verdict	rejected	6800a1418206317edbd58abbc63d4c516195115f0efb9adb21b1e0c5629464fb
M02	summary_attempt_count	rejected	2d73a534a0421547ae3c4029a818d5c12fc7decdc9904be386ab0f1392095537
M03	summary_depth4_archive_hash	rejected	0007fc51a3e39a6ec1eb7ff297bdd44e8ac989d142574eda5e99672383f2b49b
M04	certificate_verdict	rejected	1b7f117002b8c85f6266edf7d0456ab9d11484e5ee23e32e4a9b86037a8dc6ef
M05	certificate_joint_upper	rejected	b45eccf85f8bd3cbd0b12217f2857761d2da73dd9e767e43a44f2e4369f479fd
M06	certificate_carrier	rejected	cdcf4f5cecb649d0262f46b2b600aaf7de59877275d383032a1def99dfd020ee
M07	certificate_leaf_identity	rejected	ae60eff0d94837d8f84e36c27dc57c7f9e4c23c6c5bd1a85b994d8955defaecf
M08	certificate_row_deleted	rejected	8953b43c140209f255aea7e4c2cd59e344d3693fb94264e9e493aff9ca15cecf
M09	leaf_pair_verdict	rejected	25e64c2c035a5f8894d65173475ea058be9c26ebb5d9c768ce0181f9e91b4398
M10	leaf_certified_attempt_count	rejected	b3774068a931dedb042b3b5aef90e85280de9c88e641979fbda069782fe28afc
M11	leaf_row_deleted	rejected	b82e2cc6a20204960b8bb314421e60d502192a19bc57cee732430e355d0beab0
M12	forbidden_v7b_promotion	rejected	4eeaa35f538f3c75488211b990820ca242cfedf078ef7b604ac4acfc7cce5911
M13	false_prospective_replay	rejected	2bb3c2034b01355a4adf30489930fd4a3b6235e7c21d577f79b467d1d7b4ffd8
M14	certificate_stdout_hash	rejected	dad68e23f7fd21939c91d50a94122695d6a6401015722f61ba4c4d1d8ae94b33
