MUTATION_ID	TARGET	OUTCOME	FAILURE_SIGNATURE_SHA256
M01	summary_completion	rejected	65a26d4ed92edf22e8d48321f3c7a745e5287a1649c989e4d9ef9cb96196664a
M02	challenge	rejected	053c69e09a71bb9bf4dbcbb8adbfc7f0d59de94e6cc58de8c5862a74c8c0260f
M03	attempt_binding	rejected	488c2200d51fb06f577cf69ed5d259fbc4bc72b622d39484aa1757ffa543635f
M04	picard_accounting	rejected	9517c86d179ebc5fff0645bdaf60bc3bb61cd7c91158191c69a5794234e8d428
M05	determinant_upper	rejected	a598462064060e2a2e5ed42c694417a9f478409c666cf4014d29ff55eb16ef83
M06	determinant_lower	rejected	5ea3c7ae161b7e2f3d5f29d1c17f16985fab16694de17a08b9428542a15cdfe2
M07	initial_normal	rejected	8295622835404dfb2ba967297484b3254f3ac871f83b737c64551fdf01ce586d
M08	validated_certificate	rejected	671213f2c6c117e7fe6f959308280de0d800084f31c3535c7c4f760c6a4a8f4d
M09	forbidden_leaf_wide_claim	rejected	ffc039e38262959527c058f5f00b7a41f412f692abd8f0e4aadee0a3f9bc221d
M10	forbidden_open_problem_claim	rejected	10013b8879ef7c192c9d81d47216e71adf165c7e71ec7181eb2d6b39674e2d35
M11	unexpected_worker_field	rejected	8df01affd7c8abc7172cf9c731448cd57a7eaeed2af91b612e6e8fe280cc0f69
M12	worker_source_identity	rejected	cae0f9a9d4aaacc721683cada2e46b991d2be0c42b1f57543f0675d15b578130
M13	wheel_identity	rejected	32409a71a86902210bd7bb9bb89463c0eff9830e8684a2f9a2ad78a6702026a9
M14	slurm_identity	rejected	28917df62181e0a10228bf499201c5ebe93c3575b7a0cd9d562fc20af53449e9
