MUTATION_ID	TARGET	OUTCOME	FAILURE_SIGNATURE_SHA256
M01	summary_orbit_count	rejected	5987c1b31588e6f81e260b2b8da97923263250e4de7c099082b2f1a93a3b0b48
M02	summary_all_pass	rejected	27895c16fc93fc4411ce2c12b91b899806b3a9b1050a6f231dd081862a7f4e55
M03	result_challenge	rejected	6ab76e82afaf64ede7464f677c8c57a2577da105ed87f145b74d10b5ba4a0130
M04	result_binding	rejected	5d21c9cf4b91f0482f4c8b88c8d12d0a8abed6b280f805f0ac7fe948eeea9e31
M05	result_determinant	rejected	317c9fcfe158753754931b52350916d5550eb694ed030e9abf9bce7ffe8af1d8
M06	result_resolution_delta	rejected	863795127f03b4f822ec2f1cd9477ac1c6f71fbd6f0b2cc20bf714409b4e80bb
M07	result_containment	rejected	7827ad9a4d5f7726a9b35edd5d81acb770f14ed699344c20d85b811eb22f5041
M08	result_row_deleted	rejected	9c3fe055ef73eab3b90b3a7b31d5d9de303189007e444cc5b83b12988072435c
M09	raw_stdout	rejected	c3b84c8dc5321584ae4697b556659aa7dcfe55442c461740d38bef0707847447
M10	slurm_job_identity	rejected	cff30e149ab78a652faf1317f092467f03f3b574327ba2ab7d7dacf917ba5466
M11	runtime_independence	rejected	7c7ac618d7be564996393d1f4402a38fe97e1d52ed96e482c9dcf71b8b465b17
M12	source_commit	rejected	2a0050dc5248cf4d9b0ac6cd8784485b1022af6abd7fe6285b8141fb3725d799
M13	forbidden_interval_claim	rejected	d0ce8765a066491bbf93149e35b1d8c0b703cdd78d467e268a49ae643d72e211
M14	forbidden_open_problem_claim	rejected	f76bde49c03586dd32e92fdf48dd7b263d3b4a8114d00012da6d8e0d3dae8854
