LEAF_INDEX	LAYER	LEAF_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	INPUT_SHA256	RUN_CHALLENGE	ATTEMPT_BINDING	WORKER_RC	ELAPSED_MS	STDOUT_SHA256	STDERR_SHA256	COARSE_RETURN1_TIME	COARSE_RETURN2_TIME	FINE_RETURN1_TIME	FINE_RETURN2_TIME	COARSE_ELL	FINE_ELL	COARSE_INITIAL_NORMAL	COARSE_FINAL_NORMAL	FINE_INITIAL_NORMAL	FINE_FINAL_NORMAL	Q0_AREA	COARSE_DETERMINANT	FINE_DETERMINANT	ABSOLUTE_DETERMINANT_DELTA	C0HORECT2_LOWER	C0HORECT2_UPPER	C0RECT2_LOWER	C0RECT2_UPPER	COARSE_INSIDE_BOTH_CAPD	FINE_INSIDE_BOTH_CAPD	CENTER_REPLAY_SELF_CONSISTENT	POINTWISE_LEAF_PASS
1	D4	U07-0000000096_S08-0000000160	7	96	8	160	a53f767d8dcaaabc7de2abb33da363b4ab2d3cd3ce2c251bcd7d5c98d61efbb3	be0d11e923db0eb0e595ad8e8e212c990983a0717dbbf78a6e5671bdd0be7084	74659f786dd6e39c1586bad5dcb90b6e9634eb6023028da9e47eca83d74c3eef	0	989	725e91e451ece22c167e000d5dba4388d607e04d4a68129bfeb624a358696876	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2.4073408634227824870466250217759807128459215164185	6.5849701402527738777759047650306456489488482475281	2.40734086840277376750929505533349583856761455535888671875	6.5849701443348874936589698592115382780320942401885986328125	-18.444955347133498042498437862178799679733529371762	-18.444955300024302198644066922064463197818771794050079898111189426926456651133758	142.90176320856957014154510072200094962759621093750	54.304514931224149026080019962730196627290503962684	142.9017632085695701415451007220009496275962109375000000	54.304514299341166545977562806520429802732942281081658086481006378879094642147712	-0.00110672328822399115894163718122121252	-2.8424862406723521026865124853477672910813623861836E-11	-2.8424864076545402268941014100732466041788101574782324854507418474122672880197822E-11	1.669821881242075889247254793130974477712946324854507418474122672880197822E-18	-0x1.f43cd7622f354p-36	-0x1.f3df96bc115e3p-36	-0x1.f43ceb2bc3857p-36	-0x1.f3df82f5c89ebp-36	true	true	true	true
2	D4	U07-0000000096_S08-0000000161	7	96	8	161	187b000fa5ae3f9996ed10a3fcd678f2ddf8e3cc31d4c80020b42ddaac747d23	0df25b39c8eaaa3448c72e35eec7a185f7e33cffa31f8a164d226f692f048cc1	ebc3bc598b1f4f542b619e0803ac1bbf7c24c95a48c2a848a0f3a1ad9cbe39ef	0	983	52cc4216540d92f16adabfd584a73e57fd6cef0a8808cb2e52e2f49d6e3054df	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2.4073436293113385578412710685825004475191235542297	6.5849728608407178120920377750735497102141380310059	2.4073436342910671491279739342417087755165994167327880859375	6.58497286492260304469059661869323463179171085357666015625	-18.445091040168467014605839386845379869483599407765	-18.445090993059093562924741431587302491797903152986972589105875858249200146525533	142.88954914243360356222115889276272681067290771484	54.304498895643585348643120194167213243242262382621	142.8895491424336035622211588927627268106729077148437500	54.304498263747101761889335994420437463755885028792386211639102763151721156732221	-0.00110672328822399115894163718122121252	-2.8418584810719914234549460455245366323398472797737E-11	-2.8418586480185227759097332009963804726723866006063765467675855020513044675720735E-11	1.669465313524547871554718438403325393208326765467675855020513044675720735E-18	-0x1.f4208fde8c188p-36	-0x1.f3c35318cb89p-36	-0x1.f420a3a7aca87p-36	-0x1.f3c33f52f5fep-36	true	true	true	true
3	D4	U07-0000000096_S08-0000000162	7	96	8	162	bbde9977d55ecd43ed766e9557aa3d62e2a29ac2df083876c77b03788ffd7330	1e005d458e43e1fe5fbb6f0bc958bdf650e1c369166027b29083ac7b10cf612c	b30986bdc962e4834af971a2c04d45c05e8250a7c7c602581744608331a9342a	0	974	9c4c85af5edbe0326047fa96072cf6ade55ebb2c7d3c78446e56d73d17907c03	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2.4073463933989818000491744953706074738875031471252	6.5849755798641809792504098197696293937042355537415	2.407346398378447847876682175183304934762418270111083984375	6.5849755839458379742812343948799025383777916431427001953125	-18.445226737329415320135015863289600046206134839950	-18.445226690219864491236702915517066708466404270926714067065730236915301149388108	142.87733159551905931880482360045742862516732910156	54.304482242807187494430707775752096850819899366286	142.8773315955190593188048236004574286251673291015625000	54.304481610897221291332772742324481418080616480785866157679459905811294972589745	-0.00110672328822399115894163718122121252	-2.8412307907059864138332923127407667349959138612649E-11	-2.8412309576168632759129445404456800434913509888737239709879169233321299974917665E-11	1.669108768620796522277049133084954371276088239709879169233321299974917665E-18	-0x1.f404494e96a36p-36	-0x1.f3a71017aa6b6p-36	-0x1.f4045d0a2b9fdp-36	-0x1.f3a6fc5fda053p-36	true	true	true	true
4	D4	U07-0000000096_S08-0000000163	7	96	8	163	8b598bc82c9b9b0777a34af1d18e4724d553837f707f62bdb3c57dddbd32a10f	d635e54a5b92b551ca724b65efa96ad5f4177e961f3616cbbd53055bf7578c0a	d175cbb4ce754e96f9d5f480278d47f94a322ef000fafca35bf042105e486b96	0	977	b5945b139ecfc274e09a85a3e41d60030afa0fe0757364f73f30e7904a9ccfef	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2.4073491556854656747699294783160439692437648773193	6.5849782973229420354743801624408661155030131340027	2.4073491606646693248550139543340264935977756977081298828125	6.5849783014043709351847954991399092250503599643707275390625	-18.445362438617930240594404874238501432639164296770	-18.445362391508202238812396133521385586902632157473245020231663974647994862696311	142.86511056782593741129609484508505507107947509766	54.304464972643463338236661284431425854806744725164	142.8651105678259374112960948450850550710794750976562500	54.304464340720032635989306940786658678080333235754080846306642561690710917247730	-0.00110672328822399115894163718122121252	-2.8406031695676656315139712413838850341950887745227E-11	-2.8406033364428903793435822484445480872027769363666615038403969396268098149843905E-11	1.668752247478296110070606630530076881618439615038403969396268098149843905E-18	-0x1.f3e80363b3bf1p-36	-0x1.f38ace0cf3e2ep-36	-0x1.f3e8172d6033ap-36	-0x1.f38aba4690ce9p-36	true	true	true	true
5	D4	U07-0000000096_S08-0000000164	7	96	8	164	e5ee05013dc9946bf1996eef21fd519b85ef7b877a5a06570a3123a3faae2933	f2c1451ec085bed6c2983508686f6bf724c89fe0444645d07157af06cbcb1c52	24c1c702a0eb0b0ce84c441d55d275c2ee1b3bae79e842aa033d5c870ce512f9	0	982	97251d3b13cdbd0da69b2cb86b095c62a518a6cd82c290680c5e28c4f27092ff	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2.4073519161705436639198119053162372438237071037292	6.5849810132167797410707166250176669564098119735718	2.407351921149485061979245159591300762258470058441162109375	6.5849810172979806842386008014500475837849080562591552734375	-18.445498144035599744887739666792113787143684909138	-18.445498096925694748279449213905437747348554799092771966592480699680186158178283	142.85288605935423783969497262664560614840934570312	54.304447085080899676696056386258769557790649807793	142.8528860593542378396949726266456061484093457031250000	54.304446453144022219385672844222119254510635020758821885834188716438731732692644	-0.00110672328822399115894163718122121252	-2.8399756176503568583559889368441314133987042796905E-11	-2.8399757844899319627246817181464695100520364880266915652572711564927157275212731E-11	1.668395751043686927813023380966533322083361915652572711564927157275212731E-18	-0x1.f3cbbe44b5e56p-36	-0x1.f36e8ccef3975p-36	-0x1.f3cbd20e2ba7ep-36	-0x1.f36e7908c7f88p-36	true	true	true	true
6	D4	U07-0000000096_S08-0000000165	7	96	8	165	3ba4f893bdf8b31e860d1f8cd06db9c7e68fefee1ee4c0fb66332cdb9f7df0c0	77d56f0ab8ad4cbde66dfb4763b080981ff21acdb7e8f540d56a16ba9e8a8af9	7a15347583d46e4da7e895784d6bebed131fab50800a0578a8ff78e0db0cf03f	0	973	cf9cdfd51a9a2e05a8d2ad7a3ecc67cf9336a96a3de1ced7406ce4822989f5cc	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2.4073546748539692563539915681758429855108261108398	6.5849837275454729465518077802244079066440463066101	2.4073546798326485550434394866670118062756955623626708984375	6.584983731626446075424485826488307793624699115753173828125	-18.445633853584012385373412513011992503673091591015	-18.445633806473930597677962154998597279365028512274929834575072227337220119114765	142.84065807010396060400145694513908185715694091797	54.304428580047960684745087515833934077848865207975	142.8406580701039606040014569451390818571569409179687500	54.304427948097654610281920180729178399961528854679036507999622428375847144098431	-0.00110672328822399115894163718122121252	-2.8393481349473874774252412378871875185300021273621E-11	-2.8393483017513153160767537204170918437327592576293930168631449735063601303352692E-11	1.668039278386515124825299043252027571302672930168631449735063601303352692E-18	-0x1.f3af79f20cec9p-36	-0x1.f3524c5d3266bp-36	-0x1.f3af8dba99ae7p-36	-0x1.f3523897eeb96p-36	true	true	true	true
7	D4	U07-0000000096_S08-0000000166	7	96	8	166	404f5f8e96592aa19981fd1c044b7b7e3783bc3c9fa5e715ba25b5a72f681b6e	4f90ea3745136ff81d1add8828d569569db2e82b42ad70106c6052a76102dbd2	1e2081bc8a76479f4abeefb02833fbe303f69fce2176ac65798c5c4af8b77d7c	0	981	902e05e3d600f6bb04e340076ab5913be95cb9a98a1e4832fe30b51d318f2220	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2.4073574317354959686832138743284303927794098854065	6.5849864403088006065134507593938906211405992507935	2.4073574367139133102500014871338862576521933078765869140625	6.584986444389546063338247705587491509504616260528564453125	-18.445769567264757401755466823013919722091236330102	-18.445769520154499026414611047681114705964014499066611061637734932306196197244566	142.82842660007510570421554780056548219732226074219	54.304409457473089439794968953798302273694816445559	142.8284266000751057042155478005654821973222607421875000	54.304408825509372896449735228678475130679041313104858965226741804410666413176734	-0.00110672328822399115894163718122121252	-2.8387207214520840991977182905393870436256792266233E-11	-2.8387208882203670507053292117532342327367283821049716511299096149176794677327217E-11	1.667682829515076109212138471891110491554816716511299096149176794677327217E-18	-0x1.f393366bcf137p-36	-0x1.f3360cb78deccp-36	-0x1.f3934a341061p-36	-0x1.f335f8f294aa6p-36	true	true	true	true
8	D4	U07-0000000096_S08-0000000167	7	96	8	167	6a1ce978ba7ac7c806dde196c31b9ea30c3ee655378532b2ff72579c78ab3b39	6820fe8ba17a10fb36c7124c626bbfca34239e750bb2fb2b6a785dc0cf9d549f	dc7d2908e455dc31f3e54168f9a2504d902a4f2dc20b558e162bc6207b045e9d	0	990	5cd11870d6c03fe5b51d4dac99ea639e99cc509622c2880fc50cd741de7c6004	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2.4073601868148773244571181351147970417514443397522	6.5849891515065417796348512524673424195498228073120	2.407360191793032865026358280147178447805345058441162109375	6.5849891555870597066590921286888260510750114917755126953125	-18.445905285079424721058661119859592011554095327534	-18.445905237968989961216676138982358745040423277156776393586433691071977653210428	142.81619164926767314033724519292480716890530517578	54.304389717284707912035178874359494181234136817991	142.8161916492676731403372451929248071689053051757812500	54.304389085307599058441220247111978463543184360320176105763813564684090076063701	-0.00110672328822399115894163718122121252	-2.8380933771577725633460216464864881418832180294823E-11	-2.8380935438904130071121779580648430776502010665078897321871152507920150115814771E-11	1.667326404437661563115783549357669830370255897321871152507920150115814771E-18	-0x1.f376f3b213b1bp-36	-0x1.f319cddde217dp-36	-0x1.f3770779d59cap-36	-0x1.f319ba1969ba3p-36	true	true	true	true
9	D4	U07-0000000096_S08-0000000168	7	96	8	168	af91626caa1486fb162f5f05ef97bf71b7bea08b0751648de308a60567b98296	1e0e1eae16414c8a6b48db6b29d5ef9794ab0be89680809d0776322965269726	d5f66b6d41672697de2482415dec6610a3fcd192e886cd32d858f75cbf7d5eb8	0	983	8dd3b204d4d4458df84c2ad1874509a7744c57066d6ada3abe602a29aa4bff4d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2.4073629400918668819198131814118823967874050140381	6.5849918611384756286786235079944162862375378608704	2.407362945069760763738830888769371085800230503082275390625	6.584991865218766164680186392388350213877856731414794921875	-18.446041007029604957603458981150223934492642828353	-18.446040959918993990128071960670507127745314013124224100612573619350941625834779	142.80395321768166291236654912221705677190607421875	54.304369359411216954730153674035350885642553991362	142.8039532176816629123665491222170567719060742187500000	54.304368727420733576423482832364412582247996551072464106310319868137306894546651	-0.00110672328822399115894163718122121252	-2.8374661020577779405249943922941866310622663827518E-11	-2.8374662687547783505317006676718148675615019842891103324762699678231614014900223E-11	1.666970004100067062753776282364992356015373103324762699678231614014900223E-18	-0x1.f35ab1bcf80eep-36	-0x1.f2fd8fd84657fp-36	-0x1.f35ac5843cc65p-36	-0x1.f2fd7c144a64bp-36	true	true	true	true
10	D4	U07-0000000096_S08-0000000169	7	96	8	169	50dc2c6e570a950d4933c2f2e89fdbb8d7e111800c3258b56eddde95d7524b4c	de3a228a58c3ed67c6b5d625fc014239774a3b5b10f3ce50bf07883a946d31f1	13f5ee74afb6687adac4d12500f10821b9befa13e576c0b1eb9b67ceeb948c43	0	983	cdc1c37624ee11a58436534efac908a9a8ff04e9e997abfcefed195e416cf0c1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2.4073656915662182062543017480038542998954653739929	6.5849945692043814066130025253187341149896383285522	2.4073656965438505715704220477846320136450231075286865234375	6.5849945732844446973086593999369142693467438220977783203125	-18.446176733116889309065103713345534329106220300584	-18.446176686006102362484266390837192062914725917664244536837167816023776113096419	142.79171130531707502030345958844223100632456787109	54.304348383780994760663344669655589678480018784896	142.7917113053170750203034595884422310063245678710937500	54.304347751777155420471947069944559751248956851489535385206989069944444361428051	-0.00110672328822399115894163718122121252	-2.8368388961454249090765115459656771121540529187140E-11	-2.8368390628067875726119206647995682934019605401121092697960506516966244654531674E-11	1.666613626635354091188338911812479076213981092697960506516966244654531674E-18	-0x1.f33e709bcc645p-36	-0x1.f2e15296e97b4p-36	-0x1.f33e84628a1c6p-36	-0x1.f2e13ed374fbep-36	true	true	true	true
