CELL_INDEX	CHILD_U_OFFSET	CHILD_S_OFFSET	NODE_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	INPUT_SHA256
1	0	0	U07-0000000096_S08-0000000160	7	96	8	160	a53f767d8dcaaabc7de2abb33da363b4ab2d3cd3ce2c251bcd7d5c98d61efbb3
2	0	1	U07-0000000096_S08-0000000161	7	96	8	161	187b000fa5ae3f9996ed10a3fcd678f2ddf8e3cc31d4c80020b42ddaac747d23
3	0	2	U07-0000000096_S08-0000000162	7	96	8	162	bbde9977d55ecd43ed766e9557aa3d62e2a29ac2df083876c77b03788ffd7330
4	0	3	U07-0000000096_S08-0000000163	7	96	8	163	8b598bc82c9b9b0777a34af1d18e4724d553837f707f62bdb3c57dddbd32a10f
5	0	4	U07-0000000096_S08-0000000164	7	96	8	164	e5ee05013dc9946bf1996eef21fd519b85ef7b877a5a06570a3123a3faae2933
6	0	5	U07-0000000096_S08-0000000165	7	96	8	165	3ba4f893bdf8b31e860d1f8cd06db9c7e68fefee1ee4c0fb66332cdb9f7df0c0
7	0	6	U07-0000000096_S08-0000000166	7	96	8	166	404f5f8e96592aa19981fd1c044b7b7e3783bc3c9fa5e715ba25b5a72f681b6e
8	0	7	U07-0000000096_S08-0000000167	7	96	8	167	6a1ce978ba7ac7c806dde196c31b9ea30c3ee655378532b2ff72579c78ab3b39
9	0	8	U07-0000000096_S08-0000000168	7	96	8	168	af91626caa1486fb162f5f05ef97bf71b7bea08b0751648de308a60567b98296
10	0	9	U07-0000000096_S08-0000000169	7	96	8	169	50dc2c6e570a950d4933c2f2e89fdbb8d7e111800c3258b56eddde95d7524b4c
11	0	10	U07-0000000096_S08-0000000170	7	96	8	170	4fa9cb21e3cc709acdca228fb8f5c16af4caf4c07fecd55b84b30f52aa1e7339
12	0	11	U07-0000000096_S08-0000000171	7	96	8	171	c5c2a84e13e009ffcd1107a88bd2f9fe281c7d134bfe615b8cb31b1891957d3c
13	0	12	U07-0000000096_S08-0000000172	7	96	8	172	d1b206c1d6f45a0d3a89d2229bc401f392b1d274c8fdda950be12d7fea8fba93
14	0	13	U07-0000000096_S08-0000000173	7	96	8	173	a1606b44e5b68c5d43f0e59032b18dabcdd9d2085b5279794df41507f7879a0d
15	0	14	U07-0000000096_S08-0000000174	7	96	8	174	a29cde5185c400fabece8a032d49071f3096f2f9919e9db3d437da884952bf5b
16	0	15	U07-0000000096_S08-0000000175	7	96	8	175	d3749ea15205898b8d54177424cd59f6fdf1ef001122376332787cb61243df1a
17	1	0	U07-0000000097_S08-0000000160	7	97	8	160	b323c0d9d9335b8fbddc68cfbf6d849d3e089a052cf3e88ef8551492f5034c3f
18	1	1	U07-0000000097_S08-0000000161	7	97	8	161	f2d5985264287d33181c227cc2e7d2872f8dd7f4450bc605d8e09b41a39b1269
19	1	2	U07-0000000097_S08-0000000162	7	97	8	162	a26419aef1393bfc1be5e51b82f88de1a1e535a8fbeaf7e7187c9efa38ddc368
20	1	3	U07-0000000097_S08-0000000163	7	97	8	163	181c6d8646a3e24ce83f6bac52abb6f23db1b7cdb6acae9df4bd490782c272ea
21	1	4	U07-0000000097_S08-0000000164	7	97	8	164	a1bc1903f68f83dd62901bafb2fb584ce8a01dce7ad569842f41e7d38a4c70ad
22	1	5	U07-0000000097_S08-0000000165	7	97	8	165	eb03747cbd328f1dd66c93a4a337bb9fd46d2847345e5d95c848041158c2fcd1
23	1	6	U07-0000000097_S08-0000000166	7	97	8	166	fedf862c3377e8c2f951f5d7b25d297d4fe74e34efb76021bb97b589d52f5869
24	1	7	U07-0000000097_S08-0000000167	7	97	8	167	8eb80b77250ee49482c26f6275147cf6bc269880f2620487ebc532a72d74e7ec
25	1	8	U07-0000000097_S08-0000000168	7	97	8	168	6f22781d6e447d735b856e550b8fa9b67839d1b5543e14b1df6ea6a3e8b97bec
26	1	9	U07-0000000097_S08-0000000169	7	97	8	169	15e3f87886deac88c987853bf3af9247d72d68a72724bea7462f41b8f2cc2f28
27	1	10	U07-0000000097_S08-0000000170	7	97	8	170	7023cc6e17032400bb7362deb80576dfa3ceb497e6ec162e0c65b2d1daf11a32
28	1	11	U07-0000000097_S08-0000000171	7	97	8	171	229b32321823d6f1745096e10e6e1208f13e90cf9082bada02d39f8b4b84c4f9
29	1	12	U07-0000000097_S08-0000000172	7	97	8	172	1548d0dcfb3225284dfee84d4a4fce5d6dc9e2114dface3d9dc7331cf9c644bf
30	1	13	U07-0000000097_S08-0000000173	7	97	8	173	07e2a5f7da1c1fee08629268590615a439c052202453bca65b719ccdbcbaf8db
31	1	14	U07-0000000097_S08-0000000174	7	97	8	174	82fe94784fdb24cd495f6dd15196f5445c6497a2da7c7525a981ab7f056c7725
32	1	15	U07-0000000097_S08-0000000175	7	97	8	175	b1ea74e67f578ab13ba2283d24d917d554d8d9a3de5312c367a8e0c7c88de3e1
33	2	0	U07-0000000098_S08-0000000160	7	98	8	160	513bf580b0321451ae7dda3078673118ca285d43a617906398e2db480b8a9c96
34	2	1	U07-0000000098_S08-0000000161	7	98	8	161	9de0d33e559fa52b5ae0098f1ebb03d4a1c429497e816aec1b1b5e5f6065ca22
35	2	2	U07-0000000098_S08-0000000162	7	98	8	162	c4ff9d19b07a4ff20b91b95f05830ca3246e03a1f73b09f5f31df760788acdda
36	2	3	U07-0000000098_S08-0000000163	7	98	8	163	257a1a3326ff84f7c07401e0f69ae2cab992683a281f6b604121b07ba8333f9c
37	2	4	U07-0000000098_S08-0000000164	7	98	8	164	5b7eb8ec659ee4e30cb8a78084e76e6033eb008ef7e956b26a3c72389e814187
38	2	5	U07-0000000098_S08-0000000165	7	98	8	165	835b4782172351454a274e6309e9457b0459b62d276e64a34db01e81758c0644
39	2	6	U07-0000000098_S08-0000000166	7	98	8	166	f11689d329769cea8d69158289ab78e29b9019879435831fe111f009f7ab3d33
40	2	7	U07-0000000098_S08-0000000167	7	98	8	167	3aa6e799795d5ed980848b6cfbbff53078e2e243c79a529e8e355309f26a32ca
41	2	8	U07-0000000098_S08-0000000168	7	98	8	168	6040397a857195262b2b07dc131e75b83115cef7e1c717c188346a885d23e5fe
42	2	9	U07-0000000098_S08-0000000169	7	98	8	169	d851e71952ed355f3395c421b9668bf3ac83541ce55fa01b38847777ebf018dd
43	2	10	U07-0000000098_S08-0000000170	7	98	8	170	d86de0f5e77e628c57a0a0d00cb8c8bdde4f5fe6e90daac74030906f517ed264
44	2	11	U07-0000000098_S08-0000000171	7	98	8	171	2ddcc281a60a1a3b00c7e6315293611e7fbac3523715c78fc9cb85d123b903a5
45	2	12	U07-0000000098_S08-0000000172	7	98	8	172	dc97254081527c086654f6026ae357d658d20d91d22fe853ae8a3e8b67e12dc4
46	2	13	U07-0000000098_S08-0000000173	7	98	8	173	ed73d50e3be5c9ac94a319c1bf9e2f09e5b72f8cb711bededdb01a1acd4a236c
