ATTEMPT_INDEX	PARENT_V7_ORDINAL	CHECKPOINT_ROLE	DEPTH_DELTA	CHILD_U_OFFSET	CHILD_S_OFFSET	NODE_ID	CARRIER	STATUS	WORKER_RC	ELAPSED_MS	INPUT_SHA256	RUN_CHALLENGE	ATTEMPT_BINDING	STDOUT_SHA256	STDERR_SHA256	SUMMARY_SHA256	C1_ORIENTATION_UNRESOLVED	C2_HULL_ORIENTATION_UNRESOLVED	EVENT1_CHARTS_CERTIFIED	EVENT2_CHARTS_CERTIFIED	HOMOGENEOUS_COMPUTATION_VALID	CERTIFICATE_PASS	PROBE_PASS
1	23	MASKED_TARGET	4	0	0	U07-0000000096_S08-0000000160	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17436	a53f767d8dcaaabc7de2abb33da363b4ab2d3cd3ce2c251bcd7d5c98d61efbb3	a8211f852fabaa58576907f61497745db41be6e26e4acee65e116526cd115ee4	5342d57fa104a613c256c3208b22fa2d310d4ab6d0bed62c0a84bf3e57547069	13476d873223e13c4378cfbfa84daa482c310dc7cb8d38a27f97dce47b9d2fe3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
2	23	MASKED_TARGET	4	0	0	U07-0000000096_S08-0000000160	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16679	a53f767d8dcaaabc7de2abb33da363b4ab2d3cd3ce2c251bcd7d5c98d61efbb3	a8211f852fabaa58576907f61497745db41be6e26e4acee65e116526cd115ee4	0145cfd315eaf28a8d49f807b7d6218568a8d2f3cc959e2e210e1da6f940e1a5	76aaf79612a6bcd51de3b00663ef99bb57ad3f762ed371cbfc8db3b84c93923e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
3	23	MASKED_TARGET	4	0	1	U07-0000000096_S08-0000000161	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17440	187b000fa5ae3f9996ed10a3fcd678f2ddf8e3cc31d4c80020b42ddaac747d23	5e397f6ea7f34ace020adefcfcbbf410abc66547081a743c757ba5b3e0940ffb	f0727ebec59227678450e1a68f67c8030ca4456c35e5891e3e58b0305d99559c	53f5ec0479c630e3972b950f331138adfd638da9903c590341c4eb75651513e0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
4	23	MASKED_TARGET	4	0	1	U07-0000000096_S08-0000000161	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16697	187b000fa5ae3f9996ed10a3fcd678f2ddf8e3cc31d4c80020b42ddaac747d23	5e397f6ea7f34ace020adefcfcbbf410abc66547081a743c757ba5b3e0940ffb	52b3e8bbccb368d7d8560b0c54461e0659df35ada7493a9455279ff242774f2c	0979f31ae85e1a2190e7c0aff06ca419aa53b28399d1f484a3e989126bf1fb60	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
5	23	MASKED_TARGET	4	0	2	U07-0000000096_S08-0000000162	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17411	bbde9977d55ecd43ed766e9557aa3d62e2a29ac2df083876c77b03788ffd7330	759f12905663b3ffeb0b8da82f53795591005b20b35d51565b95a2f1bd4e7d6a	21e1d89880ff4c52b9110f29a45e709986bb019b401793b3414ee4e6656561cf	993a54b4aec6437420e73099e4493354fac303187aca1bc3694639624126a8c7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
6	23	MASKED_TARGET	4	0	2	U07-0000000096_S08-0000000162	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16712	bbde9977d55ecd43ed766e9557aa3d62e2a29ac2df083876c77b03788ffd7330	759f12905663b3ffeb0b8da82f53795591005b20b35d51565b95a2f1bd4e7d6a	d438e89fd1941a3b6973df2cd0ebd1336e3fa1d3551a6382c04cbb9c9fb7e217	a9bb094ad10583fffe8eb857173098f7cdaae6c487bd3294862da66a620c2833	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
7	23	MASKED_TARGET	4	0	3	U07-0000000096_S08-0000000163	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17379	8b598bc82c9b9b0777a34af1d18e4724d553837f707f62bdb3c57dddbd32a10f	8f48b0345c70e0d20ebd64753bf0b932278c3b3157fff72420bee2ffb901cbfc	3169598559a4ccbdc5284d90dedba828ed4c4199bc7b5c054ab8d52c4aaaa45e	d2cb10eec437700630184bdbd5fd576910631086e7a7552b9cd557c2b66d10ce	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
8	23	MASKED_TARGET	4	0	3	U07-0000000096_S08-0000000163	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16696	8b598bc82c9b9b0777a34af1d18e4724d553837f707f62bdb3c57dddbd32a10f	8f48b0345c70e0d20ebd64753bf0b932278c3b3157fff72420bee2ffb901cbfc	b7228f2bf75d59b6b4db0f20a3599621843669dfd7b4472834daa87801d2cf80	05ba502cf6af364ff4cde70ec270d961722c320f8f67e0d050b3612fe5b7c7f6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
9	23	MASKED_TARGET	4	0	4	U07-0000000096_S08-0000000164	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17416	e5ee05013dc9946bf1996eef21fd519b85ef7b877a5a06570a3123a3faae2933	0d4e31ef99ae107efb7eb661dfcb812ecd4eadf1bba621e0b0e0ae16edd8cc7f	ef276fff895a6d4d8bb4e6d8cc1fc1325cade1ae75364060af2a11057730d166	41ccb8d92b52db4370e0f6dffce4c34a5e4cf0493b119a864bba4ece7c5fbf02	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
10	23	MASKED_TARGET	4	0	4	U07-0000000096_S08-0000000164	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16711	e5ee05013dc9946bf1996eef21fd519b85ef7b877a5a06570a3123a3faae2933	0d4e31ef99ae107efb7eb661dfcb812ecd4eadf1bba621e0b0e0ae16edd8cc7f	0067f4dd924f973d8ac1bfa997e574fd091cdca18735065bf50371887f8ba305	87196bafe5f9c65a852e418c07cb77c7fcdcd1021d84d7fdb84c6c31d83aade0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
