CELL_INDEX	SOURCE_CELL_INDEX	SOURCE_U_OFFSET	SOURCE_S_OFFSET	SUB_U_OFFSET	SUB_S_OFFSET	NODE_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	INPUT_SHA256
1	49	3	0	0	0	U08-0000000198_S09-0000000320	8	198	9	320	bbba612f7783f57f47c3b60503d65655c0f694c35bccae475cd906e4c6eb2416
2	49	3	0	0	1	U08-0000000198_S09-0000000321	8	198	9	321	e58b04da819a19750b12de263bd0511926c801ccb5a3f3dcb0655c50b12e4dfc
3	49	3	0	1	0	U08-0000000199_S09-0000000320	8	199	9	320	54ae9873ca32b1ae565de0aee1a649084eea3197dacee8b0daacfe470b03ebcd
4	49	3	0	1	1	U08-0000000199_S09-0000000321	8	199	9	321	2c815955b74362b91c29229d686dc4e1fa68f00349771aa4501074ce0d1e31a8
5	65	4	0	0	0	U08-0000000200_S09-0000000320	8	200	9	320	7b2f459f50a5c6983e66072b3f4570603a6a57b5b952ea48717d23c413ae50ff
6	65	4	0	0	1	U08-0000000200_S09-0000000321	8	200	9	321	cfb292ad50146ab82344195dbd8b6a37c15969aa4973decc1fe15fb4d89fcc08
7	65	4	0	1	0	U08-0000000201_S09-0000000320	8	201	9	320	893271b2d69cc46a044a98b01b183ee89a4e89c64335d541cfb4f2c947fb93eb
8	65	4	0	1	1	U08-0000000201_S09-0000000321	8	201	9	321	fd6f9fe6a660dfcbb38311c14fe8dd0a080be7def3fb7166ea4e14ea7e0a605e
9	81	5	0	0	0	U08-0000000202_S09-0000000320	8	202	9	320	5d6c9934a36f6f439fb23c3f682f8f9fa10efda49811cd466bba1f67f244f3d7
10	81	5	0	0	1	U08-0000000202_S09-0000000321	8	202	9	321	2c4f45fadbff98b2d6c9d0b232d8ef7029da46eb231f43e113033dd5aa116726
11	81	5	0	1	0	U08-0000000203_S09-0000000320	8	203	9	320	de90d3348f770901c6f925d23124731074dee0151f1a081cb0be6c071daf25ef
12	81	5	0	1	1	U08-0000000203_S09-0000000321	8	203	9	321	cdc6fb5da1556f5512a4a4292a96675e25d5df56ef5fed7a6d7fbfe99f51050c
13	97	6	0	0	0	U08-0000000204_S09-0000000320	8	204	9	320	2c0cc15262b7452fc08cdbe6cf6ab603af904c281b00f9e49185f4d77f746c7a
14	97	6	0	0	1	U08-0000000204_S09-0000000321	8	204	9	321	d08b4c553b3dbea24296af6219ac5bc86e37e3facc02e603e4e5065f5eed0cc7
