ATTEMPT_INDEX	SOURCE_CELL_INDEX	SOURCE_U_OFFSET	SOURCE_S_OFFSET	SUB_U_OFFSET	SUB_S_OFFSET	ORIGINAL_PARENT_DEPTH_DELTA	NODE_ID	CARRIER	STATUS	WORKER_RC	ELAPSED_MS	INPUT_SHA256	RUN_CHALLENGE	ATTEMPT_BINDING	STDOUT_SHA256	STDERR_SHA256	SUMMARY_SHA256	C1_ORIENTATION_UNRESOLVED	C2_HULL_ORIENTATION_UNRESOLVED	EVENT1_CHARTS_CERTIFIED	EVENT2_CHARTS_CERTIFIED	HOMOGENEOUS_COMPUTATION_VALID	CERTIFICATE_PASS	PROBE_PASS
1	49	3	0	0	0	5	U08-0000000198_S09-0000000320	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17412	bbba612f7783f57f47c3b60503d65655c0f694c35bccae475cd906e4c6eb2416	c9594a3e3a92884eaa5192f0ee8b471df639b1a6c9d10aa4bda4ee0e14acd393	0fc0097dae6e06d6bd5e1cd7a88516584c1dbb51efba86a8244d9d72faac219a	24bdde59b342979f316df57be8594ea73158911739e2bb729674fed08badd318	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
2	49	3	0	0	0	5	U08-0000000198_S09-0000000320	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16700	bbba612f7783f57f47c3b60503d65655c0f694c35bccae475cd906e4c6eb2416	c9594a3e3a92884eaa5192f0ee8b471df639b1a6c9d10aa4bda4ee0e14acd393	0fb65e3f652bb1c5d75a1b3466736598e784c39082efd18cc6b25af3de6a5129	29eb9732b4de76c3456c7e1535f86fb32fb497391e0eea8b3e4e94f862d2a00f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
3	49	3	0	0	1	5	U08-0000000198_S09-0000000321	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17409	e58b04da819a19750b12de263bd0511926c801ccb5a3f3dcb0655c50b12e4dfc	23413ab1eb2991db9a7b28dc477a33604a3347db79030cbcd67943d5e2f70c9e	0039357a09101c3ca871a2c8d860a054337c0cd622e29fc0aceca3015f46337c	8ac20d00bcb7b3d455c7038af0b06a2d8a52dfa4d92ca9db38581dec44962900	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
4	49	3	0	0	1	5	U08-0000000198_S09-0000000321	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16667	e58b04da819a19750b12de263bd0511926c801ccb5a3f3dcb0655c50b12e4dfc	23413ab1eb2991db9a7b28dc477a33604a3347db79030cbcd67943d5e2f70c9e	92b3681600f42cff06584e024fd71e4389e8ef8b4a393d995ae55ae074e1fb2f	aa5be2c64d865f59851b339ff2ec28a6724a7918792fb22584e30457b68c8709	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
5	49	3	0	1	0	5	U08-0000000199_S09-0000000320	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17438	54ae9873ca32b1ae565de0aee1a649084eea3197dacee8b0daacfe470b03ebcd	85db9441246b32b5883eb2af2496f107e28633b4be28aea3907be0fffd52952b	eb60a77cb638113b38b5c1c0fb2bc21f9a01a9467a1452c74995e08b485932d0	6f3eed1b3cb9e0198d1c7f34d835086c171a8b38babfbbff9f9e32d8c4927234	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
6	49	3	0	1	0	5	U08-0000000199_S09-0000000320	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16669	54ae9873ca32b1ae565de0aee1a649084eea3197dacee8b0daacfe470b03ebcd	85db9441246b32b5883eb2af2496f107e28633b4be28aea3907be0fffd52952b	bd0f76c66b8bf5c68f8fcdbbe23037d6c327b942126de52d4123740995766f62	e1ee9a51c6de82353042649bf528252287dfbd656c6bea899bbf943992740eab	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
7	49	3	0	1	1	5	U08-0000000199_S09-0000000321	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17840	2c815955b74362b91c29229d686dc4e1fa68f00349771aa4501074ce0d1e31a8	ab207b36a047d0c753ca605db13d16181cd68d4b7ef4952a05aaee9ba2b5e546	dfbd64efcc5f837766fd9c9943249fd508113028d77a2a25b6e6332db1117bd2	169e7e5209270cc668c7a9f0e81be96d519475d1887f9f7af7a7d5755c301e28	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
8	49	3	0	1	1	5	U08-0000000199_S09-0000000321	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16711	2c815955b74362b91c29229d686dc4e1fa68f00349771aa4501074ce0d1e31a8	ab207b36a047d0c753ca605db13d16181cd68d4b7ef4952a05aaee9ba2b5e546	6ab029a810f151734705dbdc8723114f9a0beaa11b36a2b7ab1a5d8042786584	b022a78e41280ed00c64a3447d4ce7c06655cf08cdd9e67b84af5b945d69327d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
9	65	4	0	0	0	5	U08-0000000200_S09-0000000320	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17382	7b2f459f50a5c6983e66072b3f4570603a6a57b5b952ea48717d23c413ae50ff	3e0b09f92654b06bd2da8529b16d59a39c0065fc31a2cfefd6cdd5dfcb8233e0	79591b8db4afe3be99912f5f735bcb1b677277568a977c162bc0f39728d17566	3b2c147601f0e248d3f5fb1b53bc3f93f297069ed5b1cb1d8bf2ba23a4d72df5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
10	65	4	0	0	0	5	U08-0000000200_S09-0000000320	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16700	7b2f459f50a5c6983e66072b3f4570603a6a57b5b952ea48717d23c413ae50ff	3e0b09f92654b06bd2da8529b16d59a39c0065fc31a2cfefd6cdd5dfcb8233e0	1931c3f6c04729bd4953f7c177f5986aa9940dcc8fcd62aedd6f158deadffc89	3950afd6fb7bb7261c788637cc750140dece0ba2ed69122668009fddcd4e6682	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
11	65	4	0	0	1	5	U08-0000000200_S09-0000000321	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17362	cfb292ad50146ab82344195dbd8b6a37c15969aa4973decc1fe15fb4d89fcc08	9deab81c13553946edd42bb21a5d353e5e91b6f1a6f065b41749efc20c2ad474	92fbc2f6d5ee5f58b06c05c3b734d474499f798582935d29ed8ea47a7e1210c5	a8de6b9ba31c7f5e82ddc227fc699883c83e7a2b0f3b700822cb1a1deed94528	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
12	65	4	0	0	1	5	U08-0000000200_S09-0000000321	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16676	cfb292ad50146ab82344195dbd8b6a37c15969aa4973decc1fe15fb4d89fcc08	9deab81c13553946edd42bb21a5d353e5e91b6f1a6f065b41749efc20c2ad474	f7d36144d6fe6bd21e8df93ba9b880ad562c488523d8f04c3068bcd86b8194b5	d84f830843f9d7b269e19e11f034f82a24023729400f9c2304bc1943365ec9e7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
13	65	4	0	1	0	5	U08-0000000201_S09-0000000320	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17394	893271b2d69cc46a044a98b01b183ee89a4e89c64335d541cfb4f2c947fb93eb	df9bbfa99df7a4161e6a7e59908fe26405024f379ade93be9875c41034a840ab	300ba361f38201f9b540ffe4d7b58135f3e1a1914209709ad9b82103de295653	eed33eb87a5980184853d795083e7ec43ca2ea02dab03b00580652f85f091171	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
14	65	4	0	1	0	5	U08-0000000201_S09-0000000320	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16718	893271b2d69cc46a044a98b01b183ee89a4e89c64335d541cfb4f2c947fb93eb	df9bbfa99df7a4161e6a7e59908fe26405024f379ade93be9875c41034a840ab	3b9395c27f85c7584a5c488a6ab09c60a410f72bf7f275a00a2051633527f3df	c1a3f6a93085b4567804b3903441b26db39e7b2bbff12de34461d76db324243d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
15	65	4	0	1	1	5	U08-0000000201_S09-0000000321	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17410	fd6f9fe6a660dfcbb38311c14fe8dd0a080be7def3fb7166ea4e14ea7e0a605e	cbc73f46c68fdc296fc78f64ed8f052c91428f0c53d18848c1e39a799467544f	2c1ee28ecc69025712c2aafcf174a6ab61a26572299e3489b5aec9d052c50aad	dfe56a8f6c062b642c06461d160cf997c8c9770c22ee6115dbfdf488576f323c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
16	65	4	0	1	1	5	U08-0000000201_S09-0000000321	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16685	fd6f9fe6a660dfcbb38311c14fe8dd0a080be7def3fb7166ea4e14ea7e0a605e	cbc73f46c68fdc296fc78f64ed8f052c91428f0c53d18848c1e39a799467544f	7886f32679c2a6321468bd210c462eb8b04afc8b30b6f2e69a51e511099677ed	7e85fb42ae83ce317b7745cbe09d09bdc45ef8c6460f1512bea7a14b3ddc7e7b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
17	81	5	0	0	0	5	U08-0000000202_S09-0000000320	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17440	5d6c9934a36f6f439fb23c3f682f8f9fa10efda49811cd466bba1f67f244f3d7	1796e8b8cc029b992729cc4a6334e602d44db01d60af3389cea5f4b49f0e6586	da0bdecc3761da8e9bd7f52e65e58dcf2abce27a4b81f7b56952b206d7217b6e	77783bfb86318c6885bf55ddb66fdb51b5ff928d62cf66296dcfcc6d423392e5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
18	81	5	0	0	0	5	U08-0000000202_S09-0000000320	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16714	5d6c9934a36f6f439fb23c3f682f8f9fa10efda49811cd466bba1f67f244f3d7	1796e8b8cc029b992729cc4a6334e602d44db01d60af3389cea5f4b49f0e6586	0921f1f8fa9ddc9f5e02f5231955fed15c878e5273007f2f3b7b7f6d81469da7	303578f6fd5c91ea0c7998487324441f5b4fb7cb1b54f8dbe7bcde57629186f4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
19	81	5	0	0	1	5	U08-0000000202_S09-0000000321	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17383	2c4f45fadbff98b2d6c9d0b232d8ef7029da46eb231f43e113033dd5aa116726	d09c066b8744b31d1ec92091c61bd8a96f56648b8dd35c796c5abfe4eb2a48c2	4d0a7f41d4dd025a8b6a01a3dc377bc29381a505a8977f278e333a18f7281660	ff1036a84c666cc0c48b0a1a1a72874155e21b0abf899620c2180ad6b12759c8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
20	81	5	0	0	1	5	U08-0000000202_S09-0000000321	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16689	2c4f45fadbff98b2d6c9d0b232d8ef7029da46eb231f43e113033dd5aa116726	d09c066b8744b31d1ec92091c61bd8a96f56648b8dd35c796c5abfe4eb2a48c2	2047686fdc75536cca8a9c0577b4b23f81e6338f40f1cde86b286995237c2765	b9d68c86a6f88abcf4e4720c364c3bf14082be00b67768128cb3748ccac525c0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
