ATTEMPT_INDEX	LEAF_INDEX	LAYER	LEAF_ID	PARENT_DEPTH4_CELL_INDEX	DEPTH4_U_OFFSET	DEPTH4_S_OFFSET	SUB_U_OFFSET	SUB_S_OFFSET	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	CARRIER	STATUS	WORKER_RC	ELAPSED_MS	INPUT_SHA256	RUN_CHALLENGE	ATTEMPT_BINDING	STDOUT_SHA256	STDERR_SHA256	SUMMARY_SHA256	LEGACY_CERTIFICATE_PASS	TERMINAL_CERTIFIED	STRUCTURAL_PASS	HOMOGENEOUS_COMPUTATION_VALID	PROBE_PASS	LIOUVILLE_LOWER	LIOUVILLE_UPPER	JOINT_LOWER	JOINT_UPPER	JOINT_EQUALS_LIOUVILLE	EPISTEMIC_CERTIFICATE_PASS
1	1	D4	U07-0000000096_S08-0000000160	1	0	0	NA	NA	7	96	8	160	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3166	a53f767d8dcaaabc7de2abb33da363b4ab2d3cd3ce2c251bcd7d5c98d61efbb3	6f4fb54e60149a054456951ec80ba368e388ca4ae9d3f0938a8f1ae4d70d047d	50912d3ba6d9e5bcc659e048dc436924c2fcc7332f7952b40996e1a30bc03ba1	309629f90c0ac3045eba801beaf49ef4765e0820359816149a98d4435fd4e4c6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f43cd7622f354p-36	-0x1.f3df96bc115e3p-36	-0x1.f43cd7622f354p-36	-0x1.f3df96bc115e3p-36	true	true
2	1	D4	U07-0000000096_S08-0000000160	1	0	0	NA	NA	7	96	8	160	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3072	a53f767d8dcaaabc7de2abb33da363b4ab2d3cd3ce2c251bcd7d5c98d61efbb3	6f4fb54e60149a054456951ec80ba368e388ca4ae9d3f0938a8f1ae4d70d047d	0824b2f5c62f172085b828dcb90955a462b32aa28890ec619d527de8a19faad3	f6cf1ac95b21480c305e8754d72c33aaad0b51b61b92c29512b7f8dac32edbdb	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f43ceb2bc3857p-36	-0x1.f3df82f5c89ebp-36	-0x1.f43ceb2bc3857p-36	-0x1.f3df82f5c89ebp-36	true	true
3	2	D4	U07-0000000096_S08-0000000161	2	0	1	NA	NA	7	96	8	161	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3168	187b000fa5ae3f9996ed10a3fcd678f2ddf8e3cc31d4c80020b42ddaac747d23	a2febb00632739630ae88f41b61bbc60e42ceb177f7a77a63364b0063442dac6	916e0ebceffe20a2e4bcf6222b06ac0adb6eccae9b94515ca26e03f8f0bfbd5f	18ec7098b1f984bbf38a0d0e86b46b2fdfe877cd5c30481dd7635431bf4d98f6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f4208fde8c188p-36	-0x1.f3c35318cb89p-36	-0x1.f4208fde8c188p-36	-0x1.f3c35318cb89p-36	true	true
4	2	D4	U07-0000000096_S08-0000000161	2	0	1	NA	NA	7	96	8	161	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3059	187b000fa5ae3f9996ed10a3fcd678f2ddf8e3cc31d4c80020b42ddaac747d23	a2febb00632739630ae88f41b61bbc60e42ceb177f7a77a63364b0063442dac6	b2f63597e6b818e770a74bd2f6e62ae39b4f1e1028c0ca70ed4587a39d3bdd67	a3da0fce919ebd2198b6b18c9d3bf4adc21086fff1cef637ef67211457c1ecf9	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f420a3a7aca87p-36	-0x1.f3c33f52f5fep-36	-0x1.f420a3a7aca87p-36	-0x1.f3c33f52f5fep-36	true	true
5	3	D4	U07-0000000096_S08-0000000162	3	0	2	NA	NA	7	96	8	162	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3169	bbde9977d55ecd43ed766e9557aa3d62e2a29ac2df083876c77b03788ffd7330	1b71f6431e0e93890a63b5d93503db9ed55f408bd74b6fbe90486efad88779bd	0e76d77fedd4379e391560d0906a617b4197750c1ad941eec22b9f8ba12dc7e1	cc796aeaef2c8b3cda38184aee43180f7232e396a4cd89f323edc5d86df38851	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f404494e96a36p-36	-0x1.f3a71017aa6b6p-36	-0x1.f404494e96a36p-36	-0x1.f3a71017aa6b6p-36	true	true
6	3	D4	U07-0000000096_S08-0000000162	3	0	2	NA	NA	7	96	8	162	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3057	bbde9977d55ecd43ed766e9557aa3d62e2a29ac2df083876c77b03788ffd7330	1b71f6431e0e93890a63b5d93503db9ed55f408bd74b6fbe90486efad88779bd	ef4c07dad86e05d254d581faeaf05e704e3f0cd57fcfcf0b89fd5f2c45a271f9	3ab766c4a6a56087b727d8713e6f2ade51395edd0ad6472b0f03cf5f1a8688d1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f4045d0a2b9fdp-36	-0x1.f3a6fc5fda053p-36	-0x1.f4045d0a2b9fdp-36	-0x1.f3a6fc5fda053p-36	true	true
7	4	D4	U07-0000000096_S08-0000000163	4	0	3	NA	NA	7	96	8	163	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3176	8b598bc82c9b9b0777a34af1d18e4724d553837f707f62bdb3c57dddbd32a10f	46f03f5462645bd0ff8aae28d47b7f84e8f794085b6c5a9bbbaa192a81d0f141	240cb80d3a64fadca22a14ec21f39706935d6096dd97ef36bb20e3fceab0764e	41158ba2d62106d7d911a03fe917b016f5e7bbb19a9abdec6fd84604fa5db34b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3e80363b3bf1p-36	-0x1.f38ace0cf3e2ep-36	-0x1.f3e80363b3bf1p-36	-0x1.f38ace0cf3e2ep-36	true	true
8	4	D4	U07-0000000096_S08-0000000163	4	0	3	NA	NA	7	96	8	163	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3044	8b598bc82c9b9b0777a34af1d18e4724d553837f707f62bdb3c57dddbd32a10f	46f03f5462645bd0ff8aae28d47b7f84e8f794085b6c5a9bbbaa192a81d0f141	d46c4581b5ba661d0b1d48fc4d8b9ba5745b9d696f94817ba006aec6e86479ca	666dc6a0b36f72682f48496d4dbf39926febf1e44028f1b113ae532bd2aeda92	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3e8172d6033ap-36	-0x1.f38aba4690ce9p-36	-0x1.f3e8172d6033ap-36	-0x1.f38aba4690ce9p-36	true	true
9	5	D4	U07-0000000096_S08-0000000164	5	0	4	NA	NA	7	96	8	164	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3141	e5ee05013dc9946bf1996eef21fd519b85ef7b877a5a06570a3123a3faae2933	d12bf5b1817637fba702d54b9c398eabfde319d61c12a5fee38d787cb80af2cb	9541d2b7ce823595ca805c4c18352b4f8f2959eb47aadf81622c78c03aa0d884	da14a401393595e538dd1e8b07351e50b5b46fe7d5a01016bd7b5163dd7ec792	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3cbbe44b5e56p-36	-0x1.f36e8ccef3975p-36	-0x1.f3cbbe44b5e56p-36	-0x1.f36e8ccef3975p-36	true	true
10	5	D4	U07-0000000096_S08-0000000164	5	0	4	NA	NA	7	96	8	164	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3044	e5ee05013dc9946bf1996eef21fd519b85ef7b877a5a06570a3123a3faae2933	d12bf5b1817637fba702d54b9c398eabfde319d61c12a5fee38d787cb80af2cb	c438b952ba214f6666edf5450f3b21616005199854bca06e74bb820e8f56e63f	3a632c729c43a4f2e8f35864ec6bf5d4f1519db0868288e3d674bc1cba36d44c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3cbd20e2ba7ep-36	-0x1.f36e7908c7f88p-36	-0x1.f3cbd20e2ba7ep-36	-0x1.f36e7908c7f88p-36	true	true
