LEAF_INDEX	STEPS	EVENT1_TIME	EVENT2_TIME	X2	Y2	ELL2	DETERMINANT	DECIMAL_DETERMINANT	ABS_DELTA	INSIDE_BOTH_CAPD
1	6744	2.4073408736730926	6.5849701492115855	11.398684421129474	6.722879070086492	-18.444955261729774	-2.842486574979323e-11	-2.8424864076545401e-11	1.6732478296733466e-18	true
2	6744	2.4073436387698166	6.5849728691391647	11.398683608925239	6.7228781596659246	-18.445090960981361	-2.8418587872960163e-11	-2.8418586480185226e-11	1.3927749368178643e-18	true
3	6744	2.4073464032262564	6.5849755884264596	11.398682750171247	6.7228771975187556	-18.445226655219813	-2.8412311097528286e-11	-2.8412309576168633e-11	1.5213596525136982e-18	true
4	6744	2.4073491655872203	6.5849783059675246	11.398681863011916	6.7228762034728788	-18.445362355524594	-2.8406034926414708e-11	-2.8406033364428904e-11	1.5619858043498018e-18	true
5	6744	2.4073519258527085	6.5849810216459446	11.398680948445872	6.7228751786560679	-18.445498062969818	-2.8399759318882808e-11	-2.8399757844899321e-11	1.4739834871593116e-18	true
6	6744	2.4073546843137592	6.5849837358109653	11.398680001811044	6.7228741180379075	-18.445633773920235	-2.839348442453903e-11	-2.8393483017513154e-11	1.4070258758295664e-18	true
7	6744	2.4073574407375418	6.5849864482297562	11.398679026208811	6.7228730247488784	-18.445769491100691	-2.8387210136412513e-11	-2.8387208882203671e-11	1.2542088426966805e-18	true
8	6744	2.4073601958807558	6.5849891594261862	11.39867801273158	6.7228718894366466	-18.445905208218392	-2.8380936720102519e-11	-2.838093543890413e-11	1.2811983889910933e-18	true
9	6744	2.4073629495105706	6.5849918694002554	11.398676964110564	6.7228707144731743	-18.44604092755344	-2.8374664087014947e-11	-2.8374662687547783e-11	1.3994671640155422e-18	true
10	6744	2.407365700812079	6.5849945772788487	11.398675889905462	6.7228695110816261	-18.446176654909323	-2.8368391971993852e-11	-2.8368390628067876e-11	1.3439259763828271e-18	true
11	6744	2.4073684512404725	6.5849972844007425	11.398674773947278	6.7228682605764334	-18.446312379756819	-2.836212084173487e-11	-2.8362119260397647e-11	1.5813372230290368e-18	true
12	6744	2.40737119858386	6.5849999889614992	11.398673640712332	6.7228669905389324	-18.446448118120315	-2.8355849991518011e-11	-2.8355848584470324e-11	1.4070476862558739e-18	true
13	6744	2.4073739452287555	6.5850026927655563	11.398672462570175	6.7228656704974128	-18.446583852171898	-2.8349580205266912e-11	-2.8349578600219138e-11	1.6050477736765012e-18	true
14	6744	2.4073766893707216	6.5850053944741376	11.398671261542404	6.7228643247144646	-18.446719595770446	-2.8343310868253038e-11	-2.8343309307577301e-11	1.5606757376676254e-18	true
15	6744	2.4073794308351353	6.5850080938544124	11.398670038501223	6.7228629546634693	-18.446855349715406	-2.8337041946103181e-11	-2.8337040706478023e-11	1.2396251573588819e-18	true
16	6744	2.4073821726487949	6.5850107935257256	11.398668758216445	6.7228615201174762	-18.446991091978816	-2.8330774425789303e-11	-2.8330772796854514e-11	1.6289347884442521e-18	true
17	6744	2.4073526203865185	6.5849806315382011	11.398863870654168	6.7230801377090756	-18.444910673125378	-2.8424071686099745e-11	-2.8424070114873125e-11	1.5712266202511953e-18	true
18	6744	2.4073553871712647	6.5849833528627641	11.398863049976171	6.7230792181890138	-18.445046362498942	-2.8417794343038288e-11	-2.8417792646487912e-11	1.6965503767148434e-18	true
19	6744	2.4073581510456279	6.5849860717426054	11.398862210697189	6.7230782778915454	-18.445182063313041	-2.8411517350824383e-11	-2.8411515870446463e-11	1.4803779196429475e-18	true
20	6744	2.407360914919991	6.5849887906224467	11.398861317748015	6.7230772774164507	-18.445317755529686	-2.8405241637036949e-11	-2.8405239786682066e-11	1.8503548825533586e-18	true
21	6744	2.4073636757675558	6.5849915067665279	11.398860408698056	6.7230762588505968	-18.445453460723911	-2.839896620557219e-11	-2.8398964395127994e-11	1.8104441967106736e-18	true
22	6744	2.4073664346360601	6.5849942212807946	11.398859470074967	6.7230752068053334	-18.445589171467873	-2.8392691406594825e-11	-2.8392689695717518e-11	1.7108773064829753e-18	true
23	6744	2.4073691918165423	6.5849969343398698	11.398858497233959	6.7230741170151305	-18.44572488481208	-2.8386417365553041e-11	-2.8386415688383906e-11	1.6771691342971168e-18	true
24	6744	2.4073719474254176	6.5849996460019611	11.398857490556111	6.723072989288994	-18.445860601162167	-2.8380144070627468e-11	-2.8380142373060409e-11	1.6975670592358535e-18	true
25	6744	2.4073747011716478	6.5850023560342379	11.398856453814005	6.7230718272003287	-18.445996322173414	-2.837387144022241e-11	-2.8373869749680283e-11	1.6905421277173447e-18	true
26	6744	2.4073774522403255	6.5850050637964159	11.398855394928432	6.7230706406598983	-18.446132053598376	-2.8367599224288945e-11	-2.8367597818176768e-11	1.4061121772948191e-18	true
27	6744	2.4073802025523037	6.585007770860102	11.398854291765019	6.723069404933085	-18.44626778154452	-2.8361328041912615e-11	-2.83613265784831e-11	1.4634295155731417e-18	true
28	6744	2.407382951292675	6.5850104765268043	11.398853154420067	6.72306813070918	-18.446403511736207	-2.8355057631440498e-11	-2.8355056030532511e-11	1.6009079867422661e-18	true
29	6744	2.4073856983450241	6.5850131807965226	11.398851984158682	6.7230668192296434	-18.446539245703207	-2.8348787937560898e-11	-2.8348786174258222e-11	1.7633026760004393e-18	true
30	6744	2.4073884428362362	6.5850158827379346	11.398850791202676	6.723065482758102	-18.446674989125313	-2.8342518690400814e-11	-2.8342517009593448e-11	1.6808073654368091e-18	true
31	6744	2.4073911852319725	6.5850185829331167	11.398849570507991	6.7230641147716597	-18.446810738655586	-2.8336250041395568e-11	-2.83362485364714e-11	1.5049241682783348e-18	true
32	6744	2.4073939271620475	6.5850212827208452	11.398848300736972	6.7230626922619194	-18.446946482444218	-2.8329982537895755e-11	-2.8329980754825278e-11	1.7830704767205182e-18	true
33	6744	2.4073643684969284	6.5849911159020849	11.399043300179073	6.7232811831327126	-18.444866085897047	-2.8423277887362392e-11	-2.8423276141088263e-11	1.7462741291152695e-18	true
34	6744	2.4073671349324286	6.5849938369938172	11.399042495597314	6.7232802817425181	-18.445001779282393	-2.8417000434446147e-11	-2.8416998800680446e-11	1.6337657009361465e-18	true
35	6744	2.4073698993306607	6.5849965563393198	11.3990416625129	6.7232793483872229	-18.445137479123332	-2.841072357563986e-11	-2.8410722152616579e-11	1.4230232806888777e-18	true
36	6744	2.4073726628557779	6.5849992748699151	11.399040786284786	6.7232783667632248	-18.445273175741931	-2.8404447734525338e-11	-2.8404446196829948e-11	1.537695390399415e-18	true
37	6744	2.407375423819758	6.5850019912468269	11.399039888457992	6.7232773600580913	-18.445408882614174	-2.8398172314192444e-11	-2.8398170933253821e-11	1.3809386220247355e-18	true
38	6744	2.4073781839106232	6.5850047067506239	11.399038947605732	6.7232763061956575	-18.44554458706989	-2.8391897881345883e-11	-2.839189636182147e-11	1.5195244133842558e-18	true
39	6744	2.4073809419642203	6.5850074205663987	11.39903797651732	6.7232752184663696	-18.445680296497812	-2.8385624101882258e-11	-2.8385622482466163e-11	1.6194160947870033e-18	true
40	6744	2.4073836976895109	6.5850101323449053	11.399036981677455	6.7232741035404615	-18.445816014605043	-2.8379350808045789e-11	-2.8379349295121146e-11	1.5129246430070763e-18	true
41	6744	2.4073864525998943	6.58501284342492	11.399035942354203	6.723272938919763	-18.445951729288026	-2.8373078550126768e-11	-2.8373076799719673e-11	1.7504070950406253e-18	true
42	6744	2.4073892050655559	6.5850155523512512	11.39903488037362	6.7232717486112961	-18.446087453247856	-2.8366806747976811e-11	-2.8366804996194984e-11	1.7517818272134229e-18	true
43	6744	2.4073919545626268	6.5850182587746531	11.399033798737946	6.7232705371316115	-18.446223189396733	-2.8360535281671618e-11	-2.8360533884480315e-11	1.397191302575899e-18	true
44	6744	2.40739470400149	6.5850209650816396	11.399032666520725	6.7232692680336186	-18.446358917528414	-2.8354265049778651e-11	-2.8354263464508892e-11	1.5852697592145618e-18	true
45	6744	2.4073974503553472	6.585023668652866	11.399031516198193	6.7232679797880337	-18.446494658028314	-2.8347995131129162e-11	-2.8347993736213938e-11	1.3949152246475798e-18	true
46	6744	2.4074001958942972	6.5850263717002235	11.399030322916587	6.723266642152339	-18.446630396402725	-2.8341726203789102e-11	-2.8341724699528662e-11	1.5042604398472919e-18	true
47	6744	2.4074029396870174	6.5850290730595589	11.399029097857238	6.7232652695292927	-18.446766138533349	-2.8335457975966714e-11	-2.8335456354386275e-11	1.6215804387091425e-18	true
