
----------------------------------------------------
[0000:d8:00.1] : xilinx_u250_gen3x16_xdma_shell_4_1
----------------------------------------------------
Electrical
  Max Power              : 225 Watts
  Power                  : 29.407644 Watts
  Power Warning          : false

  |Power Rails            | Voltage  | Current  |
  |-----------------------|----------|----------|
  |12 Volts Auxillary     |12.334 V  | 1.129 A  |
  |12 Volts PCI Express   |12.278 V  | 1.261 A  |
  |3.3 Volts PCI Express  | 3.358 V  | 0.000 A  |
  |3.3 Volts Auxillary    | 3.328 V  | 0.000 A  |
  |Internal FPGA Vcc      | 0.850 V  |14.676 A  |
  |Internal FPGA Vcc IO   | 0.000 V  | 0.000 A  |
  |DDR Vpp Bottom         | 2.500 V  | 0.000 A  |
  |DDR Vpp Top            | 2.500 V  | 0.000 A  |
  |5.5 Volts System       | 5.497 V  | 0.000 A  |
  |Vcc 1.2 Volts Top      | 1.204 V  | 0.000 A  |
  |Vcc 1.2 Volts Bottom   | 1.204 V  | 0.000 A  |
  |1.8 Volts Top          | 1.839 V  | 0.000 A  |
  |0.9 Volts Vcc          | 0.911 V  | 0.000 A  |
  |12 Volts SW            |12.322 V  | 0.000 A  |
  |Mgt Vtt                | 1.209 V  | 0.000 A  |
  |3.3 Volts Vcc          | 0.000 V  | 0.000 A  |
  |1.2 Volts HBM          | 0.000 V  | 0.000 A  |
  |Vpp 2.5 Volts          | 0.000 V  | 0.000 A  |
  |12 Volts Aux1          | 0.000 V  | 0.000 A  |
  |Vcc 1.2 Volts i        | 0.000 V  | 0.000 A  |
  |V12 in i               | 0.000 V  | 0.000 A  |
  |V12 in Aux0 i          | 0.000 V  | 0.000 A  |
  |V12 in Aux1 i          | 0.000 V  | 0.000 A  |
  |Vcc Auxillary          | 0.000 V  | 0.000 A  |
  |Vcc Auxillary Pmc      | 0.000 V  | 0.000 A  |
  |Vcc Ram                | 0.000 V  | 0.000 A  |
  |0.9 Volts Vcc Vcu      | 0.000 V  | 0.000 A  |

