UTC	PHASE	POWER_WATTS
2026-08-03T16:47:52.450646079Z	kernel	29.570838
2026-08-03T16:47:52.686152666Z	kernel	29.570838
2026-08-03T16:47:52.923497208Z	kernel	29.519529
2026-08-03T16:47:53.158406802Z	kernel	29.519529
2026-08-03T16:47:53.394517635Z	kernel	29.519529
2026-08-03T16:47:53.632699547Z	kernel	29.519529
2026-08-03T16:47:53.867484636Z	kernel	29.519529
2026-08-03T16:47:54.104450293Z	kernel	29.393992
2026-08-03T16:47:54.338790483Z	kernel	29.393992
2026-08-03T16:47:54.573409638Z	kernel	29.393992
2026-08-03T16:47:54.811681912Z	kernel	29.393992
2026-08-03T16:47:55.047468755Z	kernel	29.393992
2026-08-03T16:47:55.283028594Z	kernel	29.407180
2026-08-03T16:47:55.519017672Z	kernel	29.407180
2026-08-03T16:47:55.752891201Z	kernel	29.407180
2026-08-03T16:47:55.992309859Z	kernel	29.407180
2026-08-03T16:47:56.226123587Z	kernel	29.407180
2026-08-03T16:47:56.463900769Z	kernel	29.351710
2026-08-03T16:47:56.700570400Z	kernel	29.351710
2026-08-03T16:47:56.934349943Z	kernel	29.351710
2026-08-03T16:47:57.170859180Z	kernel	29.351710
2026-08-03T16:47:57.406568432Z	kernel	29.351710
2026-08-03T16:47:57.642969153Z	kernel	29.451198
2026-08-03T16:47:57.877210286Z	kernel	29.451198
2026-08-03T16:47:58.112519080Z	kernel	29.451198
2026-08-03T16:47:58.350865372Z	kernel	29.451198
2026-08-03T16:47:58.585154323Z	kernel	29.451198
2026-08-03T16:47:58.820385778Z	kernel	29.373613
2026-08-03T16:47:59.055601121Z	kernel	29.373613
2026-08-03T16:47:59.291038060Z	kernel	29.373613
2026-08-03T16:47:59.528557661Z	kernel	29.373613
2026-08-03T16:47:59.761184925Z	kernel	29.373613
2026-08-03T16:47:59.997917647Z	kernel	29.432607
2026-08-03T16:48:00.233150892Z	kernel	29.432607
2026-08-03T16:48:00.466998129Z	kernel	29.432607
2026-08-03T16:48:00.703567270Z	kernel	29.432607
2026-08-03T16:48:00.937792505Z	kernel	29.432607
2026-08-03T16:48:01.173388544Z	kernel	29.407644
