LEAF_INDEX	LEAF_ID	X0_Q	Y0_Q	STEPS	EVENT1_TIME_Q	EVENT2_TIME_Q	X2_Q	Y2_Q	ELL2_Q	FLAGS	DETERMINANT	DECIMAL_DETERMINANT	ABS_DELTA	INSIDE_BOTH_CAPD	REFERENCE_PASS
1	U07-0000000096_S08-0000000160	16617299053941	12020598411546	6744	2646899282624	7240251247616	12532986062381	7391883709692	-20280442784080	7	-2.842486574979323e-11	-2.8424864076545401e-11	1.6732478296733466e-18	true	true
2	U07-0000000096_S08-0000000161	16614872300006	12021465413972	6744	2646902322880	7240254238208	12532985169353	7391882708674	-20280591986985	7	-2.8418587872960163e-11	-2.8418586480185226e-11	1.3927749368178643e-18	true	true
3	U07-0000000096_S08-0000000162	16612445546071	12022332416397	6744	2646905362432	7240257228096	12532984225143	7391881650782	-20280741184378	7	-2.8412311097528286e-11	-2.8412309576168633e-11	1.5213596525136982e-18	true	true
4	U07-0000000096_S08-0000000163	16610018792136	12023199418822	6744	2646908399680	7240260216064	12532983249701	7391880557817	-20280890388441	7	-2.8406034926414708e-11	-2.8406033364428904e-11	1.5619858043498018e-18	true	true
5	U07-0000000096_S08-0000000164	16607592038201	12024066421248	6744	2646911434624	7240263201984	12532982244125	7391879431019	-20281039600355	7	-2.8399759318882808e-11	-2.8399757844899321e-11	1.4739834871593116e-18	true	true
6	U07-0000000096_S08-0000000165	16605165284266	12024933423673	6744	2646914467584	7240266186240	12532981203289	7391878264857	-20281188816123	7	-2.839348442453903e-11	-2.8393483017513154e-11	1.4070258758295664e-18	true	true
7	U07-0000000096_S08-0000000166	16602738530331	12025800426099	6744	2646917498304	7240269168576	12532980130603	7391877062773	-20281338038741	7	-2.8387210136412513e-11	-2.8387208882203671e-11	1.2542088426966805e-18	true	true
8	U07-0000000096_S08-0000000167	16600311776396	12026667428524	6744	2646920527616	7240272149568	12532979016273	7391875814484	-20281487261290	7	-2.8380936720102519e-11	-2.838093543890413e-11	1.2811983889910933e-18	true	true
9	U07-0000000096_S08-0000000168	16597885022461	12027534430949	6744	2646923555264	7240275129216	12532977863302	7391874522598	-20281636486277	7	-2.8374664087014947e-11	-2.8374662687547783e-11	1.3994671640155422e-18	true	true
10	U07-0000000096_S08-0000000169	16595458268526	12028401433375	6744	2646926580352	7240278106560	12532976682201	7391873199455	-20281785720083	7	-2.8368391971993852e-11	-2.8368390628067876e-11	1.3439259763828271e-18	true	true
11	U07-0000000096_S08-0000000170	16593031514591	12029268435800	6744	2646929604480	7240281083072	12532975455192	7391871824510	-20281934951131	7	-2.836212084173487e-11	-2.8362119260397647e-11	1.5813372230290368e-18	true	true
12	U07-0000000096_S08-0000000171	16590604760656	12030135438226	6744	2646932625216	7240284056768	12532974209187	7391870428089	-20282084197040	7	-2.8355849991518011e-11	-2.8355848584470324e-11	1.4070476862558739e-18	true	true
13	U07-0000000096_S08-0000000172	16588178006721	12031002440651	6744	2646935645184	7240287029632	12532972913806	7391868976688	-20282233438208	7	-2.8349580205266912e-11	-2.8349578600219138e-11	1.6050477736765012e-18	true	true
14	U07-0000000096_S08-0000000173	16585751252786	12031869443076	6744	2646938662400	7240290000192	12532971593262	7391867496984	-20282382689873	7	-2.8343310868253038e-11	-2.8343309307577301e-11	1.5606757376676254e-18	true	true
15	U07-0000000096_S08-0000000174	16583324498851	12032736445502	6744	2646941676672	7240292968192	12532970248514	7391865990597	-20282531952914	7	-2.8337041946103181e-11	-2.8337040706478023e-11	1.2396251573588819e-18	true	true
16	U07-0000000096_S08-0000000175	16580897744916	12033603447927	6744	2646944691328	7240295936512	12532968840826	7391864413297	-20282681203111	7	-2.8330774425789303e-11	-2.8330772796854514e-11	1.6289347884442521e-18	true	true
17	U07-0000000097_S08-0000000160	16617252716180	12020547665330	6744	2646912198272	7240262773056	12533183369220	7392104785881	-20280393758391	7	-2.8424071686099745e-11	-2.8424070114873125e-11	1.5712266202511953e-18	true	true
18	U07-0000000097_S08-0000000161	16614825962245	12021414667756	6744	2646915240384	7240265765184	12533182466875	7392103774858	-20280542950435	7	-2.8417794343038288e-11	-2.8417792646487912e-11	1.6965503767148434e-18	true	true
19	U07-0000000097_S08-0000000162	16612399208310	12022281670181	6744	2646918279296	7240268754624	12533181544078	7392102740990	-20280692155058	7	-2.8411517350824383e-11	-2.8411515870446463e-11	1.4803779196429475e-18	true	true
