# schema=seizure_ossm_hessian.v1
# seq_len=8
# input_dim=8
# feature_layout=flat
# label_space=baseline_interictal_ictal_pre_post
# label_encoding=0:baseline,1:interictal,2:ictal,3:pre_ictal,4:post_ictal
subject_id	label	site	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63
chb02_chb02_16_pre_ictal_0	3	chb02	1.55867212	-0.81868553	0.10617012	1.98869963	1.29926025	-0.27681263	-0.07595494	0.29865013	2.32874270	-2.48944282	0.70074362	-0.37512005	1.19092524	-0.59741297	-0.39961554	1.49474131	1.21480413	-0.59236781	0.65873571	-0.65937685	-1.37464483	0.87443404	-0.01056896	0.34395661	1.58773139	-0.93850079	0.83323011	-0.15070679	-2.60572451	2.55029946	0.20520478	1.15947333	1.28260909	0.43937475	0.65550433	0.01386294	-1.19736935	1.91638515	-0.20018830	1.89343838	-0.76606924	0.43271834	-0.20081077	-0.36763961	-3.69399895	1.87995329	-0.32115237	0.16273067	0.71111017	-1.76389483	-0.15234010	0.94891819	-2.43829767	1.79251684	-0.04653125	0.54330514	2.31905628	-1.33788500	1.11112860	0.67214184	1.55532482	0.08021956	1.44099980	0.33489531
chb02_chb02_16_pre_ictal_1	3	chb02	3.69452826	-0.76543430	1.75094139	1.37530339	2.19548626	-0.29138538	2.37928862	-1.10585089	3.87372707	2.44295222	1.91897303	3.41746406	4.37695946	-0.48083103	2.20928507	-0.21784379	4.93439032	1.83721949	1.76709828	1.28553808	4.75613200	-0.30595812	1.29061205	0.64297941	3.87857028	1.81059388	1.46011739	-0.30031563	3.40194435	-0.32053086	1.19907168	0.16273067	3.08912686	0.59247203	1.00449313	-0.27787430	2.77163155	-0.18937618	1.16964799	0.40738569	3.32644421	-1.50429509	1.32763091	-0.68929861	3.10156091	0.02192859	1.79081480	0.22615975	3.73811716	-0.91187518	1.44072913	-0.11330458	3.55952255	0.32066982	2.41198161	-0.68903123	4.27087039	-0.36605008	1.49243117	1.35286206	4.07657602	0.49554273	2.45775180	-0.99711533
chb02_chb02_16_pre_ictal_2	3	chb02	4.35804819	-0.24623482	1.20483855	0.63473963	3.52505232	0.75785210	1.39522962	0.09930160	4.71160260	0.31290308	1.31147402	0.80678979	2.71253973	0.88172041	1.67312003	-0.12723083	4.28540002	1.09835870	1.35348193	0.79182891	2.84549633	0.35710168	1.73523672	0.07211771	3.89309991	-0.77874710	1.52474495	0.77686803	3.09663659	-0.10922609	1.66004284	0.38020180	3.67031220	-1.10491088	1.69277659	1.29301853	3.30345798	0.11665142	2.00985783	-0.22690509	3.34097384	-0.65893184	1.42457224	-0.21803077	2.89473952	0.49554273	1.52927088	-0.17253731	3.66062578	-0.70552667	1.31793677	0.13355001	2.09699989	1.77794409	0.64656014	1.82094800	5.73352016	0.97854343	1.20160717	2.01114096	4.66256995	0.83071582	1.69600513	-0.55311178
chb02_chb02_16_pre_ictal_3	3	chb02	6.54233643	2.42298301	1.10789722	2.91627445	6.11524398	-0.26952626	1.86600868	-0.07286304	6.28564624	0.13318018	1.35348193	3.17808992	5.77546598	-0.10193972	2.42178951	-0.36282454	6.89104764	-3.28821125	1.42780362	4.62181523	5.58341755	-0.86700871	2.69967992	-1.17834126	4.80846683	-3.47459055	1.69600797	1.36034250	4.21938126	-0.95444517	2.38255792	-0.26315028	3.61703688	-4.30664099	1.81556895	-0.59205287	2.08715125	-0.07279423	1.94120255	0.42550828	4.07714194	-2.33634554	1.75740415	1.71192328	1.92464873	0.02921496	1.70254372	0.52518255	4.03355304	1.97700397	1.90927890	0.06622603	3.70232779	-0.69213580	1.92485606	1.12322814	4.77940756	2.32313695	1.81233757	1.06860526	4.84476974	-0.80871774	2.69641063	-0.34470195
chb02_chb02_16_pre_ictal_4	3	chb02	5.32184721	0.35949790	1.64430593	2.72926340	4.55423494	-0.34238998	2.79448960	-1.18740256	4.40648030	0.51925159	1.61845490	1.75680593	4.34248923	-0.64113120	2.66044834	-1.16021867	4.13526047	-1.24469535	1.67338832	1.95129742	3.96824101	-0.69213580	2.70948782	-1.59516092	4.64864086	-2.30971992	1.58290975	2.44500660	3.62353869	-0.65570394	2.25505526	-0.94274754	3.81560853	-0.39933210	1.62168628	2.28791732	3.40194435	-0.87429509	2.18313068	-0.47156011	4.47912847	-0.81868553	1.49889393	3.35762053	4.06672738	-0.93258606	1.80389199	0.19897586	5.01188170	-2.77566817	1.15959926	1.28553808	3.39209571	-0.53912200	1.43119191	-0.24502769	4.90048784	-1.25135176	1.25007784	0.96387908	4.00763556	-0.72128129	1.49657789	-0.19065990
chb02_chb02_16_pre_ictal_5	3	chb02	4.72128903	-0.09979394	1.25330922	-0.24795253	4.55423494	-1.12931808	1.42792261	0.02681122	4.57114948	0.11321097	1.40841535	-1.31765574	3.66785756	-0.83786323	1.77119900	-0.52592789	4.56630627	0.85207177	1.40841535	-1.06332072	3.95839237	-0.94715880	2.27794035	-1.15115737	4.45975562	-0.05319912	1.28239162	0.41032637	4.71673745	-1.31876374	2.13082190	-0.95180884	4.36773461	-0.97178281	1.17252477	1.86901256	4.12089489	-1.08559985	2.04582012	-1.32332201	4.90048784	-1.88371010	1.18221891	3.06588329	4.87431565	-1.20946817	2.16024559	-1.53173184	4.98282243	-1.21806974	1.13051686	2.22059334	5.23379092	-1.32605011	1.96408765	-1.38675109	4.77456435	-0.09979394	1.12405411	0.17843266	4.55423494	-1.17303631	1.79735340	-1.09678959
chb02_chb02_16_pre_ictal_6	3	chb02	4.64379765	-0.57239859	1.19191304	-0.57709198	4.36218650	-0.90344057	1.94774115	-1.27801553	4.60505196	-0.16635798	1.03034415	-2.03577818	4.35726219	-0.93258606	1.95754905	-1.44111887	4.04323946	-0.43927052	1.12082273	0.63473963	4.19475967	-1.18032268	1.99351134	-1.21458645	4.17884937	-1.63076676	1.06265793	0.41032637	4.23907854	-0.90344057	1.85620078	-0.96993143	4.47912847	-1.93030492	0.90755180	0.60481786	3.81558712	-0.76499951	1.76139111	-1.09678959	3.92215918	-1.03169044	0.91401455	0.77686803	4.04703011	-1.14389083	1.46061560	-0.43531492	4.03839625	-1.23138255	0.78152807	-0.89875099	3.87467895	-1.07102711	0.97675934	0.12648549	4.45006920	-1.11156728	0.83969287	-1.48970591	3.39209571	-1.03459526	1.17618658	-0.30845676
chb02_chb02_16_pre_ictal_7	3	chb02	4.11104442	-0.16635798	0.85261838	0.58237653	3.55952255	-1.35519560	1.27099625	-0.71621512	4.07714194	-1.05831605	0.93340282	1.14340968	3.29360934	-1.16574994	1.40503751	-1.01523792	5.85460044	-3.10183195	0.85908113	2.20563245	3.49550641	-0.78685863	1.62081125	-1.52267054	3.70421468	-0.27951684	0.75244567	2.37020218	3.29360934	-1.08559985	1.48350069	-1.45018017	3.21989356	-0.81868553	0.97541073	1.33790118	3.86483031	-1.83609611	1.58484896	-1.26895423	4.12557405	-2.71576054	0.79768495	-0.43496358	3.14587978	-1.39891382	1.17291728	-0.35376325	2.29484022	0.13983659	0.70074362	0.23827620	2.90458816	-1.77780513	1.34945943	-1.07866700	3.04553796	-0.65893184	0.86877526	2.31035864	3.57921983	-2.28056476	1.51946298	-1.35050590
chb02_chb02_16_pre_ictal_8	3	chb02	3.92700239	-2.05012018	0.82999873	2.07098450	4.07165170	-1.85795522	1.56196387	-1.22364775	3.67515541	-1.18478772	0.87200664	3.20053124	4.26370013	-1.94539168	1.83658498	-2.06634836	3.56376155	-1.08494167	0.84938700	-0.36763961	4.23907854	-1.90167345	1.72869812	-1.79450945	3.48142696	-1.87705369	0.75890842	-1.31765574	3.80081417	-1.48635028	1.46715420	-1.22364775	3.25379604	-1.29794658	0.56825713	-2.09562172	3.25913911	-1.18032268	1.25138046	-1.04242181	2.98741942	0.50593878	0.49393545	-1.76648227	2.93905839	-1.18032268	0.97675934	-0.83401198	2.78884776	-0.61899342	0.45839029	-0.62197464	2.72731268	-1.09288623	0.69559963	-0.49874400	2.87602557	-0.10645035	0.31620967	-0.95111408	2.70269109	-1.10017260	1.01272163	-1.55891573
chb02_chb02_16_pre_ictal_9	3	chb02	2.91477126	-1.00506483	0.34852345	-0.64441596	2.88489088	-1.36976834	1.05522252	-1.53173184	2.60480574	-1.57085913	0.31944105	0.14851089	2.65837222	-1.10745897	1.09772341	-1.53173184	2.54668721	-1.44438746	0.34206069	0.11858913	2.54018857	-1.02002251	1.11733920	-1.51360925	3.17630466	-1.52426430	0.44546478	0.75442670	2.95875566	-1.00544977	1.16310939	-1.20552515	2.70166996	-0.79871632	0.47454718	1.44262737	3.11140955	-0.84514960	1.17618658	-1.25989293	3.66546899	-1.49098229	0.51978647	0.25323708	3.12125818	-0.44439917	1.28407345	-1.33238331	2.87118235	-0.36605008	0.47777856	-0.28535474	3.17050137	-0.67027669	1.22195677	-1.21458645	2.78400455	0.00005211	0.41961376	0.70206360	2.89966384	-0.56826749	1.14349359	-0.95180884
