TOTAL_FILES 397
KEYWORD match 1809
KEYWORD use 1556
KEYWORD enum 221
KEYWORD struct 1683
KEYWORD fn 22943
KEYWORD let 39257
KEYWORD var 18819
KEYWORD if 32672
KEYWORD while 4452
KEYWORD for 2920
KEYWORD return 15060
KEYWORD break 329
KEYWORD continue 109
KEYWORD type 1193
KEYWORD impl 131
KEYWORD trait 65
KEYWORD mod 171
KEYWORD import 73
KEYWORD extern 69
KEYWORD knowledge 44
KEYWORD units 57
KEYWORD effect 307
KEYWORD handle 275
KEYWORD spawn 16
KEYWORD async 55
KEYWORD await 37
KEYWORD try 11
KEYWORD catch 4
KEYWORD throw 0
